distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std,pareja,sentido,orden_excel,dimensiones_repetidas,posicion,sentido_seleccionado,seleccionada,tipo_seleccion
14-12-10,3,UjaNet,DeepONMF_H3,0.9816,0.0088769364084689,0.954,0.0221923410211721,0.9885,0.005548085255293,0.9551249848647588,0.0215016308721369,0.97125,0.0138702131382325,149,decreciente,296,False,1,decreciente,True,mejor_global_de_la_pareja
10-12-14,3,UjaNet,DeepONMF_H3,0.9752,0.0095498691090506,0.938,0.0238746727726266,0.9845,0.0059686681931566,0.9389846623274392,0.0237948171018759,0.96125,0.0149216704828916,149,creciente,297,False,1,decreciente,False,mejor_global_de_la_pareja
16-10,2,UjaNet,DeepONMF_H2,0.9796,0.0095289033996572,0.949,0.0238222584991431,0.9872499999999998,0.0059555646247857,0.9506232197925484,0.0240984347620717,0.968125,0.0148889115619645,133,decreciente,264,False,2,decreciente,True,mejor_global_de_la_pareja
10-16,2,UjaNet,DeepONMF_H2,0.9716,0.0110815161417561,0.929,0.0277037903543901,0.9822500000000002,0.0069259475885975,0.9304994506289572,0.0273260221889277,0.955625,0.0173148689714938,133,creciente,265,False,2,decreciente,False,mejor_global_de_la_pareja
18-10,2,UjaNet,DeepONMF_H2,0.9796,0.0080498447189992,0.949,0.020124611797498,0.98725,0.0050311529493745,0.9496674836042936,0.0192155023018863,0.968125,0.0125778823734363,118,decreciente,234,False,3,decreciente,True,mejor_global_de_la_pareja
10-18,2,UjaNet,DeepONMF_H2,0.9768,0.0101587400793602,0.942,0.0253968501984005,0.9855,0.0063492125496001,0.942820056743035,0.0253196913386353,0.96375,0.0158730313740003,118,creciente,235,False,3,decreciente,False,mejor_global_de_la_pareja
10-6,2,UjaNet,DeepONMF_H2,0.9751999999999998,0.0096540147089177,0.938,0.0241350367722943,0.9845,0.0060337591930736,0.940043664423413,0.0243294022102324,0.96125,0.0150843979826839,172,decreciente,342,False,4,creciente,False,mejor_global_de_la_pareja
6-10,2,UjaNet,DeepONMF_H2,0.9788,0.0097570487341203,0.9469999999999998,0.0243926218353009,0.98675,0.0060981554588251,0.9483283098921876,0.0232128954426239,0.966875,0.015245388647063,172,creciente,343,False,4,creciente,True,mejor_global_de_la_pareja
22-4,2,UjaNet,DeepONMF_H2,0.9788,0.0062609903369994,0.9469999999999998,0.0156524758424984,0.98675,0.0039131189606246,0.9482255123810488,0.0161493579556235,0.966875,0.0097827974015615,79,decreciente,156,False,5,decreciente,True,mejor_global_de_la_pareja
4-22,2,UjaNet,DeepONMF_H2,0.9708,0.0123773987574126,0.927,0.0309434968935316,0.98175,0.0077358742233829,0.9289467633894032,0.0294923194133978,0.954375,0.0193396855584572,79,creciente,157,False,5,decreciente,False,mejor_global_de_la_pareja
14-8,2,UjaNet,DeepONMF_H2,0.9788,0.0110995495404093,0.947,0.0277488738510232,0.98675,0.0069372184627557,0.9480853689997792,0.0275770916509086,0.9668750000000002,0.0173430461568895,145,decreciente,288,False,6,decreciente,True,mejor_global_de_la_pareja
8-14,2,UjaNet,DeepONMF_H2,0.9748,0.0078230428862431,0.937,0.0195576072156078,0.98425,0.0048894018039019,0.9389418216825424,0.0174300671980092,0.960625,0.0122235045097549,145,creciente,289,False,6,decreciente,False,mejor_global_de_la_pareja
20-14-10,3,UjaNet,DeepONMF_H3,0.9788,0.0062609903369994,0.947,0.0156524758424985,0.98675,0.0039131189606246,0.947791458865376,0.0157040955738446,0.966875,0.0097827974015615,104,decreciente,206,False,7,decreciente,True,mejor_global_de_la_pareja
10-14-20,3,UjaNet,DeepONMF_H3,0.97,0.0067823299831253,0.925,0.0169558249578132,0.98125,0.0042389562394533,0.9258408925875564,0.0171008275435937,0.953125,0.0105973905986332,104,creciente,207,False,7,decreciente,False,mejor_global_de_la_pareja
24-18-13-10,4,UjaNet,DeepONMF_H4,0.9784,0.0117813411800185,0.946,0.0294533529500463,0.9864999999999998,0.0073633382375115,0.9476273521832976,0.0278852648784509,0.96625,0.0184083455937789,75,decreciente,148,False,8,decreciente,True,mejor_global_de_la_pareja
10-13-18-24,4,UjaNet,DeepONMF_H4,0.968,0.0084852813742385,0.92,0.0212132034355963,0.98,0.0053033008588991,0.920814821169002,0.0214438493429911,0.95,0.0132582521472477,75,creciente,149,False,8,decreciente,False,mejor_global_de_la_pareja
12-11-10,3,UjaNet,DeepONMF_H3,0.9784,0.009838699100999,0.946,0.0245967477524976,0.9865,0.0061491869381244,0.947603070464796,0.0249566804400502,0.96625,0.015372967345311,164,decreciente,326,False,9,decreciente,True,mejor_global_de_la_pareja
10-11-12,3,UjaNet,DeepONMF_H3,0.9744,0.0101390334845092,0.936,0.0253475837112732,0.984,0.0063368959278182,0.937164764469568,0.0257792700129722,0.96,0.0158422398195457,164,creciente,327,False,9,decreciente,False,mejor_global_de_la_pareja
22-10,2,UjaNet,DeepONMF_H2,0.9784,0.0106207344378813,0.946,0.0265518360947035,0.9865,0.0066379590236758,0.9469084822989652,0.0263839192931476,0.96625,0.0165948975591896,88,decreciente,174,False,10,decreciente,True,mejor_global_de_la_pareja
