clase,archivo,ruta,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008,F_009,F_010,F_011,F_012,F_013
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,-18.479759216308594,9.465751647949219,4.030720233917236,1.1046823263168335,0.04551328718662262,0.48969414830207825,-0.389004111289978,-0.36117079854011536,-0.2460552603006363,-0.3646436333656311,-0.38417649269104004,-0.39126884937286377,-0.3736644685268402
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,-18.63953399658203,8.474883079528809,3.9272892475128174,1.3856496810913086,0.15149110555648804,0.2824045419692993,-0.39739367365837097,-0.3915017545223236,-0.3168930113315582,-0.42644619941711426,-0.4366312623023987,-0.38458502292633057,-0.35190558433532715
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,-18.576704025268555,8.413214683532715,3.9556002616882324,1.3675057888031006,0.10139810293912888,0.31010106205940247,-0.360652893781662,-0.3835880756378174,-0.41315218806266785,-0.45676568150520325,-0.3650909960269928,-0.44503453373908997,-0.3657529354095459
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,-19.209169387817383,8.395000457763672,3.844259262084961,1.3344852924346924,0.15757694840431213,0.2957625091075897,-0.3150564134120941,-0.2918992042541504,-0.2951444685459137,-0.3233039677143097,-0.32454773783683777,-0.38369354605674744,-0.32017087936401367
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,-19.399879455566406,8.310681343078613,3.8459243774414062,1.2745262384414673,0.13371539115905762,0.42806148529052734,-0.3357842266559601,-0.33760231733322144,-0.31213048100471497,-0.3523634374141693,-0.3492697775363922,-0.39704522490501404,-0.33972275257110596
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,-17.905731201171875,8.956531524658203,3.8570668697357178,1.3289070129394531,0.01887369342148304,0.46629172563552856,-0.427826464176178,-0.3354915380477905,-0.24159985780715942,-0.4027155935764313,-0.38882869482040405,-0.43209221959114075,-0.3525228798389435
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,-18.070016860961914,9.154590606689453,3.8860220909118652,1.2304500341415405,0.03842621296644211,0.4455316364765167,-0.36716338992118835,-0.30561503767967224,-0.2988010346889496,-0.3608737885951996,-0.3694814145565033,-0.39460670948028564,-0.39292746782302856
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,-18.74372673034668,8.555747032165527,4.020534992218018,1.3618463277816772,0.12879616022109985,0.3091582953929901,-0.40859824419021606,-0.3724997043609619,-0.3733063042163849,-0.37480127811431885,-0.41897591948509216,-0.4760722815990448,-0.37209922075271606
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,-18.680696487426758,8.432062149047852,3.957818031311035,1.4342361688613892,0.06893742829561234,0.31848499178886414,-0.41497087478637695,-0.36286255717277527,-0.3565385937690735,-0.36844557523727417,-0.45113903284072876,-0.4175013601779938,-0.40134498476982117
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,-19.19651222229004,8.362305641174316,3.8501217365264893,1.3045533895492554,0.1743086278438568,0.38668888807296753,-0.3403838574886322,-0.28452256321907043,-0.32281309366226196,-0.3349258601665497,-0.3487568199634552,-0.41007325053215027,-0.3095722496509552
