indice_interno,clase,archivo,distribucion,error_final,forma_w_final,forma_h3,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,N,New_N_001.wav,15-10-5,0.2681236202216102,126x5,5x212,15,0.0490009487610439,0.3513777566963183,0.0172768999982508,10,0.1986185021901887,0.2048300681177347,0.0064650999993318,5,0.4013409484867415,0.1589542032726157,0.0042006000003311
1,N,New_N_002.wav,15-10-5,0.2899479097919525,126x5,5x212,15,0.045986141736207,0.4061757870325083,0.0155344000013428,10,0.226677348384477,0.2158352895051156,0.0051853000004484,5,0.4502789942208467,0.1987199129389113,0.0047574000018357
2,N,New_N_003.wav,15-10-5,0.2857066643899716,126x5,5x212,15,0.0552926706246207,0.3294350727924591,0.0154717000004893,10,0.2999549260118735,0.1692776225704518,0.0062130000005709,5,0.5120370888525692,0.1569615087892906,0.005003400001442
3,N,New_N_004.wav,15-10-5,0.2525244937800713,126x5,5x212,15,0.0501772331918007,0.3613623038350008,0.0157494000013684,10,0.2224144456961872,0.2558154239803574,0.0062131999984558,5,0.4712749987137799,0.2096428477284891,0.003958600002079
4,N,New_N_005.wav,15-10-5,0.2895153312689975,126x5,5x212,15,0.0413738157458309,0.3918294176961334,0.0154259000009915,10,0.2034410461709547,0.1818760995618384,0.0051464999996824,5,0.3936036505838519,0.1618681708250333,0.0043850999973074
5,N,New_N_006.wav,15-10-5,0.3107642559222816,126x5,5x212,15,0.0517439119639178,0.3580237950143327,0.0150572000020474,10,0.2189842430008915,0.1802973164600586,0.005237000001216,5,0.410080524599434,0.1546466622618874,0.0037860999982513
6,N,New_N_007.wav,15-10-5,0.2867442437068842,126x5,5x212,15,0.0508503478327872,0.364474964260919,0.0162443999979586,10,0.2052991608032133,0.2013584014250292,0.006346800000756,5,0.4263295794761413,0.1977908169424972,0.0039140999979281
7,N,New_N_008.wav,15-10-5,0.2784861562082219,126x5,5x212,15,0.0502424531524021,0.4096689454470073,0.0154317999986233,10,0.2887083744403971,0.2145756870177219,0.0053306999980122,5,0.5246164042633873,0.2104800729072045,0.0047663000004831
8,N,New_N_009.wav,15-10-5,0.3116962146206721,126x5,5x212,15,0.0467101091990334,0.362986708256155,0.0153390999985276,10,0.2080645688572241,0.1399204726339335,0.0055027999987942,5,0.4301851361824672,0.1208953554673904,0.004551399997581
9,N,New_N_010.wav,15-10-5,0.3043419169156158,126x5,5x212,15,0.0610857587193681,0.3313077548246302,0.0155391000007512,10,0.2449521782646196,0.2033932607454022,0.0053605000030074,5,0.3828889543656789,0.1964605796906636,0.0038161999982548
