clase,archivo,origen,tSNE_1,tSNE_2
N,columna_H_000158,columnas_H_final,45.66398,14.199531
N,columna_H_000223,columnas_H_final,33.279987,28.600832
N,columna_H_000322,columnas_H_final,5.216588,-17.263569
N,columna_H_000500,columnas_H_final,4.390607,-20.615961
N,columna_H_000606,columnas_H_final,-19.725996,-2.345257
N,columna_H_001073,columnas_H_final,32.55657,6.4914026
N,columna_H_001292,columnas_H_final,-24.742064,8.661004
N,columna_H_001514,columnas_H_final,-19.539476,-4.037879
N,columna_H_001620,columnas_H_final,-20.913813,-8.268637
N,columna_H_001789,columnas_H_final,-12.928253,-7.9084215
N,columna_H_001864,columnas_H_final,-10.49749,-6.5054297
N,columna_H_002092,columnas_H_final,32.9037,-4.251705
N,columna_H_002222,columnas_H_final,-31.277523,4.438719
N,columna_H_002346,columnas_H_final,8.619839,-1.4705667
N,columna_H_002354,columnas_H_final,-35.349113,9.736306
N,columna_H_002472,columnas_H_final,-29.348318,-2.8585076
N,columna_H_002518,columnas_H_final,46.96603,10.43029
N,columna_H_002580,columnas_H_final,43.483364,13.227542
N,columna_H_003366,columnas_H_final,40.016644,-13.9293785
N,columna_H_003887,columnas_H_final,-26.002459,8.454483
N,columna_H_003950,columnas_H_final,-26.26982,9.526161
N,columna_H_004112,columnas_H_final,31.585815,28.441717
N,columna_H_004126,columnas_H_final,-22.498774,-1.951012
N,columna_H_004599,columnas_H_final,-17.691051,-3.3409486
N,columna_H_004621,columnas_H_final,-24.18948,8.529319
N,columna_H_004868,columnas_H_final,-19.821857,-5.418432
N,columna_H_005050,columnas_H_final,-20.270658,-5.020285
N,columna_H_005234,columnas_H_final,-34.49557,-10.723076
N,columna_H_005574,columnas_H_final,-25.813509,-6.3353143
N,columna_H_005599,columnas_H_final,17.771221,-9.957968
N,columna_H_006008,columnas_H_final,-25.674606,9.851692
N,columna_H_006189,columnas_H_final,30.878912,-12.854624
N,columna_H_006384,columnas_H_final,-25.656366,6.5358276
N,columna_H_006411,columnas_H_final,-27.650604,8.769348
N,columna_H_006560,columnas_H_final,-19.379848,-3.5675073
N,columna_H_006798,columnas_H_final,-3.0706925,-14.400038
N,columna_H_007684,columnas_H_final,-39.57171,-10.137693
N,columna_H_007910,columnas_H_final,-54.05611,-7.4731855
N,columna_H_008169,columnas_H_final,30.421799,31.839617
N,columna_H_008190,columnas_H_final,-53.812508,-7.0353117
N,columna_H_008518,columnas_H_final,-52.339558,-6.651943
N,columna_H_009080,columnas_H_final,-31.251904,-5.3508286
N,columna_H_009136,columnas_H_final,-34.84096,-0.79514927
N,columna_H_009144,columnas_H_final,-33.051846,-2.9486911
N,columna_H_009548,columnas_H_final,34.970535,26.926914
N,columna_H_009590,columnas_H_final,13.437863,-1.1961664
N,columna_H_010187,columnas_H_final,8.19229,-2.4937243
N,columna_H_010195,columnas_H_final,-32.944466,-4.1079245
N,columna_H_010387,columnas_H_final,-32.070946,-3.7316184
N,columna_H_010445,columnas_H_final,-19.237902,12.32174
N,columna_H_010508,columnas_H_final,-32.17014,1.7666931
N,columna_H_010811,columnas_H_final,-33.384205,0.81840366
N,columna_H_011303,columnas_H_final,-28.4034,-6.770777
N,columna_H_011366,columnas_H_final,-27.740768,-5.3622713
N,columna_H_011809,columnas_H_final,-17.766031,3.4654975
N,columna_H_011912,columnas_H_final,46.85615,16.121344
N,columna_H_011950,columnas_H_final,-27.21916,-5.7448764
N,columna_H_012087,columnas_H_final,11.283359,-23.29985
N,columna_H_012727,columnas_H_final,38.015484,-17.212322
N,columna_H_012778,columnas_H_final,-24.009342,-5.132025
N,columna_H_012852,columnas_H_final,-31.730135,-0.03121473
N,columna_H_013718,columnas_H_final,-38.457,-8.102744
N,columna_H_013729,columnas_H_final,-38.1977,-1.2168642
N,columna_H_014470,columnas_H_final,-27.963064,5.527627
N,columna_H_014489,columnas_H_final,-33.38109,-5.5630217
N,columna_H_014664,columnas_H_final,46.476006,11.415636
N,columna_H_015144,columnas_H_final,-24.531849,-3.063791
N,columna_H_015223,columnas_H_final,-39.215286,-12.583023
N,columna_H_015351,columnas_H_final,-27.626204,-8.770454
N,columna_H_015692,columnas_H_final,45.134014,12.2266655
N,columna_H_015850,columnas_H_final,-35.208176,-11.274173
N,columna_H_016017,columnas_H_final,-38.295193,-11.484936
N,columna_H_016052,columnas_H_final,18.92909,-2.096691
N,columna_H_016106,columnas_H_final,-32.901245,-0.16499317
N,columna_H_016129,columnas_H_final,-26.426115,7.9035935
N,columna_H_016219,columnas_H_final,-36.37256,1.788553
N,columna_H_016474,columnas_H_final,32.754864,-17.27588
N,columna_H_016674,columnas_H_final,24.553165,14.547153
N,columna_H_017045,columnas_H_final,-39.985317,-12.7615
N,columna_H_017116,columnas_H_final,11.538668,-3.2475142
N,columna_H_017271,columnas_H_final,41.35094,21.716383
N,columna_H_017494,columnas_H_final,-39.73197,-12.401986
N,columna_H_017710,columnas_H_final,-32.45561,2.435037
N,columna_H_018241,columnas_H_final,39.670006,19.863207
N,columna_H_018461,columnas_H_final,-39.263424,-1.5014983
N,columna_H_018683,columnas_H_final,-29.9225,5.955221
N,columna_H_018723,columnas_H_final,-17.543976,15.348071
N,columna_H_018737,columnas_H_final,-26.924253,-7.831618
N,columna_H_018876,columnas_H_final,32.052242,22.119316
N,columna_H_018880,columnas_H_final,9.622627,13.346502
N,columna_H_018949,columnas_H_final,-39.028866,-1.415793
N,columna_H_019023,columnas_H_final,14.10468,-2.8996181
N,columna_H_019783,columnas_H_final,-13.729099,-6.2186356
N,columna_H_019788,columnas_H_final,-27.05852,8.52929
N,columna_H_019846,columnas_H_final,42.09452,21.10644
N,columna_H_019915,columnas_H_final,-20.016607,-4.367895
N,columna_H_020117,columnas_H_final,40.439335,21.10469
N,columna_H_020283,columnas_H_final,36.305523,2.391174
N,columna_H_020318,columnas_H_final,-35.942093,-11.196776
N,columna_H_020536,columnas_H_final,22.891806,-5.7621465
N,columna_H_020766,columnas_H_final,-31.862265,3.528195
N,columna_H_021094,columnas_H_final,-2.4887507,-3.78748
N,columna_H_021143,columnas_H_final,-28.691471,-4.0109324
N,columna_H_021194,columnas_H_final,-26.55684,-6.394835
N,columna_H_021403,columnas_H_final,-26.37963,-3.5637493
N,columna_H_021575,columnas_H_final,-34.35156,0.45793998
N,columna_H_021613,columnas_H_final,-41.040176,-16.959995
N,columna_H_021654,columnas_H_final,-33.087677,1.415547
