clase,archivo,origen,F_1,F_2,F_3,F_4,F_5,F_6,F_7
N,columna_H_000375,columnas_H_final,3.071616083187574,2.2702010339945433,6.191504472198623e-09,1.0863606861136643,9.317362815684317e-09,0.33535802902096196,1.2778846647626517e-08
N,columna_H_000541,columnas_H_final,2.8704372438830843,1.0292575796397128e-08,6.191504472198623e-09,1.2159682051322365e-08,9.317362815684317e-09,1.2539075881230524,0.8607948617849666
N,columna_H_000623,columnas_H_final,1.3414576760743158e-08,0.03176666579714277,6.191504472198623e-09,1.2159682051322365e-08,1.0797145263467564e-08,0.06656290612107707,1.2778846647626517e-08
N,columna_H_000726,columnas_H_final,1.3414576760743158e-08,9.017592792998258e-09,0.03746833726437274,0.020158703152220084,0.42047625922231857,6.700895771019406e-09,1.2778846647626517e-08
N,columna_H_001257,columnas_H_final,0.02645682922622409,9.017592792998258e-09,6.191504472198623e-09,1.2159682051322365e-08,0.21207496695290562,6.700895771019406e-09,1.2778846647626517e-08
N,columna_H_001611,columnas_H_final,1.3414576760743158e-08,9.017592792998258e-09,0.05731938124844026,0.036769048107693894,9.317362815684317e-09,0.010854400272079012,1.2778846647626517e-08
N,columna_H_001697,columnas_H_final,1.3414576760743158e-08,2.601526840018918,1.4303775573923152,4.22810409375675,9.317362815684317e-09,3.3701823557197264,1.2778846647626517e-08
N,columna_H_001721,columnas_H_final,1.476654396409055e-08,9.017592792998258e-09,0.01680051518194618,1.2159682051322365e-08,0.003712927406056065,7.839230971581764e-09,7.580194813659953e-05
N,columna_H_002064,columnas_H_final,1.3414576760743158e-08,8.143811751304405,2.014500245304285,1.2159682051322365e-08,1.4459729594999469,7.955504338153904e-09,9.476189085147155
N,columna_H_002426,columnas_H_final,1.3414576760743158e-08,0.014376263034607284,0.002911165221778441,1.2159682051322365e-08,0.037076306546121325,6.733610192151108e-09,1.2778846647626517e-08
N,columna_H_002750,columnas_H_final,1.3414576760743158e-08,9.017592792998258e-09,0.02167389056709116,1.2159682051322365e-08,9.317362815684317e-09,0.004438875629332822,1.2778846647626517e-08
N,columna_H_002928,columnas_H_final,1.3414576760743158e-08,9.017592792998258e-09,0.01215737881326571,1.2159682051322365e-08,9.317362815684317e-09,0.021881073448761175,1.2778846647626517e-08
N,columna_H_003202,columnas_H_final,1.3414576760743158e-08,9.017592792998258e-09,0.04332678549268129,1.2159682051322365e-08,9.317362815684317e-09,6.700895771019406e-09,1.2778846647626517e-08
N,columna_H_003622,columnas_H_final,1.3414576760743158e-08,9.017592792998258e-09,6.191504472198623e-09,1.2159682051322365e-08,0.07209456802867933,0.1023574822763265,1.2778846647626517e-08
N,columna_H_003717,columnas_H_final,9.769927108805584,1.445794701459825,0.5453511412099156,9.33407479335209,0.1019678647190508,6.700895771019406e-09,5.3381561389128755
N,columna_H_003844,columnas_H_final,1.3414576760743158e-08,9.017592792998258e-09,0.01725616558179514,1.2159682051322365e-08,9.317362815684317e-09,0.012385051702068418,1.2778846647626517e-08
N,columna_H_003886,columnas_H_final,1.3414576760743158e-08,9.017592792998258e-09,0.03226930586428817,1.2159682051322365e-08,9.317362815684317e-09,0.00854951105512774,1.5133732788031877e-08
N,columna_H_004041,columnas_H_final,0.40805013561103803,9.017592792998258e-09,6.191504472198623e-09,1.2159682051322365e-08,0.2706586775714018,0.11102583170299718,1.2778846647626517e-08
N,columna_H_004043,columnas_H_final,1.3414576760743158e-08,9.017592792998258e-09,6.191504472198623e-09,0.11404746154595918,0.5159938282815094,0.004952363159582837,1.2778846647626517e-08
N,columna_H_004143,columnas_H_final,2.266163231266839,0.22434143529543732,6.191504472198623e-09,2.5289684445109435,2.76669449123817,6.700895771019406e-09,0.8364057184213469
N,columna_H_004512,columnas_H_final,1.3414576760743158e-08,9.017592792998258e-09,0.05494251901466212,1.2159682051322365e-08,9.317362815684317e-09,6.700895771019406e-09,1.2778846647626517e-08
