clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
SVM,STFT,1,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
SVM,STFT,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
SVM,STFT,3,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
SVM,STFT,4,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
SVM,STFT,5,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
SVM,MFCC,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,MFCC,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,MFCC,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,MFCC,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,MFCC,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,MelSpectrogram,1,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
SVM,MelSpectrogram,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
SVM,MelSpectrogram,3,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
SVM,MelSpectrogram,4,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
SVM,MelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,LogMelSpectrogram,1,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,LogMelSpectrogram,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,LogMelSpectrogram,3,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,LogMelSpectrogram,4,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
SVM,LogMelSpectrogram,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
SVM,DeepONMF_W,1,150,39,1,10,0.945,0.9375,0.975,0.9933774834437086,0.95625
SVM,DeepONMF_W,2,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
SVM,DeepONMF_W,3,150,37,3,10,0.935,0.9375,0.925,0.9803921568627451,0.93125
SVM,DeepONMF_W,4,150,39,1,10,0.945,0.9375,0.975,0.9933774834437086,0.95625
SVM,DeepONMF_W,5,149,38,2,11,0.935,0.93125,0.95,0.9867549668874173,0.940625
SVM,DeepONMF_H3,1,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
SVM,DeepONMF_H3,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
SVM,DeepONMF_H3,3,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
SVM,DeepONMF_H3,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
SVM,DeepONMF_H3,5,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
SVM,DeepONMF_Mejorado,1,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
SVM,DeepONMF_Mejorado,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
SVM,DeepONMF_Mejorado,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
SVM,DeepONMF_Mejorado,4,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
SVM,DeepONMF_Mejorado,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
SVM,DeepONMF_F8,1,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
SVM,DeepONMF_F8,2,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
