indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,SNR_-5db,N,New_N_001.wav,0.002120200078934431
1,SNR_-5db,N,New_N_002.wav,0.002298499923199415
2,SNR_-5db,AS,New_AS_001.wav,0.0021336000645533204
3,SNR_-5db,AS,New_AS_002.wav,0.002359100035391748
4,SNR_-5db,MR,New_MR_001.wav,0.00205629994161427
5,SNR_-5db,MR,New_MR_002.wav,0.002162800054065883
6,SNR_-5db,MS,New_MS_001.wav,0.002534399973228574
7,SNR_-5db,MS,New_MS_002.wav,0.0020693999249488115
8,SNR_-5db,MVP,New_MVP_001.wav,0.0021846999879926443
9,SNR_-5db,MVP,New_MVP_002.wav,0.0044793999986723065
