Inicio background NNDSVD: 19/06/2026 22:24:18,17 
Inicio background Python NNDSVD
Inicio background sin espacios NNDSVD
[optimizacion original] 1/199 8
[optimizacion original] 2/199 10
[optimizacion original] 3/199 12
[optimizacion original] 4/199 14
[optimizacion original] 5/199 16
[optimizacion original] 6/199 18
[optimizacion original] 7/199 20
[optimizacion original] 8/199 22
[optimizacion original] 9/199 24
[optimizacion original] 10/199 26
[optimizacion original] 11/199 28
[optimizacion original] 12/199 30
[optimizacion original] 13/199 32
[optimizacion original] 14/199 32-2
[optimizacion original] 15/199 32-8-2
[optimizacion original] 16/199 32-13-5-2
[optimizacion original] 17/199 32-4
[optimizacion original] 18/199 32-11-4
[optimizacion original] 19/199 32-16-8-4
[optimizacion original] 20/199 32-6
[optimizacion original] 21/199 32-14-6
[optimizacion original] 22/199 32-18-10-6
[optimizacion original] 23/199 32-8
[optimizacion original] 24/199 32-16-8
[optimizacion original] 25/199 32-20-13-8
[optimizacion original] 26/199 32-10
[optimizacion original] 27/199 32-18-10
[optimizacion original] 28/199 32-22-15-10
[optimizacion original] 29/199 30-2
[optimizacion original] 30/199 30-8-2
[optimizacion original] 31/199 30-12-5-2
[optimizacion original] 32/199 30-4
[optimizacion original] 33/199 30-11-4
[optimizacion original] 34/199 30-15-8-4
[optimizacion original] 35/199 30-6
[optimizacion original] 36/199 30-13-6
[optimizacion original] 37/199 30-18-10-6
[optimizacion original] 38/199 30-8
[optimizacion original] 39/199 30-15-8
[optimizacion original] 40/199 30-19-12-8
[optimizacion original] 41/199 30-10
[optimizacion original] 42/199 30-17-10
[optimizacion original] 43/199 30-21-14-10
[optimizacion original] 44/199 28-2
[optimizacion original] 45/199 28-7-2
[optimizacion original] 46/199 28-12-5-2
[optimizacion original] 47/199 28-4
[optimizacion original] 48/199 28-11-4
[optimizacion original] 49/199 28-15-8-4
[optimizacion original] 50/199 28-6
[optimizacion original] 51/199 28-13-6
[optimizacion original] 52/199 28-17-10-6
[optimizacion original] 53/199 28-8
[optimizacion original] 54/199 28-15-8
[optimizacion original] 55/199 28-18-12-8
[optimizacion original] 56/199 28-10
[optimizacion original] 57/199 28-17-10
[optimizacion original] 58/199 28-20-14-10
[optimizacion original] 59/199 26-2
[optimizacion original] 60/199 26-7-2
[optimizacion original] 61/199 26-11-5-2
[optimizacion original] 62/199 26-4
[optimizacion original] 63/199 26-10-4
[optimizacion original] 64/199 26-14-7-4
[optimizacion original] 65/199 26-6
[optimizacion original] 66/199 26-12-6
[optimizacion original] 67/199 26-16-10-6
[optimizacion original] 68/199 26-8
[optimizacion original] 69/199 26-14-8
[optimizacion original] 70/199 26-18-12-8
[optimizacion original] 71/199 26-10
[optimizacion original] 72/199 26-16-10
[optimizacion original] 73/199 26-19-14-10
[optimizacion original] 74/199 24-2
[optimizacion original] 75/199 24-7-2
[optimizacion original] 76/199 24-10-5-2
[optimizacion original] 77/199 24-4
[optimizacion original] 78/199 24-10-4
[optimizacion original] 79/199 24-13-7-4
[optimizacion original] 80/199 24-6
[optimizacion original] 81/199 24-12-6
[optimizacion original] 82/199 24-15-10-6
[optimizacion original] 83/199 24-8
[optimizacion original] 84/199 24-14-8
[optimizacion original] 85/199 24-17-12-8
[optimizacion original] 86/199 24-10
[optimizacion original] 87/199 24-15-10
[optimizacion original] 88/199 24-18-13-10
[optimizacion original] 89/199 22-2
[optimizacion original] 90/199 22-7-2
[optimizacion original] 91/199 22-10-4-2
[optimizacion original] 92/199 22-4
