indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,SNR_0db,N,New_N_001.wav,0.002231899998150766
1,SNR_0db,N,New_N_002.wav,0.0020298000890761614
2,SNR_0db,AS,New_AS_001.wav,0.001980300061404705
3,SNR_0db,AS,New_AS_002.wav,0.004880900029093027
4,SNR_0db,MR,New_MR_001.wav,0.002029700088314712
5,SNR_0db,MR,New_MR_002.wav,0.001806700020097196
6,SNR_0db,MS,New_MS_001.wav,0.0019461000338196754
7,SNR_0db,MS,New_MS_002.wav,0.0017825999530032277
8,SNR_0db,MVP,New_MVP_001.wav,0.0021178999450057745
9,SNR_0db,MVP,New_MVP_002.wav,0.0029036999912932515
