distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
14-8-3,3,KNN,DeepONMF_H3,1,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
14-8-3,3,KNN,DeepONMF_H3,2,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
14-8-3,3,KNN,DeepONMF_H3,3,158,35,5,2,0.965,0.9875,0.875,0.9693251533742332,0.93125
14-8-3,3,KNN,DeepONMF_H3,4,156,33,7,4,0.945,0.975,0.825,0.9570552147239264,0.8999999999999999
14-8-3,3,KNN,DeepONMF_H3,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
14-8-3,3,KNN,DeepONMF_W,1,153,35,5,7,0.94,0.95625,0.875,0.9683544303797468,0.915625
14-8-3,3,KNN,DeepONMF_W,2,145,32,8,15,0.885,0.90625,0.8,0.9477124183006536,0.853125
14-8-3,3,KNN,DeepONMF_W,3,148,35,5,12,0.915,0.925,0.875,0.9673202614379084,0.9
14-8-3,3,KNN,DeepONMF_W,4,150,28,12,10,0.89,0.9375,0.7,0.925925925925926,0.81875
14-8-3,3,KNN,DeepONMF_W,5,147,32,8,13,0.895,0.91875,0.8,0.9483870967741936,0.859375
14-8-3,3,SVM,DeepONMF_H3,1,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
14-8-3,3,SVM,DeepONMF_H3,2,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
14-8-3,3,SVM,DeepONMF_H3,3,156,37,3,4,0.965,0.975,0.925,0.981132075471698,0.95
14-8-3,3,SVM,DeepONMF_H3,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
14-8-3,3,SVM,DeepONMF_H3,5,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
14-8-3,3,SVM,DeepONMF_W,1,148,39,1,12,0.935,0.925,0.975,0.9932885906040269,0.95
14-8-3,3,SVM,DeepONMF_W,2,141,38,2,19,0.895,0.88125,0.95,0.986013986013986,0.915625
14-8-3,3,SVM,DeepONMF_W,3,148,36,4,12,0.92,0.925,0.9,0.9736842105263158,0.9125
14-8-3,3,SVM,DeepONMF_W,4,143,38,2,17,0.905,0.89375,0.95,0.986206896551724,0.921875
14-8-3,3,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
14-8-3,3,UjaNet,DeepONMF_H3,1,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
14-8-3,3,UjaNet,DeepONMF_H3,2,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
14-8-3,3,UjaNet,DeepONMF_H3,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
14-8-3,3,UjaNet,DeepONMF_H3,4,160,40,0,0,1.0,1.0,1.0,1.0,1.0
14-8-3,3,UjaNet,DeepONMF_H3,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
14-8-3,3,UjaNet,DeepONMF_W,1,155,38,2,5,0.965,0.96875,0.95,0.9872611464968152,0.959375
14-8-3,3,UjaNet,DeepONMF_W,2,160,37,3,0,0.985,1.0,0.925,0.98159509202454,0.9625
14-8-3,3,UjaNet,DeepONMF_W,3,151,36,4,9,0.935,0.94375,0.9,0.9741935483870968,0.921875
14-8-3,3,UjaNet,DeepONMF_W,4,158,35,5,2,0.965,0.9875,0.875,0.9693251533742332,0.93125
14-8-3,3,UjaNet,DeepONMF_W,5,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.94375
16-3,2,KNN,DeepONMF_H2,1,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.94375
16-3,2,KNN,DeepONMF_H2,2,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
16-3,2,KNN,DeepONMF_H2,3,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
16-3,2,KNN,DeepONMF_H2,4,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
16-3,2,KNN,DeepONMF_H2,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
16-3,2,KNN,DeepONMF_W,1,150,36,4,10,0.93,0.9375,0.9,0.974025974025974,0.91875
16-3,2,KNN,DeepONMF_W,2,147,35,5,13,0.91,0.91875,0.875,0.9671052631578948,0.896875
16-3,2,KNN,DeepONMF_W,3,149,34,6,11,0.915,0.93125,0.85,0.9612903225806452,0.890625
16-3,2,KNN,DeepONMF_W,4,146,33,7,14,0.895,0.9125,0.825,0.954248366013072,0.8687499999999999
16-3,2,KNN,DeepONMF_W,5,149,33,7,11,0.91,0.93125,0.825,0.9551282051282052,0.878125
16-3,2,SVM,DeepONMF_H2,1,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
16-3,2,SVM,DeepONMF_H2,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
16-3,2,SVM,DeepONMF_H2,3,154,38,2,6,0.96,0.9625,0.95,0.9871794871794872,0.95625
16-3,2,SVM,DeepONMF_H2,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
16-3,2,SVM,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
16-3,2,SVM,DeepONMF_W,1,145,39,1,15,0.92,0.90625,0.975,0.9931506849315068,0.940625
16-3,2,SVM,DeepONMF_W,2,145,35,5,15,0.9,0.90625,0.875,0.9666666666666668,0.890625
16-3,2,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297296,0.915625
16-3,2,SVM,DeepONMF_W,4,143,37,3,17,0.9,0.89375,0.925,0.9794520547945206,0.909375
16-3,2,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
16-3,2,UjaNet,DeepONMF_H2,1,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
16-3,2,UjaNet,DeepONMF_H2,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
16-3,2,UjaNet,DeepONMF_H2,3,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
16-3,2,UjaNet,DeepONMF_H2,4,160,37,3,0,0.985,1.0,0.925,0.98159509202454,0.9625
16-3,2,UjaNet,DeepONMF_H2,5,160,40,0,0,1.0,1.0,1.0,1.0,1.0
16-3,2,UjaNet,DeepONMF_W,1,154,37,3,6,0.955,0.9625,0.925,0.9808917197452228,0.94375
16-3,2,UjaNet,DeepONMF_W,2,159,36,4,1,0.975,0.99375,0.9,0.9754601226993864,0.946875
16-3,2,UjaNet,DeepONMF_W,3,153,36,4,7,0.945,0.95625,0.9,0.9745222929936306,0.928125
16-3,2,UjaNet,DeepONMF_W,4,151,39,1,9,0.95,0.94375,0.975,0.993421052631579,0.959375
16-3,2,UjaNet,DeepONMF_W,5,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
16-4,2,KNN,DeepONMF_H2,1,159,37,3,1,0.98,0.99375,0.925,0.9814814814814816,0.959375
16-4,2,KNN,DeepONMF_H2,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759492,0.978125
16-4,2,KNN,DeepONMF_H2,3,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
16-4,2,KNN,DeepONMF_H2,4,157,34,6,3,0.955,0.98125,0.85,0.9631901840490796,0.915625
16-4,2,KNN,DeepONMF_H2,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
16-4,2,KNN,DeepONMF_W,1,147,35,5,13,0.91,0.91875,0.875,0.9671052631578948,0.896875
16-4,2,KNN,DeepONMF_W,2,141,35,5,19,0.88,0.88125,0.875,0.9657534246575342,0.878125
16-4,2,KNN,DeepONMF_W,3,150,33,7,10,0.915,0.9375,0.825,0.9554140127388536,0.88125
16-4,2,KNN,DeepONMF_W,4,142,36,4,18,0.89,0.8875,0.9,0.9726027397260274,0.89375
16-4,2,KNN,DeepONMF_W,5,152,33,7,8,0.925,0.95,0.825,0.9559748427672956,0.8875
16-4,2,SVM,DeepONMF_H2,1,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
16-4,2,SVM,DeepONMF_H2,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
16-4,2,SVM,DeepONMF_H2,3,155,38,2,5,0.965,0.96875,0.95,0.9872611464968152,0.959375
16-4,2,SVM,DeepONMF_H2,4,156,37,3,4,0.965,0.975,0.925,0.981132075471698,0.95
16-4,2,SVM,DeepONMF_H2,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
16-4,2,SVM,DeepONMF_W,1,148,39,1,12,0.935,0.925,0.975,0.9932885906040269,0.95
16-4,2,SVM,DeepONMF_W,2,147,38,2,13,0.925,0.91875,0.95,0.9865771812080536,0.934375
16-4,2,SVM,DeepONMF_W,3,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
16-4,2,SVM,DeepONMF_W,4,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
16-4,2,SVM,DeepONMF_W,5,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.928125
16-4,2,UjaNet,DeepONMF_H2,1,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
16-4,2,UjaNet,DeepONMF_H2,2,160,40,0,0,1.0,1.0,1.0,1.0,1.0
16-4,2,UjaNet,DeepONMF_H2,3,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
