distribucion,numero_capas,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
14-8-3,3,KNN,DeepONMF_H3,0.97,0.0158113883008419,0.985,0.0071260964068696,0.91,0.0575543221661066,0.9777758782995022,0.0140038342482315,0.9475,0.0312030897909165
14-8-3,3,KNN,DeepONMF_W,0.905,0.0226384628453435,0.92875,0.0190599383524711,0.8099999999999999,0.0720243014544396,0.9515400265636856,0.0174098656738729,0.869375,0.0387424387784249
14-8-3,3,SVM,DeepONMF_H3,0.973,0.0103682206766638,0.9825,0.0068465319688146,0.935,0.0285043856274784,0.9837418453845852,0.0071129256052972,0.95875,0.0168865701076328
14-8-3,3,SVM,DeepONMF_W,0.915,0.0154110350074224,0.90875,0.0200585081698515,0.94,0.0285043856274784,0.9838387367392104,0.0073737699098346,0.924375,0.0148889115619644
14-8-3,3,UjaNet,DeepONMF_H3,0.994,0.0065192024052026,0.99625,0.0034232659844072,0.985,0.0223606797749979,0.9962655279503104,0.0055598139962736,0.990625,0.0123031373031434
14-8-3,3,UjaNet,DeepONMF_W,0.964,0.0181659021245849,0.9775,0.0219195973959377,0.91,0.0285043856274784,0.9775367164515988,0.0069750592963127,0.94375,0.0175390190005028
16-3,2,KNN,DeepONMF_H2,0.973,0.0125499003980111,0.985,0.0071260964068696,0.925,0.0395284707521047,0.9813582145859284,0.009772208538081,0.955,0.0223825057243374
16-3,2,KNN,DeepONMF_W,0.912,0.0125499003980111,0.92625,0.0102697979532218,0.8550000000000001,0.0325960120260132,0.962359626181158,0.0083344787554584,0.890625,0.0191366386154935
16-3,2,SVM,DeepONMF_H2,0.975,0.0141421356237309,0.98125,0.0125,0.95,0.0306186217847896,0.9874280358006772,0.007647908654816,0.965625,0.019263793759278
16-3,2,SVM,DeepONMF_W,0.91,0.01,0.90625,0.0088388347648318,0.925,0.0353553390593273,0.9797998272244848,0.0093660455397735,0.915625,0.0182217246713915
