indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_-5db,N,New_N_001.wav,28-10,DeepONMF_H2,2,0.3954130815607225,10x212,0.024201099993661046,28,0.30150611629694907,0.26506477154498936,0.01879999996162951,10,0.5757273427636097,0.22519357319585515,0.004497800022363663
1,SNR_-5db,N,New_N_002.wav,28-10,DeepONMF_H2,2,0.38869812689416416,10x212,0.021985200000926852,28,0.300206890637216,0.2558293004488445,0.01686370000243187,10,0.5343776465793784,0.17105124182688333,0.004419100005179644
2,SNR_-5db,N,New_N_003.wav,28-10,DeepONMF_H2,2,0.389632415189773,10x212,0.021526600001379848,28,0.29987410078718135,0.2551679929326263,0.016403099987655878,10,0.522122070085804,0.1832789648280666,0.00411600002553314
3,SNR_-5db,N,New_N_004.wav,28-10,DeepONMF_H2,2,0.39006473078925374,10x212,0.020103299990296364,28,0.3054405953722851,0.265186835993762,0.01578190003056079,10,0.5371534138643776,0.21340164235282677,0.003598600043915212
4,SNR_-5db,N,New_N_005.wav,28-10,DeepONMF_H2,2,0.39042402646761265,10x212,0.019418600015342236,28,0.304031007347135,0.26257862620996486,0.01491390005685389,10,0.5379105242418627,0.18813485646012995,0.0036608000518754125
5,SNR_-5db,N,New_N_006.wav,28-10,DeepONMF_H2,2,0.3861798852391977,10x212,0.020695600076578557,28,0.3033479838475155,0.2572565304016953,0.015877899946644902,10,0.551275408595011,0.22026023962387428,0.0038630999624729156
6,SNR_-5db,N,New_N_007.wav,28-10,DeepONMF_H2,2,0.3919641054517574,10x212,0.020334100001491606,28,0.307499732960033,0.24426207109412384,0.01574639999307692,10,0.5499829661533667,0.18197331317600882,0.00362249999307096
7,SNR_-5db,N,New_N_008.wav,28-10,DeepONMF_H2,2,0.38722909467922356,10x212,0.01934989995788783,28,0.3032694774669434,0.26126450586640776,0.014200799982063472,10,0.5470782466403796,0.1954179968258576,0.004059899947606027
8,SNR_-5db,N,New_N_009.wav,28-10,DeepONMF_H2,2,0.3865720573850665,10x212,0.02148919994942844,28,0.30089912748118297,0.2661223054850105,0.017123300000093877,10,0.5157922726273141,0.21988984814274082,0.0036949000786989927
9,SNR_-5db,N,New_N_010.wav,28-10,DeepONMF_H2,2,0.39260067315062863,10x212,0.020594900008291006,28,0.2998783885367984,0.2678885415372468,0.01635090005584061,10,0.5389953016093616,0.18838378061961755,0.0035859999479725957
