clase,archivo,ruta,columnas_espectrograma,duracion_s,SBV_1,SBV_2,SBV_3,SBV_4,SBV_5,SBV_6,SBV_7
N,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_001.wav,265,2.104625,0.8326916683382588,0.27561298416526187,1.0002893813236997,0.607429959922126,0.49192514206741583,0.7038941296778084,0.8967224490924004
N,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_002.wav,265,2.1195,0.898354847179737,0.29471738726838037,0.930150055948646,0.6479294978931011,0.43823679872389787,0.5551676372974198,1.15894905981836
N,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_003.wav,265,2.116625,1.0875439224049372,0.2534860365228794,1.038414457033901,0.45216695835621507,0.4753310144959233,0.7671746254827414,0.9247891493068141
N,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_004.wav,265,2.087,0.9334924880442858,0.3024669105272896,1.0792594300550933,0.6142594735983887,0.3690132744980622,0.687166150238886,1.0451469459587188
N,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_005.wav,265,2.120375,0.7526472310416679,0.24565610823920517,0.8702320989276453,0.5816400812372026,0.5810801637998819,0.9374475017609435,1.0799958030424543
N,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_006.wav,265,2.090625,0.8711628033176926,0.20372929989271102,0.9121309017308773,0.584368094701774,0.5987760226755898,0.8060193074550533,1.1084046417234061
N,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_007.wav,265,2.101875,1.0140817818183687,0.3066005197554167,0.7945819921306323,0.6097783185150952,0.5610733974160975,0.7717970202385429,1.0164651672812217
N,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_008.wav,265,2.10925,0.9190032951994166,0.3661435113740452,0.7823223757641626,0.6548819927783908,0.36203257759835555,0.9380014933123264,1.028584949478298
N,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_009.wav,265,2.1005,0.8189323422486767,0.25420555699050124,1.0607943173386671,0.5381280539143868,0.6006870183252843,0.7189839809044423,1.1196201289172956
N,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_010.wav,265,2.093,0.7232657564135782,0.31282192811755016,1.0446506827159325,0.5351428442326113,0.4959027513741384,0.9591276862252861,1.1259743583609847
N,New_N_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_011.wav,265,2.1105,0.9491359171215372,0.33256359057230656,0.9266658391566546,0.5737104483797582,0.45730416025984116,0.8276427603702049,1.0800755803451862
N,New_N_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_012.wav,265,2.095625,1.0336144169842938,0.31249604105752,0.726230441160506,0.6260748220771376,0.4603628544461371,0.7262822470825233,1.1657303731814694
N,New_N_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_013.wav,265,2.11525,0.7117785519806511,0.26570488882106014,1.076997318985385,0.6381699738682868,0.4711648906439836,0.9476509569550742,0.8825522835144857
N,New_N_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_014.wav,265,2.093,1.054306674813685,0.24516040391221167,0.7619485950955946,0.6013796510022841,0.559182145807859,0.7313436216843986,1.1427455074504198
N,New_N_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_015.wav,265,2.093,0.7836292085124295,0.22023338976982673,0.7750445689187915,0.6735326256567009,0.6156515732858878,0.8076587139748759,1.2589412065100931
N,New_N_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_016.wav,265,2.08575,0.8311053172705638,0.321687738541005,0.827269030802018,0.6036531705836381,0.5424774285921129,0.796802542148824,1.0761213948587596
N,New_N_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_017.wav,265,2.063625,1.1070330568358364,0.36290343156870997,0.6131118542604276,0.7392079430398603,0.32533641017207326,0.7236929911106178,1.201869693343342
N,New_N_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_018.wav,265,2.100625,0.85562031546183,0.25274591449102884,0.816500306730907,0.6275769990701685,0.5478074714227685,0.7516707071140564,1.2247480102324935
N,New_N_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_019.wav,265,2.09175,1.120373363287229,0.3175897061587976,0.8972178439927403,0.6028953519752298,0.4951180328112781,0.6919540602394292,1.0952475929813963
N,New_N_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_020.wav,265,2.077,0.9620799043579858,0.2763201637681522,1.1052364362292664,0.5105434207094419,0.46112190947180826,0.9700240530322449,0.8214748604586138
N,New_N_021.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_021.wav,265,2.1105,0.6882704148411848,0.2843492735418037,1.0864512658834016,0.6377197563544377,0.4922449839317715,0.7181788044912275,1.293835264573485
N,New_N_022.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_022.wav,265,2.087875,0.9559306606263904,0.27455294721294216,0.77042041296522,0.4994953555789221,0.6629188793060277,0.9347761060328544,1.0213017722595397
N,New_N_023.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_023.wav,265,2.116625,0.7878967831816,0.26704190508560616,1.0763659800756384,0.4746047923046342,0.5538150809122698,0.8364870377388611,1.0505840405408637
N,New_N_024.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_024.wav,265,2.10925,0.7792588193381002,0.24222080325892106,0.8660372029178577,0.5088285899132856,0.5852405607887401,0.6588822147464395,1.3951220735855894
N,New_N_025.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_025.wav,265,2.103,0.8841890572420491,0.19992992559155492,1.0142871818239187,0.6273353488253898,0.5305631429488277,0.8698339743093061,0.9731191399959039
N,New_N_026.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_026.wav,265,2.1105,1.0437739176039995,0.27128661931711534,0.805635153303192,0.6219090888171489,0.4745566102079221,0.6971121934439252,1.0196117900139299
N,New_N_027.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_027.wav,265,2.116625,0.6634159010744195,0.2997922408188364,0.936427726356545,0.5426087412084895,0.5910093090104763,0.8851833506716009,1.167649013738245
N,New_N_028.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_028.wav,265,2.087,0.9078526686282083,0.2851461145283912,0.835474642761927,0.5344605467580983,0.5820748866097988,0.817205892221056,1.1871167936640203
N,New_N_029.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_029.wav,265,2.103,0.8956048887958529,0.2948256821538767,0.8098905630917983,0.6826416991641115,0.4589533436934343,0.6990133096639439,1.2358875454109028
N,New_N_030.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_030.wav,265,2.1105,0.7556178845446295,0.2589610587967737,1.1655000597137153,0.581036695723415,0.6386708867738673,0.764456135825901,1.0813341238393592
N,New_N_031.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_031.wav,265,2.09825,0.729165602082631,0.27458122760568815,0.9410634011269925,0.6372242814301837,0.4976717598716363,0.8576222556388632,1.0993602453881093
N,New_N_032.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_032.wav,265,2.083625,0.8888393516782697,0.3126891885813117,0.9252779694867639,0.6069317512674905,0.4077491030827898,0.7562879700404641,1.1297337602115718
N,New_N_033.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_033.wav,265,2.1105,1.2111056102012718,0.3316402828023664,0.7295192650453858,0.592747779838393,0.4197875768791412,0.9509904411215214,0.8691641888270524
N,New_N_034.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_034.wav,265,2.1405,1.0338908749408318,0.31149213004667126,0.8012597867134967,0.6230882122465863,0.41336186039778544,0.8520788008030298,0.9084307962486894
N,New_N_035.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_035.wav,265,2.09175,0.8395145424651999,0.2829704801564402,0.9366078368657832,0.39091014185725614,0.577741588053304,0.8130196606896103,1.1976608079772917
N,New_N_036.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_036.wav,265,2.084375,0.716376766198173,0.273521514734453,0.8935858160181489,0.5627559063396183,0.5861105816423756,1.0423643630379702,0.9564680765365146
N,New_N_037.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_037.wav,265,3.00725,0.023556197937552512,3.2078005032583388,0.09679259766006025,0.19128776187326915,3.9433393266413,0.035787108550512266,0.004246354107946327
N,New_N_038.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_038.wav,265,2.975375,0.11666208417000361,3.262339257934716,0.1155472565792892,0.2124310599155064,3.7566782735225592,0.009096383081995394,0.00685989527856908
N,New_N_039.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_039.wav,265,2.958625,0.07856181390445789,3.3447580827200283,0.0811136043329528,0.1889867782255005,3.797710505078958,0.026625537189297922,0.02173590215437731
N,New_N_040.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_040.wav,265,2.846,0.06048396376327218,3.272475211165007,0.1415499984947259,0.2744300351473281,3.7913403958830507,0.016744099487855456,0.017567533918589413
N,New_N_041.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_041.wav,265,2.59225,1.3494752447062335,0.2183747311596721,1.1855354907058535,0.6551143988856855,0.9302750954514023,0.46930968951362695,1.2858708320753087
N,New_N_042.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_042.wav,265,2.574,1.5850864131096105,0.22933679362932807,0.9396785889315105,0.6354726073375867,0.8973688273820605,0.44765274221257545,1.2311628521564357
N,New_N_043.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_043.wav,265,2.65575,1.4644031197767278,0.19159182624277363,0.9073926224992162,0.738758595615717,0.8930584113100121,0.6175699268352532,1.2419559495088506
N,New_N_044.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_044.wav,265,2.5635,1.7804010749023416,0.21778663347888708,1.0299736043703434,0.6061495201055652,0.9439755219041123,0.4979250227865008,0.9672320521483634
N,New_N_045.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_045.wav,265,2.672875,1.4434589284778383,0.255835497589937,0.7342217813090351,0.789509420188509,0.8185785830813879,0.6161328656132213,1.3035900651119559
N,New_N_046.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_046.wav,265,2.691625,1.6225035137305397,0.2354955418104916,1.0041996061961855,0.5919430732586991,0.8503316378471407,0.5244557216535776,1.182873855463655
N,New_N_047.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_047.wav,265,2.605625,1.6789592572688488,0.20345813834990292,0.837976589371624,0.6285499517327058,0.9435571015045804,0.5747356772176679,1.1369928740768895
