clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,sbv_media_base,3.1233509201616085,0.0281277278676605,1.0248895624510337,2.498093711627116,5.370850182858357,0.252330919104639,2.65168699244972,0.3419364821045559
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,sbv_media_base,4.205485664940342,0.0195312947769518,1.027210080579937,2.900194631814853,5.557602199311342,0.2277702986648136,2.202373586025639,0.3251123929012411
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,sbv_media_base,4.179824130739559,0.0215121889680424,1.2363022831004933,2.668869329648922,5.576918197209332,0.2127991790267042,2.000912124869144,0.3385861452106953
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,sbv_media_base,3.7345548031526423,0.0149098384590207,0.9403161212741226,2.876392943716815,5.239814345323377,0.2519931022269142,2.011519439269468,0.3031137677465776
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,sbv_media_base,3.4356547016365475,0.0204495075070457,0.8019712006478664,2.8676174924674718,5.225170678241776,0.226054369699339,1.833653937619669,0.2975397101686667
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,sbv_media_base,3.1363248772095424,0.0199722064262306,1.2904303416034195,2.6664218553706216,5.414856517871942,0.2191244876650887,1.9933497223102212,0.3071165997336301
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,sbv_media_base,3.447280036435526,0.0172453022582687,1.214293884680102,2.3968451383914067,5.172605239528479,0.1907490812578745,2.0812373482556934,0.3045640018003444
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,sbv_media_base,4.246073944115596,0.0190400986528706,1.1422716689238512,2.5783703563776275,5.629267493492128,0.245272825806402,2.1045777747154526,0.3158274864532744
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,sbv_media_base,4.24373742988917,0.0188049402324199,1.152863712335167,2.652461402908769,5.64085745212478,0.2335362036277914,1.8223737143536465,0.3061681817286533
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,sbv_media_base,3.8242752363258674,0.0163661678795493,1.093266846148966,2.6711933057491546,5.079072657261675,0.2103241018697306,2.1063867529384246,0.2783020392838415
