clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,sbv_media_base,2.832874342232092,1.4199653871548696,3.493728705024836,3.614811422596872,3.249439888248833,0.6865240189766681,0.2381814755347005
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,sbv_media_base,3.3051034509074,1.4656816335780951,3.19859820023672,4.6864561700159255,3.142932085927247,0.6325208737540908,0.2638112130543781
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,sbv_media_base,3.534154231720572,1.6547251279318067,2.6406426054134338,4.44368061471892,3.3597773743031345,0.6447750643103984,0.1888584581517914
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,sbv_media_base,3.148710127143134,1.313902484131004,3.0144256944404675,4.279422274239654,2.9563103140681983,0.6217677492509294,0.2601108430236867
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,sbv_media_base,3.1126859999141567,1.1117696471172775,2.655623977201852,4.159887450158213,2.9502335769220607,0.6003797626590138,0.2167187199198355
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,sbv_media_base,2.9610195097311696,1.7620286864468355,2.876117412344247,3.614765540122631,3.2020837105891458,0.5359198829170706,0.1931289626594309
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,sbv_media_base,3.094488928440722,1.5734553857799378,2.808303883652503,3.6743545165004736,3.2290785761703176,0.5706523182950973,0.2200910918993494
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,sbv_media_base,3.1327050316242198,1.6395589025014956,3.1517862983495,4.671709679881158,3.1665584896601677,0.6263546726355314,0.2596843829450195
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,sbv_media_base,3.275077999426629,1.5186089593236982,2.5204732593991004,4.683008251606891,3.291844490987526,0.6510172299628403,0.2890760143556975
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,sbv_media_base,3.045253036114393,1.4274428783373674,3.13139822283272,4.204153464642098,2.8615198157953934,0.6551736562695663,0.1999004161254416
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,sbv_media_base,3.37924902784798,1.4761608747200925,2.660582729328877,4.386502975799306,2.8614711624539564,0.5842892915228876,0.260365268405241
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,sbv_media_base,2.970187025936866,1.5241799523432564,2.904830626722396,3.7024995018987776,3.2413913574376627,0.6566782999722485,0.2086660907279049
AS,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_013.wav,sbv_media_base,2.9040484859250504,1.6544564388450984,2.895080109785012,3.659712048330845,2.804056702932727,0.5274554052934365,0.2134204214227713
AS,New_AS_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_014.wav,sbv_media_base,3.5995267554266297,1.4370598500156264,2.4845064396958545,4.483876647638852,3.364352517898189,0.5693958223358732,0.2594075072527935
AS,New_AS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_015.wav,sbv_media_base,3.3067846987069727,1.5225421774659564,2.7212028739834584,4.313558363671188,3.3634543580146152,0.6058378417389937,0.2263169250322095
AS,New_AS_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_016.wav,sbv_media_base,3.03711421613055,1.1036357716622156,2.9510565727076705,4.050485357348356,2.9700731158039995,0.5770835932952234,0.290805800300644
AS,New_AS_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_017.wav,sbv_media_base,3.173969377932597,1.328624276782219,2.896117556058869,4.486588781823223,2.8071467173842537,0.6550479223976132,0.2032666146458799
AS,New_AS_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_018.wav,sbv_media_base,3.246420237469834,1.5204218626960295,2.7894199267054667,3.877512416798088,3.1417339573986185,0.6152015338981531,0.2886248907594212
AS,New_AS_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_019.wav,sbv_media_base,2.845826692837676,1.482660969141563,3.0814451670435328,3.529698906517193,3.5082728265137826,0.682369196815954,0.2138998628601397
AS,New_AS_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_020.wav,sbv_media_base,3.621703228313735,1.520750726325745,2.391460099259572,4.654428448149949,3.3646595866162063,0.5799348538291981,0.2853717385031042
AS,New_AS_021.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_021.wav,sbv_media_base,3.202333264354338,1.361027232932132,2.8037652946097813,4.346015777119932,3.137698493808854,0.6088022645747339,0.2454514003909461
AS,New_AS_022.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_022.wav,sbv_media_base,2.999828416500484,1.2792903787292034,3.016160808559137,3.940988474674356,2.9477425313390846,0.6598441280626725,0.2462104631168067
AS,New_AS_023.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_023.wav,sbv_media_base,2.9222482490303654,1.342315366464511,2.8368161581483453,4.22742625614864,2.5294742552076324,0.5347408142993239,0.1972931732847208
AS,New_AS_024.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_024.wav,sbv_media_base,3.081420550641886,1.6484929328127915,2.7935805938324423,3.7318281917092464,3.0909367284080043,0.6070670138746603,0.2341262291893745
AS,New_AS_025.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_025.wav,sbv_media_base,0.9462809490531336,0.5570318847746747,1.0395930287927644,1.2334976009071077,1.0552648142871062,0.179693425341363,0.0456730167052274
AS,New_AS_026.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_026.wav,sbv_media_base,1.1915929214124363,0.4740326034032678,0.8221513224960522,1.4827985119185958,1.214479931984725,0.2141237049325756,0.045827192352638
AS,New_AS_027.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_027.wav,sbv_media_base,1.0916657554601832,0.5753950573119174,0.8930843882245297,1.4787683542720538,1.0739037077600584,0.1801666166344169,0.0447275289484829
AS,New_AS_028.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_028.wav,sbv_media_base,1.0511000724804134,0.4658535181139261,0.9021004632388736,1.2978349664313984,1.031089998388026,0.1967266659945229,0.0398712980138158
AS,New_AS_029.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_029.wav,sbv_media_base,1.0654961050973069,0.4677577245755276,0.9264395656819594,1.3204733519370755,1.007394617876268,0.2287393623291834,0.0381670257256056
AS,New_AS_030.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_030.wav,sbv_media_base,1.0568577403744028,0.5141166594161284,0.9462750824252606,1.247753052937123,1.12391141219459,0.1705560092625149,0.0452113244830522
AS,New_AS_031.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_031.wav,sbv_media_base,1.0130801267105856,0.46051400336333,0.9502306086248136,1.102306023429639,1.0509181763504305,0.2241094695032609,0.0502596493118984
AS,New_AS_032.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_032.wav,sbv_media_base,1.1246518919452824,0.4826463262066193,0.951379017326608,1.4144897224127353,1.1811562968723603,0.224091876372107,0.0298888279812647
AS,New_AS_033.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_033.wav,sbv_media_base,1.0786087715335415,0.5528826124967999,0.962030176711918,1.368369900985189,1.1114066045596729,0.1945868571396315,0.0493266349766446
AS,New_AS_034.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_034.wav,sbv_media_base,0.9555828434566672,0.4452839443599075,0.9910965651193246,1.313886533100978,0.9593323229891396,0.2140582201064382,0.0411057958426305
AS,New_AS_035.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_035.wav,sbv_media_base,1.1257929875504866,0.4407800794371406,0.7562247777628606,1.362727329517218,0.9659263750232358,0.1719456650755692,0.0608724931476595
AS,New_AS_036.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_036.wav,sbv_media_base,1.090563114665754,0.5078372662300042,0.9281296974517156,1.1430242654251888,1.108140872604993,0.1981209459176272,0.0459760839019497
AS,New_AS_037.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_037.wav,sbv_media_base,1.0115394850625543,0.5015881845633614,0.8364203431336855,1.1964852433481246,1.0601842126573646,0.2373672443656103,0.0538871484936667
AS,New_AS_038.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_038.wav,sbv_media_base,1.1412851256200438,0.4896984238407684,0.9200708393489612,1.3994132965263255,1.175405677165296,0.2202764007259033,0.053754570361279
AS,New_AS_039.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_039.wav,sbv_media_base,1.0267051408074015,0.484573159806846,0.9662115250890508,1.412783253216851,1.0680452109524807,0.1708982970142415,0.049895843010448
AS,New_AS_040.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_040.wav,sbv_media_base,1.0081303934664216,0.4861010973143397,0.9610895198489894,1.3045752060503433,0.948364344551751,0.153181556387996,0.0516074034567905
AS,New_AS_041.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_041.wav,sbv_media_base,1.0595629109165392,0.5032012834916995,0.9016978559577036,1.3649032998776491,1.0028411099793595,0.2235782298377751,0.046880323727337
AS,New_AS_042.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_042.wav,sbv_media_base,1.0233424968859677,0.485787486061203,0.9539405038039728,1.1764062278350589,1.1418059029450591,0.2254504024874054,0.0381321478830926
AS,New_AS_043.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_043.wav,sbv_media_base,1.0425746803174636,0.4357290728985475,0.8941578453313993,1.2547426410392843,1.1722767589465422,0.2284379559595711,0.0399382743263767
