clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008,F_009,F_010,F_011,F_012,F_013,F_014,F_015,F_016,F_017,F_018,F_019,F_020,F_021,F_022,F_023,F_024,F_025,F_026,F_027,F_028,F_029,F_030,F_031,F_032,F_033,F_034,F_035,F_036,F_037
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,softmin_f8_y_resumen_h,8.346200302316157e-07,0.19624357069957504,0.19838641467758092,0.22518068010391815,0.38018849989889564,1.388185304053306,0.05261380836253053,0.8553260675860516,1.22702463972585,1.753272025020991,0.1773936655970816,1.269932325934902,0.29686422720696937,1.9356203319918868,0.19998144979523444,1.3877309090613634,1.6962738321688529,2.2640173001905395,0.5261131759156754,1.831238988539246,0.8338585788286581,2.330396255542197,0.06377967854068013,1.9478221200995962,2.1610069440358615,2.961796857315234,0.2822485179103901,2.2282153688172843,0.4677625105750337,3.609127156061532,1.0934641348811656,2.866491986685877,3.289897559349111,3.852381390681849,2.0999449611579712,3.573324406080246,2.393605774977488
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,softmin_f8_y_resumen_h,2.3409339451066102e-06,0.18428589298075418,0.2396625921441016,0.26022337242083726,0.3158258015203619,1.6104220774956386,0.0590412753496064,0.8406486117040239,1.3059649017470403,1.7861011772812667,0.17387254421017262,1.2068772805444623,0.27845723840753794,2.14302986364656,0.19166974205027254,1.4368736596091087,1.7377744107270607,2.253856907987561,0.4826906331093544,1.7317436465162788,0.8465818610207126,2.7092705472401133,0.08227201289114824,1.7545072425538122,2.260181883084726,3.0068253212351754,0.2754054134169022,2.1425027123473632,0.5011442992846198,3.6915908966605593,0.9678487506556197,2.9047738692123084,3.482356032410581,3.7309315098396523,1.8366458196543247,3.231580683128823,2.720229737427966
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,softmin_f8_y_resumen_h,2.8720853033272127e-07,0.15520747778554933,0.2762622949792023,0.23262062156687935,0.3359093184598386,1.5582790539838485,0.04945323218613453,0.925918362081173,1.3099023989561993,1.7896346893703823,0.15004346983476186,1.1526461900988139,0.2780664118018893,2.109110072964378,0.16845967546372956,1.5489756890557407,1.7719100468584892,2.323289406677439,0.4299163114788768,1.6647885445044766,0.7478304479560209,2.685134899776389,0.07916280518536246,1.9921040969946608,2.353680335566884,2.9569376556478293,0.33761944931854493,2.169824694079365,0.5241500007678818,3.693417365740846,1.0920100684054226,3.0394968640578095,3.3944202586180316,3.965779680611012,1.7608954368228789,3.360540188459134,2.276194594449295
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,softmin_f8_y_resumen_h,4.924655223370025e-07,0.1455179059064186,0.23887080318376502,0.22220076367754346,0.3934100347667506,1.527273071056336,0.04793427463807593,0.8008013826262157,1.3142966604217974,1.7333009397505241,0.1728687852189461,1.1531909811177379,0.25036679782678123,2.0293111117719516,0.16865306749746695,1.4451044757605238,1.7245593141771653,2.298907075752134,0.4722968549879204,1.6934175533911333,0.6832991984863322,2.601651611368628,0.06570854278226397,1.7293486938032712,2.3045819377606875,2.837724929888857,0.4173422024450083,2.090571767395843,0.5145145762661877,3.5816504437924226,1.0151853164941498,2.9576336980763345,3.2436158994963993,3.9879939267079414,1.8321407525858764,3.5987446851383127,2.1775559583550437
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,softmin_f8_y_resumen_h,1.553467990116995e-06,0.12200884551387399,0.1941257444042057,0.29885819749846526,0.385005659115465,1.5129612624195166,0.04762141384460394,0.7474740450324351,1.266743839206644,1.7193034335328006,0.16434713372205426,1.0878813624835668,0.24213840955170132,2.020134516056327,0.19991654953901414,1.3034884171806884,1.7142094162252628,2.241734377035157,0.4902311322373451,1.6087826539381178,0.6447061198386367,2.5891004348216224,0.04984603458482191,1.6620908859377443,2.1796694795690525,2.790112604403782,0.3221968047525315,2.0989365164695992,0.5571851292749724,3.62996944360414,1.3060753358610777,2.757687394920345,3.2095381735128226,3.871110454097905,1.813364812354056,3.416212333125601,1.9351393816509932
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,softmin_f8_y_resumen_h,2.4663683435468117e-07,0.2674324925106758,0.2191131517024348,0.26009354568053994,0.25336056346951513,1.3804250496292108,0.0537594775876269,0.9196440299074431,1.2469974425728423,1.7664320039382435,0.17348264213659387,1.154139978154145,0.2524291404646719,1.9114194212073967,0.18347132165929017,1.5426166939018784,1.699484585075805,2.2718656630087466,0.5324714322244731,1.712329914330873,0.7331645261107681,2.375991556072681,0.07167061337120056,1.844985190642569,2.1665410925469053,2.9921396293911156,0.26974227237908566,1.922992218954796,0.3817159753784079,3.668731448798224,0.9700156691066698,3.108280039779021,3.4328874955001,3.77319443586046,2.0579954596159307,3.387788698894009,2.4272409860695787
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,softmin_f8_y_resumen_h,7.152957706570498e-07,0.19036577016789105,0.24787532245733757,0.26141746178232766,0.300340730296673,1.4224121785488635,0.04252156458411161,0.8842924160492744,1.2339085796344829,1.7275169462502835,0.13554219269576487,1.1665498961360505,0.2664805723045272,1.9848598635277306,0.14305986678918478,1.5254277328711676,1.638172798380871,2.2776243712577355,0.3758759916828609,1.7744289125781776,0.7710667844681589,2.517533337736042,0.060021326590336495,1.79435137837098,2.2511088946821283,2.9674523761005003,0.31760989223524105,2.020504501560934,0.41422518064030595,3.6220086520234775,0.984332279996536,2.9874064170915795,3.2795120308101158,3.7673808372320194,1.525510632283487,3.6160322189967875,2.3023103223164743
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,softmin_f8_y_resumen_h,4.324347202271326e-07,0.16477727729836109,0.2173525279067981,0.3394946255352929,0.2783751368248278,1.608949468087057,0.051941927619302594,0.90861481277568,1.2873620085042514,1.7903003267157553,0.16163826448966023,1.1677746559303457,0.27684127544062054,2.1085576786044697,0.15140874854735725,1.5060063348191912,1.7109687972181065,2.2597251812995935,0.4753124583407757,1.6980050696331423,0.7196801804964275,2.6503609013603366,0.09773178383957624,1.8912034124473562,2.205869332333776,2.9219044942503793,0.2625254990220094,2.209612372753682,0.6389357365433073,3.6818549371563614,0.8745008165171072,3.1429607209308803,3.4434976813717197,3.725804500655934,1.6840831516020793,3.5047199405843434,2.3017232108889942
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,softmin_f8_y_resumen_h,9.151806408677728e-07,0.19428766126259595,0.24470367687505415,0.2593938521425293,0.30161389453917975,1.596099759436633,0.05365380001866821,0.8652279140062755,1.2506529654555714,1.8048335761148258,0.15269550267829385,1.1166350335405462,0.28914214063299853,2.1280699858588745,0.16144315900005304,1.5411331335905487,1.7045958818719769,2.2927233855885176,0.5038156687553385,1.7127554977813164,0.772351550190914,2.713158688748144,0.09606255489656568,1.7131581597972108,2.1839362825492095,2.961956342323084,0.3208085353786952,1.8968961792128856,0.6410913545836511,3.745831410807098,0.8839856648882628,3.19570429901756,3.3729890900017425,3.751885953726322,2.1178316575553766,3.359497931643034,2.4483599386044275
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,softmin_f8_y_resumen_h,4.6024912689816866e-07,0.13782899571555463,0.22247348265419314,0.2686698311564055,0.3710272302247198,1.5240113371760111,0.032766083772336425,0.8518779834230604,1.3207539429408233,1.705601261695389,0.1518815841261711,1.1522914355716072,0.25712024033551817,1.9901397808958088,0.10800877012382774,1.4682528316321182,1.7507706130918272,2.2357573273148508,0.5493222341760075,1.6529924451155475,0.6726161698388714,2.469215140544464,0.06755375502838205,1.8248393688656683,2.203098358080692,2.8429420631834086,0.19084328115622282,2.1203848315330056,0.4897299925164403,3.55969318277216,0.8687159492020086,3.090960251087088,3.3757369375552018,3.751375835936934,2.07892992605889,3.3793423679691834,1.9415395793859889
