clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008,F_009,F_010,F_011,F_012,F_013,F_014,F_015
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,afinidad_y_diferencias_errores,1.1576186454102657,2.0920675529455286,2.063912230719664,2.1402236786103552,2.081238287110257,-0.9344489075352629,-0.9062935853093983,-0.9826050332000895,-0.9236196416999911,0.028155322225864587,-0.04815612566482663,0.010829265835271773,-0.07631144789069122,-0.017326056390592814,0.058985391500098405
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,afinidad_y_diferencias_errores,1.2509102067116828,2.240324764936194,2.0792522575140953,2.233917025060872,2.1893821508455966,-0.9894145582245113,-0.8283420508024124,-0.9830068183491891,-0.9384719441339138,0.1610725074220989,0.0064077398753221715,0.05094261409059753,-0.15466476754677672,-0.11012989333150136,0.044534874215275355
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,afinidad_y_diferencias_errores,1.1100480470498089,2.1608200067570196,2.035030439955232,2.138005963873157,2.126559712230563,-1.0507719597072107,-0.9249823929054233,-1.0279579168233481,-1.016511665180754,0.12578956680178743,0.022814042883862573,0.034260294526456736,-0.10297552391792486,-0.0915292722753307,0.011446251642594163
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,afinidad_y_diferencias_errores,1.2151063613283277,2.235196646026841,2.088850268081072,2.1844976471777775,2.221496094223056,-1.0200902846985134,-0.8737439067527442,-0.9693912858494498,-1.0063897328947284,0.1463463779457692,0.05069899884906359,0.013700551803784933,-0.09564737909670562,-0.13264582614198428,-0.03699844704527866
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,afinidad_y_diferencias_errores,1.2257949480604826,2.194586023111823,2.070230027041065,2.2246893210213243,2.188482774335055,-0.9687910750513402,-0.8444350789805823,-0.9988943729608417,-0.9626878262745722,0.12435599607075787,-0.030103297909501503,0.006103248776768044,-0.15445929398025937,-0.11825274729398982,0.03620654668626955
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,afinidad_y_diferencias_errores,1.1055421021232177,2.1788674217395774,2.0675350471783487,2.1564054706827522,2.0754995304486297,-1.0733253196163597,-0.961992945055131,-1.0508633685595345,-0.969957428325412,0.11133237456122869,0.022461951056825136,0.1033678912909477,-0.08887042350440355,-0.007964483270280986,0.08090594023412256
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,afinidad_y_diferencias_errores,1.1326563569232118,2.112016340464742,2.026972635284107,2.133040713760942,2.070697493938484,-0.9793599835415301,-0.8943162783608951,-1.0003843568377304,-0.9380411370152721,0.08504370518063498,-0.021024373296200327,0.041318846526257946,-0.1060680784768353,-0.04372485865437703,0.06234321982245827
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,afinidad_y_diferencias_errores,1.1934025854245054,2.234909331900596,2.0982216253237125,2.258104749898017,2.186582570751179,-1.0415067464760905,-0.9048190398992071,-1.0647021644735115,-0.9931799853266734,0.13668770657688345,-0.023195417997420975,0.04832676114941714,-0.15988312457430442,-0.08836094542746631,0.07152217914683812
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,afinidad_y_diferencias_errores,1.1816605260615851,2.216098935794847,2.064976222905146,2.193095754914811,2.118895020150574,-1.034438409733262,-0.8833156968435609,-1.011435228853226,-0.9372344940889887,0.15112271288970103,0.023003180880035945,0.09720391564427322,-0.12811953200966508,-0.05391879724542781,0.07420073476423727
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,afinidad_y_diferencias_errores,1.2004064202508518,2.178272923850679,2.0788923369439263,2.208801157533158,2.171782554102206,-0.9778665035998271,-0.8784859166930745,-1.008394737282306,-0.9713761338513545,0.09938058690675255,-0.030528233682479033,0.006490369748472613,-0.1299088205892316,-0.09289021715827994,0.037018603430951647
