clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,sbv_media_log,1.3730494373495952,0.088044388683488,1.3549950697195654,1.6182940841638573,1.6051442194864771,0.4902375717965177,1.0367134462157996
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,sbv_media_log,1.4622466184228038,0.05349889338773835,1.215752799416648,1.5970755769138743,1.5503611619641087,0.3675090550645813,0.940665977106873
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,sbv_media_log,1.4728636011372616,0.036983356404254965,1.1694130681302057,1.582686514763835,1.5300690280939246,0.39935419317909027,1.0861312706050565
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,sbv_media_log,1.4240481364562425,0.08491877830952761,1.2420028181791998,1.724285475161762,1.5626628533785665,0.39283207558402994,0.9734434694030141
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,sbv_media_log,1.4755373008181214,0.06913650250602187,1.1102630076619526,1.6893832768674553,1.6188334578967523,0.4030642526753766,0.9229013262466677
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,sbv_media_log,1.379117561887403,0.09254313187721416,1.2527402481579617,1.5949143283738405,1.5992094006165594,0.34490563111927725,1.0896633241834508
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,sbv_media_log,1.4207215972570717,0.059923352341365865,1.19686979131766,1.637816055330008,1.582795828823229,0.433490629048865,1.0601307368430293
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,sbv_media_log,1.4425703038421112,0.03725255848974611,1.175805362685596,1.5962704833327184,1.5982569735413605,0.38623569413596043,1.0046065604681618
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,sbv_media_log,1.440233183804518,0.06422299558068026,1.130699713586047,1.5892761531179886,1.5781320802466634,0.3592691949623945,0.9852995403766064
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,sbv_media_log,1.4742434214626896,0.0530607519263442,1.2151284698627287,1.6688746095309948,1.6042701433191606,0.42957216193589315,0.9534447319440659
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,sbv_media_log,1.470470870632444,0.03381662792787048,1.12103950501667,1.7432657141267105,1.5618560167543254,0.39015080558599285,0.9569065835374333
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,sbv_media_log,1.3933068553889205,0.06962027469263024,1.2883953593169664,1.5912854311401354,1.619348622049733,0.4026891346851987,0.9748042481626885
AS,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_013.wav,sbv_media_log,1.4244768399177585,0.08601796689886317,1.2041426026974476,1.6199082846755504,1.5739017055922224,0.3243228077066446,1.0758551440870272
AS,New_AS_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_014.wav,sbv_media_log,1.5170782518488353,0.029917991699015576,1.0869801438524103,1.5615605615448493,1.5592773920126568,0.3251405325036579,0.949497736901566
AS,New_AS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_015.wav,sbv_media_log,1.4336917083260714,0.055011040173108636,1.2015277239052957,1.5486986883156284,1.5567647258347383,0.3643012489627181,1.0763883377512
AS,New_AS_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_016.wav,sbv_media_log,1.4450648240959738,0.1130141061349449,1.204850537597501,1.7301431410204662,1.5882003651601346,0.362908526821262,0.9118041473663853
AS,New_AS_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_017.wav,sbv_media_log,1.4325313637267243,0.04569239227522527,1.1831596231886639,1.7604835452198835,1.5552518124760166,0.42436323035008405,0.9199696483337564
AS,New_AS_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_018.wav,sbv_media_log,1.442502047129328,0.09412351711491415,1.1930202873007991,1.6687924752686243,1.5470661731235689,0.37173705376419475,1.0742990691034024
AS,New_AS_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_019.wav,sbv_media_log,1.4122087994501507,0.06949454283178685,1.2494915161399143,1.5471419895700151,1.6681016811174392,0.4783797798743411,1.033231342917752
AS,New_AS_020.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_020.wav,sbv_media_log,1.487244168499039,0.04796649099013795,1.0648350547260026,1.594928638322642,1.590048788703088,0.3269233107369063,0.9751439076313005
