clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,perfil_softmin_errores_f4,0.00029407421975376636,0.3243430379767766,0.1613346233537114,0.2545519407992363,0.2594763236505218
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,perfil_softmin_errores_f4,0.0002686147897089756,0.3205604283956161,0.13765302181596697,0.24819483349393054,0.2933231015047773
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,perfil_softmin_errores_f4,0.00011159893625386153,0.32832521869894354,0.14843176242468142,0.2386806040900375,0.28445081585008364
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,perfil_softmin_errores_f4,0.000133975724780699,0.33377640792284907,0.14669012379779545,0.2321995357894946,0.2871999567650803
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,perfil_softmin_errores_f4,0.00017805626587185546,0.3219535827274695,0.1328092188033014,0.26585186626799034,0.2792072759353668
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,perfil_softmin_errores_f4,0.00013344454739077705,0.3173390451539016,0.1404741950755913,0.25321247178486167,0.2888408434382547
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,perfil_softmin_errores_f4,0.00023107840462490174,0.29677225853338085,0.14678829072921398,0.2726280537239505,0.2835803186088297
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,perfil_softmin_errores_f4,0.00014680059314943353,0.30279065726179644,0.13553354613569218,0.27558062042417675,0.2859483755851851
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,perfil_softmin_errores_f4,0.0001585468260784455,0.32750907615368174,0.14382613754180243,0.24170302029482255,0.28680321918361495
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,perfil_softmin_errores_f4,0.00017807225983305791,0.3176632907139101,0.1470721229441507,0.2624679488956925,0.27261856518641364
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,perfil_softmin_errores_f4,0.0001370979896628845,0.3254791818234488,0.13911214408428324,0.2513427942071706,0.2839287818954344
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,perfil_softmin_errores_f4,0.00014541612338479754,0.3269431819833444,0.14201872894865428,0.26055347155601755,0.27033920138859896
AS,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_013.wav,perfil_softmin_errores_f4,0.0001963698624732328,0.3011994040026963,0.14019381065754466,0.2550271339105479,0.30338328156673794
AS,New_AS_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_014.wav,perfil_softmin_errores_f4,0.0001180066631761166,0.32763660362341257,0.1191823725553337,0.24999569604431235,0.30306732111376533
AS,New_AS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_015.wav,perfil_softmin_errores_f4,0.00034506073779909326,0.3026192133132461,0.14802357955428203,0.25847162248910655,0.2905405239055664
AS,New_AS_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_016.wav,perfil_softmin_errores_f4,0.00012993541040691556,0.33354303702469074,0.1272174772384508,0.25309134908043546,0.2860182012460161
