epoca,loss,acc_train,acc_val
1,1.610626952988761,0.21052631735801697,0.2097902148962021
2,1.598659254255749,0.27067670226097107,0.25524476170539856
3,1.5856728837603615,0.34285715222358704,0.3636363744735718
4,1.5644167037237258,0.4060150384902954,0.42307692766189575
5,1.5428269817715599,0.28872179985046387,0.3181818127632141
6,1.5126814671925135,0.36090224981307983,0.3461538553237915
7,1.4668525400615873,0.48721805214881897,0.5
8,1.4182382084074474,0.45413532853126526,0.440559446811676
9,1.3675482273101807,0.4917293190956116,0.47902098298072815
10,1.3169423114685785,0.6285714507102966,0.5909090638160706
11,1.268590972537086,0.43609023094177246,0.40909090638160706
12,1.2100594441095989,0.5278195738792419,0.5314685106277466
