clase,archivo,ruta,duracion_s,error_vs_N,error_vs_AS,error_vs_MR,error_vs_MS,error_vs_MVP,afinidad_N,afinidad_AS,afinidad_MR,afinidad_MS,afinidad_MVP
N,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_001.wav,2.104625,0.06939891074389505,0.14180880741128288,0.08842125399688304,0.09116372195927473,0.08721524574345205,0.24233640550251237,0.13578159732862252,0.20812692713785316,0.20361040256386687,0.2101446674671451
N,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_002.wav,2.1195,0.07046043045821264,0.1338354763736485,0.08439199199771051,0.08436962548897413,0.08659595703963302,0.23416860155058997,0.14103964316107767,0.20947174950524758,0.20950923407246586,0.20581077171061893
N,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_003.wav,2.116625,0.06829724369558252,0.1450264456497382,0.08174679850927015,0.08618128715955749,0.08325890993456848,0.23848444416013423,0.12908491826590845,0.21415662632820145,0.20669240808035752,0.2115816031653983
N,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_004.wav,2.087,0.06876725187447659,0.13982977213999312,0.08446226279396137,0.08628424609590948,0.08493885057756892,0.2383072497098598,0.1349710949640307,0.21018765331156064,0.20714620586810154,0.20938779614644726
N,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_005.wav,2.120375,0.07362964000482404,0.1508824846289116,0.0911369189401964,0.08656113177750924,0.09116656970746224,0.23928382091967126,0.12897616574253323,0.20801124715813085,0.215766854714563,0.20796191146510148
N,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_006.wav,2.090625,0.07546023616756152,0.15004033659341,0.08919084676511088,0.09277637393497606,0.09078555527652953,0.2379884549582089,0.13105031854882984,0.21323125460581135,0.20720177185585265,0.21052820003129732
N,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_007.wav,2.101875,0.07774641999733703,0.14654766450253442,0.08770955285098267,0.09167745681346151,0.08990881487703453,0.2324541207207744,0.13405939114786666,0.2146454962228012,0.2079389611849239,0.21090203072363375
N,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_008.wav,2.10925,0.07461031600823359,0.1485569832635297,0.08560077296897078,0.08960430418291195,0.08736952832027527,0.23478517438709812,0.12994322268369596,0.2150234923327946,0.20824578465952795,0.21200232593688345
N,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_009.wav,2.1005,0.07003506730310076,0.14165246152678612,0.08510412208033591,0.08823409908718721,0.08660181053169937,0.23862477778016186,0.13455233040354897,0.21152430572653888,0.20629353805166403,0.20900504803808617
N,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_010.wav,2.093,0.0759248885380261,0.15676528671255,0.09308908177647672,0.09172091385499208,0.09144356338220369,0.24038494679859795,0.12590383458760515,0.20954280482854473,0.21184892036894362,0.21231949341630846
N,New_N_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_011.wav,2.1105,0.08205227727388575,0.15320947858638345,0.09072063279830787,0.09379327706552246,0.09559058983450382,0.23219908017364554,0.13141200937237407,0.21664244240941216,0.21138203940150788,0.2083644286430604
N,New_N_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_012.wav,2.095625,0.08219578645902773,0.1522890255813419,0.09591907207284384,0.10056854229015481,0.0989391128538774,0.23782598537276134,0.13574706519268837,0.21309817338645265,0.20531742694814648,0.20801134909995114
N,New_N_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_013.wav,2.11525,0.07412971592778939,0.15406753543792534,0.09259875376286139,0.09075839895820705,0.0890872383957929,0.24079786561890137,0.12703406687593208,0.20772301778427277,0.210803914334313,0.21364113538658092
N,New_N_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_014.wav,2.093,0.07877162266424674,0.15396012988201535,0.09446536890030655,0.09623670605354691,0.09586175823830627,0.23970405838831255,0.13135413739819363,0.21142178147115973,0.2084469151652309,0.2090731075771032
N,New_N_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_015.wav,2.093,0.07739866141239694,0.14564952402092535,0.09210624753674877,0.09592506388045445,0.0925033059982703,0.23715322540176112,0.13737295852941792,0.21082865962860453,0.20448512473780164,0.21016003170241473
N,New_N_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_016.wav,2.08575,0.0746791084133899,0.14665454095830543,0.08638730590940127,0.08729839901524222,0.0921666627624393,0.23550139833399966,0.13241135342935573,0.21444456595557007,0.2128872166858975,0.20475546559517702
N,New_N_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_017.wav,2.063625,0.07814022505403724,0.14724450874141498,0.09259557466898954,0.09329378649640196,0.0949020187603541,0.236605225835473,0.13612298369943387,0.21076636425908077,0.20959236955265004,0.20691305665336227
N,New_N_018.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_018.wav,2.100625,0.07560645097887013,0.14859919332764066,0.0886777874622584,0.09370626012910734,0.09010782602629774,0.23730034906467132,0.13234136668902158,0.21373906370574908,0.20531146369691153,0.2113077568436465
N,New_N_019.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_019.wav,2.09175,0.07550074980317016,0.14076062874857626,0.08821530303107836,0.08899896196474198,0.08888502974927498,0.2329551995836759,0.1382090131059128,0.2104250921014425,0.2091100066961243,0.20930068851284447
