clase,archivo,SBV_1,SBV_2,SBV_3,SBV_4,SBV_5,SBV_6,SBV_7
N,New_N_001.wav,0.6958545635750838,0.9083631747778358,1.0380237510475665,0.9414758657453952,0.5960958716593596,0.4075978212351433,1.2884379926424128
N,New_N_002.wav,0.7314880793004198,0.7156139063353544,1.2435748226616938,1.1940905901066625,0.6386990888169165,0.4023992269311433,1.12837234781793
N,New_N_003.wav,0.6210409518910015,1.0600363269973245,1.4714585849175703,1.1425246994243654,0.653526473113187,0.34077111990553105,1.0281795893568437
N,New_N_004.wav,0.7572612405596921,0.9891775303286084,1.1463487002750536,1.2699695472415735,0.6298550700948209,0.3759487011032926,1.0758303295479519
N,New_N_005.wav,0.6037239623893635,1.1380432767831272,1.3798475085071518,1.1790791388200819,0.582115223219678,0.38491389220214467,1.0020372505136697
N,New_N_006.wav,0.6224389757090387,1.0080513980798853,1.3817442061698755,1.0794954773174072,0.6026518501813387,0.346045822610414,1.3714965564104933
N,New_N_007.wav,0.6465285743989874,0.9298080993126816,1.60676997807598,1.0995411243855593,0.6395057213336913,0.40066241682166964,1.006070039855146
N,New_N_008.wav,0.6315244311499729,1.0914823146641883,1.3797362864360627,1.002761014189838,0.561533054505549,0.44707184530946265,1.1591823051887438
N,New_N_009.wav,0.6551930781408222,0.9693819406230547,1.1513381933401987,1.1687050823489027,0.5914645011580647,0.4390536004610148,1.330231593844621
N,New_N_010.wav,0.5788273594788195,1.2972685645243172,1.1964591897406205,1.2862725132332333,0.7533602094610984,0.466658033843914,0.7088643992184507
N,New_N_011.wav,0.5805491045014646,1.094134404971117,1.2287282407097733,1.0468811596988348,0.61551374356386,0.42199163759138797,1.429311627313105
N,New_N_012.wav,0.692468393774574,0.9062244654604077,1.0085565596749146,1.361903117428603,0.678919487380888,0.43428708024785506,1.202073817276825
N,New_N_013.wav,0.7204928636826469,1.2509671162946698,0.8509655087163585,0.9208903117662355,0.6468651071350622,0.3826631992862113,1.5504752056532312
N,New_N_014.wav,0.6149613367325651,0.9669066213212087,1.1617688149062633,1.2163404339242405,0.7382654821780511,0.32632643823047086,1.3200847757032879
N,New_N_015.wav,0.6135950240729287,0.9414094088381305,1.2555186818516055,1.2575374039579432,0.5788838237933692,0.37940189222970966,1.4415078276139406
