indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,original,N,New_N_001.wav,0.004880000022239983
1,original,N,New_N_002.wav,0.003399200038984418
2,original,AS,New_AS_001.wav,0.0029491999885067344
3,original,AS,New_AS_002.wav,0.00258120009675622
4,original,MR,New_MR_001.wav,0.0023655000841245055
5,original,MR,New_MR_002.wav,0.0023317000595852733
6,original,MS,New_MS_001.wav,0.0027086000191047788
7,original,MS,New_MS_002.wav,0.0029579000547528267
8,original,MVP,New_MVP_001.wav,0.002518799970857799
9,original,MVP,New_MVP_002.wav,0.0030012999195605516
