indice_interno,clase,archivo,ruta,sha256,duplicado_exacto,tamano_grupo_duplicado
0,N,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_001.wav,573347424ed24012db8d9336394227a1eef53432f6204f11a2d11daa3c1294a2,False,1
1,N,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_002.wav,68c46dfc7b1fa6f1d2e6481c5eee6ff0db9bb4ddc87aacedeb439a40b8c507d0,False,1
2,N,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_003.wav,7675e6056062f1dc0acc4948791164877b5a019fc7ae431a2ce94eaafceebfd1,False,1
3,N,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_004.wav,fdb20c8a8d8c5d92a338dcbb066457e05a64ae6654f2718bf9944d192df14832,False,1
4,N,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_005.wav,922f31a4063a3734eb7a2555ae3d9ce507d7d7d009ff1bcf199e473865c6f0ce,False,1
5,N,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_006.wav,b1df194bc8bd21a2e3a4e106ba357bda38442d320f4bd03a988179ea4d67bd5a,False,1
6,N,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_007.wav,88d089e3cf65c26c8c42c2e570b2cbe2cd400eb31339dfb10393390de94aca20,False,1
7,N,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_008.wav,9991006c2b803a2d9f1ed6a3520b9a7edc23b654d350260ea2fa3e797d41c29d,False,1
8,N,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_009.wav,fb9880bbce9e5f4dc0636c39597b152cfd630e1dc0c63e410b9f46890731f8ed,False,1
9,N,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_010.wav,6de4833f11bf1fb78a7ffed470ce55f4eb0b6df89d4d9d49e3b790420643c6db,False,1
10,N,New_N_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_011.wav,98a9cf1144c890355b95dc868f5ce76eeec92273cfd0729416fe52e4e9925513,False,1
11,N,New_N_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_012.wav,6012e9c1dac3b0e4f1d0baa6bee46d062a6de12986c0ca641cde244debeafb22,False,1
