base,clase,archivo,ruta_relativa,frecuencia_hz,muestras,snr_objetivo_db,snr_real_db,error_snr_db,factor_antirecorte,escalado_antirecorte,muestras_saturadas,semilla_ruido,potencia_senal,potencia_ruido_objetivo
original,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,8.0,7.999996146177926,-3.853822073907054e-06,0.8058309316861979,True,0,5.190046822048512e+18,0.0539444514443373,0.0085496193865179
SNR_5db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,5.0,5.000002463963485,2.463963484800047e-06,0.7118550736676957,True,0,1.4409992062047451e+19,0.0539444514443373,0.0170587333692465
SNR_0db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,0.0,3.742034488953295e-06,3.742034488953295e-06,0.6365646149300186,True,0,5.226288454439549e+18,0.0539444514443373,0.0539444514443373
SNR_-5db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,-5.0,-4.999998981279417,1.0187205825573642e-06,0.434638826784864,True,0,1.3674670526536872e+19,0.0539444514443373,0.1705873336924659
SNR_-8db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,-8.0,-7.9999969658951855,3.03410481450328e-06,0.373575121939277,True,0,1.5463104506368586e+19,0.0539444514443373,0.3403664783275983
original,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,8.0,8.000000992817853,9.928178528184617e-07,0.8351248129722866,True,0,7.720149838399567e+18,0.0540555317961111,0.0085672244358521
SNR_5db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,5.0,5.000005440318651,5.440318650684617e-06,0.7253180319908585,True,0,1.4764573235854182e+19,0.0540555317961111,0.0170938600607363
SNR_0db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,0.0,2.4692117717383824e-06,2.4692117717383824e-06,0.5914167093286699,True,0,6.374824387958502e+18,0.0540555317961111,0.0540555317961111
SNR_-5db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,-5.0,-5.000001852193607,-1.852193607376762e-06,0.4054630301551259,True,0,1.1672164658596902e+18,0.0540555317961111,0.1709386006073639
SNR_-8db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,-8.0,-8.000002271433551,-2.2714335514706363e-06,0.3773463789361009,True,0,1.3509357616243065e+19,0.0540555317961111,0.3410673479653896
original,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,,,,1.0,False,0,,,
SNR_8db,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,8.0,8.000029221460283,2.922146028261352e-05,1.0,False,0,7.791761573937007e+18,0.0102307375076294,0.0016214626229698
SNR_5db,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,5.0,5.000002169738608,2.1697386074492897e-06,1.0,False,0,7.674767790848172e+18,0.0102307375076294,0.0032352432667423
SNR_0db,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,0.0,6.728280944988281e-06,6.728280944988281e-06,1.0,False,0,1.1330898980631136e+18,0.0102307375076294,0.0102307375076294
SNR_-5db,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,-5.0,-4.999999497698724,5.023012761284917e-07,1.0,False,0,1.4485050696989897e+19,0.0102307375076294,0.0323524326674232
SNR_-8db,MR,New_MR_001.wav,MR_New_3주기/New_MR_001.wav,8000,16795,-8.0,-8.000002036723048,-2.036723047993405e-06,0.7430897815349378,True,0,1.1260819905862834e+19,0.0102307375076294,0.0645515896988777
original,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,,,,1.0,False,0,,,
SNR_8db,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,8.0,8.00001799616149,1.7996161490785312e-05,1.0,False,0,9.585289795159886e+18,0.009528168916419,0.0015101130052252
SNR_5db,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,5.0,4.999995180842788,-4.819157211954916e-06,1.0,False,0,1.0457164226220436e+18,0.009528168916419,0.0030130715706702
SNR_0db,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,0.0,-8.27140311307468e-06,-8.27140311307468e-06,1.0,False,0,1.970563569203307e+18,0.009528168916419,0.009528168916419
SNR_-5db,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,-5.0,-5.000000746376071,-7.463760711701184e-07,0.9907475448172448,True,0,1.1925290890658994e+19,0.009528168916419,0.0301307157067025
SNR_-8db,MR,New_MR_002.wav,MR_New_3주기/New_MR_002.wav,8000,16676,-8.0,-8.000001327047508,-1.327047508326018e-06,0.830111258945361,True,0,8.706060310317825e+18,0.009528168916419,0.0601186815726245
original,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,,,,1.0,False,0,,,
SNR_8db,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,8.0,7.999997512012484,-2.4879875155647824e-06,1.0,False,0,8.038353239346154e+18,0.0141650812194561,0.0022450140795374
SNR_5db,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,5.0,4.999997413178307,-2.5868216928515157e-06,1.0,False,0,1.0866582090513727e+19,0.0141650812194561,0.0044793919894756
SNR_0db,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,0.0,-2.6079335139951557e-06,-2.6079335139951557e-06,0.8856312300238102,True,0,9.814059779184826e+18,0.0141650812194561,0.0141650812194561
SNR_-5db,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,-5.0,-5.000000338694164,-3.386941642702368e-07,0.9093126453307332,True,0,1.4497752700388813e+19,0.0141650812194561,0.0447939198947567
SNR_-8db,MS,New_MS_001.wav,MS_New_3주기/New_MS_001.wav,8000,23626,-8.0,-8.00000102000388,-1.0200038804697442e-06,0.6595785993345754,True,0,2.3931850387466592e+17,0.0141650812194561,0.0893756203057428
original,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,,,,1.0,False,0,,,
SNR_8db,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,8.0,8.000001556628176,1.5566281756917988e-06,1.0,False,0,2.734100008661076e+18,0.014191818653228,0.0022492516772143
SNR_5db,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,5.0,4.999984941480492,-1.5058519507782364e-05,1.0,False,0,1.6993531071481306e+18,0.014191818653228,0.0044878471084264
SNR_0db,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,0.0,-6.118735080843164e-06,-6.118735080843164e-06,0.940980887024256,True,0,1.3086763337118964e+19,0.014191818653228,0.014191818653228
SNR_-5db,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,-5.0,-5.000001982520277,-1.9825202768331e-06,0.7874855972526014,True,0,1.2034191161334378e+19,0.014191818653228,0.0448784710842641
SNR_-8db,MS,New_MS_002.wav,MS_New_3주기/New_MS_002.wav,8000,23050,-8.0,-8.000004073363336,-4.073363335521663e-06,0.6673549231166305,True,0,1.0056970307939475e+19,0.014191818653228,0.0895443221078527
