clase,archivo,ruta,F_001,F_002,F_003,F_004,F_005
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,1.8565861094890311e-06,0.4707736813553814,0.1755400399132717,0.1208519498077035,0.2328324723375338
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,8.474017924801051e-07,0.5523856652275773,0.0703699187483563,0.1421167104637549,0.2351268581585189
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,1.4490108188071628e-07,0.5670845782003872,0.0815081480230257,0.1003436329262975,0.2510634959492076
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,4.057157610080929e-07,0.5349380988180589,0.0806140637630733,0.1057858151544737,0.2786616165486329
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,1.583182379340282e-06,0.4781526435627169,0.0848993464881681,0.1534758560689044,0.2834705706978312
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,6.924058989224322e-08,0.541026442684192,0.0955716159244184,0.1542203444509742,0.2091815276998254
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,5.774905258115564e-07,0.5022855111944399,0.1249484833830701,0.1198473905442093,0.252918037387755
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,2.752410599587188e-07,0.533896243501392,0.0714009416411002,0.1784774300524751,0.2162251095639727
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,2.9514202207789454e-07,0.5669596429219611,0.083264814680357,0.1445931196294812,0.2051821276261785
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,8.910105010564193e-07,0.5005072413963184,0.1159232410434269,0.1200744119840532,0.2634942145657004
