clase,archivo,ruta,duracion_s,error_vs_N,error_vs_AS,error_vs_MR,error_vs_MS,error_vs_MVP,afinidad_N,afinidad_AS,afinidad_MR,afinidad_MS,afinidad_MVP
N,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_001.wav,2.104625,0.08218774801899825,0.1140411067045013,0.0787016364091974,0.1039328066136229,0.08326659972989771,0.2157465399120201,0.16721450058269394,0.22184816029446972,0.18129831497469942,0.21389248423611687
N,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_002.wav,2.1195,0.08238081868641017,0.11031055885977177,0.0792963925288234,0.09927497056984522,0.07801412960134291,0.21124321672602345,0.16894483375725708,0.2165205722373476,0.1845382834780193,0.21875309380135255
N,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_003.wav,2.116625,0.07994626320472162,0.11464053903230577,0.07596200931705781,0.0994345094495553,0.0748916404573631,0.2133594018859589,0.16164844263398978,0.2202695685060128,0.18255876233652857,0.22216382463750994
N,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_004.wav,2.087,0.07977302464682315,0.11138121559533719,0.07927386412385724,0.09996205316561484,0.07673712653738426,0.21477597643550939,0.1667890745106894,0.21563535267002618,0.1827434554836619,0.22005614090011313
N,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_005.wav,2.120375,0.08767728606412988,0.12101074582908752,0.08747467141104985,0.1040468701832114,0.0813031319702607,0.21289635194479342,0.16306318415814175,0.21324171913892334,0.18676455581043871,0.22403418894770277
N,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_006.wav,2.090625,0.08687063005463144,0.11869698925473725,0.08410151523026439,0.1086031574058557,0.08391432435539174,0.21450182890270372,0.16628569962725298,0.21930669486095478,0.1802704180215415,0.21963535858754707
N,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_007.wav,2.101875,0.08759751165654177,0.12009134118861509,0.08454641002394656,0.10438625332834729,0.08227038061138961,0.21214954875801306,0.16358632103124573,0.21739158309251708,0.18548639022129315,0.221386156896931
N,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_008.wav,2.10925,0.08418975449212464,0.11773784564976064,0.0799448034083997,0.10371807518632542,0.07935071213182852,0.21303823064761393,0.16289191895023106,0.220397171757889,0.18222552542654838,0.2214471532177177
N,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_009.wav,2.1005,0.08354662342518102,0.11037035674822276,0.07923074841436863,0.09953752761686882,0.07914707653156006,0.210183704039397,0.16959140819976656,0.2175674526435224,0.18494429949374988,0.21771313562356412
N,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_010.wav,2.093,0.09403860521246467,0.12200161163462209,0.08985686621839313,0.1027082503102699,0.08522939698291343,0.2066294489784091,0.165210932488442,0.21365893875344955,0.19278391047151008,0.22171676930818918
N,New_N_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_011.wav,2.1105,0.09001007023614098,0.12342539415493603,0.08560609514364491,0.1104756584865894,0.08541442066670722,0.2133237305113815,0.16328355359807453,0.22097347555122376,0.18110666506474474,0.22131257527457543
N,New_N_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_012.wav,2.095625,0.09961283819143207,0.12629888009644272,0.09462007283932498,0.11080761881030142,0.09202754067104031,0.20723634082890438,0.16739755460714206,0.2156813329496737,0.1894834413860856,0.2202013302281942
N,New_N_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_013.wav,2.11525,0.08618239201879883,0.12109001734291647,0.08471903656993093,0.10769200928044699,0.0812306200665833,0.2150333337091486,0.16263884277249932,0.21756548816250007,0.18103965913808687,0.22372267621776498
N,New_N_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_014.wav,2.093,0.09219549473430072,0.12362946540694164,0.0890408732547193,0.11120864118277185,0.08731446228794924,0.21267852655820635,0.1653906076416571,0.21811418988747416,0.18266914926403163,0.2211475266486307
N,New_N_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_015.wav,2.093,0.08901181034968693,0.11722031028877018,0.08639176856716191,0.10778757990074611,0.08658664324762522,0.21279829131310746,0.16980941643547326,0.21730568787790622,0.18311943156688326,0.21696717280662975
N,New_N_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_016.wav,2.08575,0.08482760490700164,0.11834232187539252,0.08377133726278317,0.10403324093105014,0.08110531641681001,0.2145413500923385,0.16408502824325694,0.21636193605490267,0.18398558385406455,0.22102610175543733
