metodo_init,clase,capa,rango,entrada,W,H,error_relativo,ortogonalidad_media,segundos
nndsvd,N,1,9,126x42612,126x9,9x42612,0.08514560609103236,0.6383515539154963,3.3319508999120444
nndsvd,N,2,8,9x42612,9x8,8x42612,0.1940048773083519,0.40642657648420705,1.6108530000783503
nndsvd,N,3,7,8x42612,8x7,7x42612,0.23714825312742213,0.29660831146173955,1.7154496000148356
nndsvd,AS,1,9,126x49184,126x9,9x49184,0.15361936886370572,0.35941505858850054,3.7411275000777096
nndsvd,AS,2,8,9x49184,9x8,8x49184,0.1832279179025161,0.2340126004085866,2.061606800183654
nndsvd,AS,3,7,8x49184,8x7,7x49184,0.24749451096729427,0.19850749088709105,1.7204607999883592
nndsvd,MR,1,9,126x39856,126x9,9x39856,0.14330256592403962,0.35020147316748257,3.0519136001821607
nndsvd,MR,2,8,9x39856,9x8,8x39856,0.18673806495999737,0.2448051788081736,1.4808686999604106
nndsvd,MR,3,7,8x39856,8x7,7x39856,0.22666154644994066,0.1909736836963397,1.39750190009363
nndsvd,MS,1,9,126x42188,126x9,9x42188,0.10607137882493368,0.5197868879212604,3.161696800030768
nndsvd,MS,2,8,9x42188,9x8,8x42188,0.16340056012969884,0.328967410678452,1.5569468999747187
nndsvd,MS,3,7,8x42188,8x7,7x42188,0.21200412917935874,0.23978800194205294,1.5275518998969346
nndsvd,MVP,1,9,126x39220,126x9,9x39220,0.15924210137690092,0.4361190675306209,2.9741355997975916
nndsvd,MVP,2,8,9x39220,9x8,8x39220,0.18542340117547315,0.2779835589781043,1.4558753999881446
nndsvd,MVP,3,7,8x39220,8x7,7x39220,0.2113384488407717,0.19644969334640439,1.2924782999325544
