indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,SNR_0db,N,New_N_001.wav,0.002032299991697073
1,SNR_0db,N,New_N_002.wav,0.0015466000186279416
2,SNR_0db,N,New_N_003.wav,0.0021291000302881002
3,SNR_0db,N,New_N_004.wav,0.0018550000386312604
4,SNR_0db,N,New_N_005.wav,0.0014666999923065305
5,SNR_0db,N,New_N_006.wav,0.001448799972422421
6,SNR_0db,N,New_N_007.wav,0.0014171999646350741
7,SNR_0db,N,New_N_008.wav,0.0015915000112727284
8,SNR_0db,N,New_N_009.wav,0.0014766999520361423
9,SNR_0db,N,New_N_010.wav,0.001483400003053248
10,SNR_0db,N,New_N_011.wav,0.0014979999978095293
11,SNR_0db,N,New_N_012.wav,0.0014672999968752265
12,SNR_0db,N,New_N_013.wav,0.0019862999906763434
13,SNR_0db,N,New_N_014.wav,0.002069299924187362
14,SNR_0db,N,New_N_015.wav,0.0015444000018760562
15,SNR_0db,N,New_N_016.wav,0.0014331999700516462
16,SNR_0db,N,New_N_017.wav,0.001459200051613152
17,SNR_0db,N,New_N_018.wav,0.0013648999156430364
18,SNR_0db,N,New_N_019.wav,0.0013827000511810184
19,SNR_0db,N,New_N_020.wav,0.001455600024200976
20,SNR_0db,N,New_N_021.wav,0.0014905000571161509
21,SNR_0db,N,New_N_022.wav,0.001805500010959804
22,SNR_0db,N,New_N_023.wav,0.0015999999595806003
23,SNR_0db,N,New_N_024.wav,0.003192499978467822
24,SNR_0db,N,New_N_025.wav,0.0023889000294730067
25,SNR_0db,N,New_N_026.wav,0.001984400092624128
26,SNR_0db,N,New_N_027.wav,0.0018451000796630979
27,SNR_0db,N,New_N_028.wav,0.0016926999669522047
28,SNR_0db,N,New_N_029.wav,0.001615299959667027
29,SNR_0db,N,New_N_030.wav,0.0015764000127092004
30,SNR_0db,N,New_N_031.wav,0.0016248999163508415
31,SNR_0db,N,New_N_032.wav,0.0022347000194713473
32,SNR_0db,N,New_N_033.wav,0.002013699966482818
33,SNR_0db,N,New_N_034.wav,0.001979700056836009
34,SNR_0db,N,New_N_035.wav,0.0016147000715136528
35,SNR_0db,N,New_N_036.wav,0.0016333999810740352
36,SNR_0db,N,New_N_037.wav,0.002255299943499267
37,SNR_0db,N,New_N_038.wav,0.0016301000723615289
38,SNR_0db,N,New_N_039.wav,0.0016608000732958317
39,SNR_0db,N,New_N_040.wav,0.0017937999218702316
40,SNR_0db,N,New_N_041.wav,0.0025872000260278583
41,SNR_0db,N,New_N_042.wav,0.0019763000309467316
42,SNR_0db,N,New_N_043.wav,0.0017420001095160842
43,SNR_0db,N,New_N_044.wav,0.001720600062981248
44,SNR_0db,N,New_N_045.wav,0.0017441000090911984
45,SNR_0db,N,New_N_046.wav,0.0016792999813333154
