clase,archivo,origen,tSNE_1,tSNE_2
N,columna_H_000312,columnas_H_final,-22.52404,14.042584
N,columna_H_000966,columnas_H_final,5.8724437,-7.9118156
N,columna_H_001310,columnas_H_final,33.955536,20.848164
N,columna_H_001475,columnas_H_final,-24.422466,6.05887
N,columna_H_001583,columnas_H_final,-21.747948,12.598708
N,columna_H_001859,columnas_H_final,6.586277,-14.470081
N,columna_H_002480,columnas_H_final,-16.12041,11.45395
N,columna_H_002707,columnas_H_final,9.490297,-13.062598
N,columna_H_002882,columnas_H_final,-11.142921,-17.868454
N,columna_H_003241,columnas_H_final,-27.129028,6.2276864
N,columna_H_003367,columnas_H_final,36.66161,-15.568834
N,columna_H_003376,columnas_H_final,-5.571787,-12.8175955
N,columna_H_003644,columnas_H_final,14.719277,19.331196
N,columna_H_003732,columnas_H_final,-22.205729,13.207805
N,columna_H_003783,columnas_H_final,-24.07681,13.344406
N,columna_H_003832,columnas_H_final,2.94984,-16.130829
N,columna_H_003851,columnas_H_final,15.9348135,30.94089
N,columna_H_003908,columnas_H_final,-23.151514,5.690379
N,columna_H_003993,columnas_H_final,-31.74491,0.60619456
N,columna_H_004107,columnas_H_final,26.322186,29.914831
N,columna_H_004130,columnas_H_final,-18.847834,-22.471825
N,columna_H_004517,columnas_H_final,-26.401896,5.166648
N,columna_H_004868,columnas_H_final,-17.399328,-21.779356
N,columna_H_005025,columnas_H_final,-18.283302,15.169748
N,columna_H_005373,columnas_H_final,-21.71883,14.277341
N,columna_H_005433,columnas_H_final,-20.932398,15.639008
N,columna_H_005517,columnas_H_final,25.600407,30.782188
N,columna_H_005938,columnas_H_final,28.348307,-8.642074
N,columna_H_005942,columnas_H_final,25.111433,31.623058
N,columna_H_006484,columnas_H_final,-10.384899,12.709634
N,columna_H_006549,columnas_H_final,34.71117,-15.619179
N,columna_H_006825,columnas_H_final,29.674322,-12.362288
N,columna_H_006865,columnas_H_final,27.14278,30.054264
N,columna_H_007011,columnas_H_final,11.4473295,-15.880663
N,columna_H_007077,columnas_H_final,26.479877,29.656553
N,columna_H_007106,columnas_H_final,-14.785526,12.381478
N,columna_H_007742,columnas_H_final,19.091423,-0.6854679
N,columna_H_008045,columnas_H_final,-44.89316,-12.95477
N,columna_H_008261,columnas_H_final,-44.891617,-12.755112
N,columna_H_008494,columnas_H_final,9.072139,-13.192406
N,columna_H_008542,columnas_H_final,-44.841167,-13.191195
N,columna_H_009127,columnas_H_final,-4.3684816,5.1651826
N,columna_H_009636,columnas_H_final,42.674786,4.927663
N,columna_H_009640,columnas_H_final,37.165302,-21.337933
N,columna_H_009951,columnas_H_final,36.727375,-16.817333
N,columna_H_010166,columnas_H_final,-29.877037,1.6743984
N,columna_H_010178,columnas_H_final,29.009197,-10.009655
N,columna_H_010435,columnas_H_final,18.265675,17.648823
N,columna_H_011125,columnas_H_final,32.543274,13.096326
N,columna_H_011226,columnas_H_final,-30.145092,1.6867328
N,columna_H_011325,columnas_H_final,-34.215736,2.684637
N,columna_H_011599,columnas_H_final,-22.954388,-22.937504
N,columna_H_011743,columnas_H_final,-33.700935,2.0545664
N,columna_H_011762,columnas_H_final,21.481314,-14.577023
N,columna_H_011778,columnas_H_final,-26.096327,14.414267
N,columna_H_011971,columnas_H_final,17.304094,26.399902
N,columna_H_012250,columnas_H_final,-20.709436,-21.174637
N,columna_H_012491,columnas_H_final,32.209,13.766725
N,columna_H_012838,columnas_H_final,-26.399387,13.385184
N,columna_H_012926,columnas_H_final,-14.873716,-19.93518
N,columna_H_013269,columnas_H_final,-35.226807,0.40373114
N,columna_H_013670,columnas_H_final,-1.3921189,6.0128627
N,columna_H_013833,columnas_H_final,-15.1682625,-19.401356
N,columna_H_014023,columnas_H_final,-35.444588,1.132702
N,columna_H_014227,columnas_H_final,-33.289764,4.457716
N,columna_H_014435,columnas_H_final,-27.899847,14.679043
N,columna_H_014590,columnas_H_final,-34.79049,6.842967
N,columna_H_014779,columnas_H_final,9.692467,-12.481977
N,columna_H_015044,columnas_H_final,-25.534214,14.615081
N,columna_H_015408,columnas_H_final,22.37174,20.37741
N,columna_H_015445,columnas_H_final,-24.072212,15.335141
N,columna_H_015565,columnas_H_final,-18.842058,-21.652431
N,columna_H_015600,columnas_H_final,-17.45357,15.160366
N,columna_H_015727,columnas_H_final,46.883293,8.228398
N,columna_H_015729,columnas_H_final,16.201126,31.27364
N,columna_H_016223,columnas_H_final,-27.304611,13.410823
N,columna_H_016462,columnas_H_final,14.085745,18.967667
N,columna_H_017070,columnas_H_final,-28.808556,13.068575
N,columna_H_017294,columnas_H_final,-34.51357,5.3227124
N,columna_H_017377,columnas_H_final,-31.956467,1.4603941
N,columna_H_017412,columnas_H_final,-16.917475,15.033167
N,columna_H_017443,columnas_H_final,13.947277,-12.407475
N,columna_H_017787,columnas_H_final,31.221008,-11.858749
