clase,archivo,origen,tSNE_1,tSNE_2
N,frecuencia_bin_000,filas_W_final,21.415245,-2.0218983
N,frecuencia_bin_001,filas_W_final,26.25615,-1.0885153
N,frecuencia_bin_002,filas_W_final,27.884274,-0.95015013
N,frecuencia_bin_003,filas_W_final,28.145971,-1.0330205
N,frecuencia_bin_004,filas_W_final,25.893162,0.24837036
N,frecuencia_bin_005,filas_W_final,21.136623,2.2828295
N,frecuencia_bin_006,filas_W_final,17.931606,1.3080343
N,frecuencia_bin_007,filas_W_final,17.64092,-0.53466934
N,frecuencia_bin_008,filas_W_final,17.587254,-0.6333831
N,frecuencia_bin_009,filas_W_final,16.090328,-1.2924014
N,frecuencia_bin_010,filas_W_final,14.9879875,-1.636796
N,frecuencia_bin_011,filas_W_final,14.56493,-2.409007
N,frecuencia_bin_012,filas_W_final,14.561971,-2.7297568
N,frecuencia_bin_013,filas_W_final,14.441684,-2.7642124
N,frecuencia_bin_014,filas_W_final,12.562208,-2.566738
N,frecuencia_bin_015,filas_W_final,11.844611,-2.4082973
N,frecuencia_bin_016,filas_W_final,11.786903,-2.619208
N,frecuencia_bin_017,filas_W_final,11.873988,-3.1262279
N,frecuencia_bin_018,filas_W_final,11.601223,-3.2288616
N,frecuencia_bin_019,filas_W_final,9.247271,-3.2981246
N,frecuencia_bin_020,filas_W_final,8.715683,-3.2587287
N,frecuencia_bin_021,filas_W_final,8.108985,-2.655336
N,frecuencia_bin_022,filas_W_final,8.740393,-3.3731298
N,frecuencia_bin_023,filas_W_final,8.291428,-3.3213592
N,frecuencia_bin_024,filas_W_final,4.069709,0.50455046
N,frecuencia_bin_025,filas_W_final,4.4692397,-5.640995
N,frecuencia_bin_026,filas_W_final,2.2518845,1.1221048
N,frecuencia_bin_027,filas_W_final,3.6324008,-6.038324
N,frecuencia_bin_028,filas_W_final,3.3399231,-6.2944827
N,frecuencia_bin_029,filas_W_final,0.25312752,1.9968597
N,frecuencia_bin_030,filas_W_final,3.108872,-6.77548
N,frecuencia_bin_031,filas_W_final,-0.7042239,2.3787193
N,frecuencia_bin_032,filas_W_final,2.2770402,-7.4147744
N,frecuencia_bin_033,filas_W_final,1.7633744,-7.413124
N,frecuencia_bin_034,filas_W_final,-2.2793977,4.002933
N,frecuencia_bin_035,filas_W_final,1.6404988,-7.8953295
N,frecuencia_bin_036,filas_W_final,-3.3446033,5.03567
N,frecuencia_bin_037,filas_W_final,-1.3017769,-8.849031
N,frecuencia_bin_038,filas_W_final,-1.7928774,-9.260706
N,frecuencia_bin_039,filas_W_final,-5.5911,6.6948977
N,frecuencia_bin_040,filas_W_final,-1.0393482,-9.487329
N,frecuencia_bin_041,filas_W_final,-5.852636,7.42763
N,frecuencia_bin_042,filas_W_final,-3.1575172,-9.829334
N,frecuencia_bin_043,filas_W_final,-3.5011609,-10.163309
N,frecuencia_bin_044,filas_W_final,-7.982725,9.1915655
N,frecuencia_bin_045,filas_W_final,-2.2889795,-10.384528
N,frecuencia_bin_046,filas_W_final,-8.407782,9.76837
N,frecuencia_bin_047,filas_W_final,-4.4431496,-10.829603
N,frecuencia_bin_048,filas_W_final,-4.993502,-11.205732
N,frecuencia_bin_049,filas_W_final,-12.473041,12.358234
N,frecuencia_bin_050,filas_W_final,-3.6237757,-11.917195
N,frecuencia_bin_051,filas_W_final,-12.93305,12.7327795
N,frecuencia_bin_052,filas_W_final,-5.620311,-11.865733
N,frecuencia_bin_053,filas_W_final,-6.103018,-11.921365
N,frecuencia_bin_054,filas_W_final,-13.496073,13.205977
N,frecuencia_bin_055,filas_W_final,-4.3974476,-12.720395
N,frecuencia_bin_056,filas_W_final,-14.28381,13.805801
