clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
KNN,DeepONMF_F8,0.9460000000000001,0.002449489742783231,0.865,0.006123724356957866,0.9662499999999999,0.0015309310892394348,0.8679237978660955,0.006309114546488413,0.915625,0.0038273277230987043
KNN,DeepONMF_H3,0.9104000000000001,0.01071447618878311,0.776,0.02678619047195781,0.944,0.00669654761798944,0.805577822288462,0.02205327535693848,0.86,0.016741369044973614
KNN,DeepONMF_Mejorado,0.9652000000000001,0.003898717737923586,0.9129999999999999,0.009746794344809045,0.9782500000000001,0.0024366985862022605,0.9152964037889589,0.010118123824218662,0.945625,0.006091746465505594
KNN,DeepONMF_W,0.8795999999999999,0.013520355024924444,0.6990000000000001,0.03380088756231115,0.9247500000000001,0.008450221890577848,0.7269712431197259,0.027337862071766316,0.811875,0.02112555472644441
KNN,LogMelSpectrogram,0.9872,0.0030331501776206062,0.968,0.007582875444051466,0.992,0.0018957188610128628,0.9701708385682746,0.007292738765721677,0.9800000000000001,0.0047392971525322585
KNN,MFCC,0.99,0.003162277660168448,0.975,0.00790569415042096,0.99375,0.0019764235376051424,0.9761790864961597,0.0068635889374374535,0.984375,0.004941058844013027
KNN,MelSpectrogram,0.9827999999999999,0.007014271166700153,0.9570000000000001,0.017535677916750245,0.98925,0.004383919479187513,0.958110957943749,0.016990510668163386,0.9731249999999999,0.010959798697968872
KNN,STFT,0.982,0.007615773105863957,0.9549999999999998,0.019039432764659806,0.9887499999999999,0.004759858191164984,0.9557240612329725,0.018942556358421476,0.971875,0.011899645477912358
SVM,DeepONMF_F8,0.9236000000000001,0.009528903399657255,0.8089999999999999,0.023822258499143188,0.95225,0.005955564624785745,0.8249348014759524,0.019853826730782842,0.880625,0.014888911561964481
SVM,DeepONMF_H3,0.9512,0.002280350850198257,0.8779999999999999,0.005700877125495739,0.9695,0.0014252192813739208,0.881774207896299,0.010029955850493684,0.9237500000000001,0.003563048203434848
SVM,DeepONMF_Mejorado,0.9443999999999999,0.010139033484509317,0.8610000000000001,0.025347583711273054,0.9652499999999999,0.006336895927818356,0.8704563227241389,0.02338313689541379,0.9131250000000002,0.0158422398195457
SVM,DeepONMF_W,0.9183999999999999,0.005549774770204608,0.796,0.013874436925511647,0.9490000000000001,0.003468609231377908,0.804963585297827,0.016382305919673414,0.8724999999999999,0.008671523078444777
SVM,LogMelSpectrogram,0.99,0.0028284271247462117,0.975,0.0070710678118655074,0.99375,0.0017677669529663753,0.9754662641594607,0.0069633493233487685,0.984375,0.004419417382415942
SVM,MFCC,0.9960000000000001,0.002449489742783216,0.99,0.006123724356957866,0.9974999999999999,0.0015309310892394179,0.9903764603707883,0.00579921458343692,0.99375,0.0038273277230987043
SVM,MelSpectrogram,0.9892,0.005761944116355207,0.9730000000000001,0.014404860290888001,0.9932500000000001,0.0036012150727220697,0.9738206826873871,0.014456234000581396,0.983125,0.009003037681804951
SVM,STFT,0.9884000000000001,0.0076681158050723825,0.9710000000000001,0.0191702895126808,0.99275,0.004792572378170247,0.9718738658438035,0.018686798816051894,0.9818749999999999,0.011981430945425496
UjaNet,DeepONMF_F8,0.9256,0.007127411872482184,0.8140000000000001,0.017818529681205387,0.9535,0.004454632420301379,0.830548952165197,0.013679069333724023,0.88375,0.011136581050753396
UjaNet,DeepONMF_H3,0.9687999999999999,0.004147288270665485,0.9219999999999999,0.010368220676663892,0.9804999999999999,0.0025920551691659306,0.9244689056484529,0.008816317303131918,0.9512499999999999,0.006480137922914936
UjaNet,DeepONMF_Mejorado,0.8808,0.007563068160475629,0.702,0.018907670401189056,0.9255000000000001,0.004726917600297265,0.7182056377453978,0.04810623627598171,0.81375,0.011817294000743177
UjaNet,DeepONMF_W,0.9432,0.012457929201917947,0.858,0.031144823004794903,0.9644999999999999,0.007786205751198767,0.861622813147634,0.0316920336684571,0.9112500000000001,0.019465514377996825
UjaNet,LogMelSpectrogram,0.9884000000000001,0.004979959839195524,0.9710000000000001,0.012449899597988673,0.99275,0.0031124748994971595,0.9718538956010372,0.01227699272864186,0.9818749999999999,0.007781187248743025
UjaNet,MFCC,0.9876000000000001,0.006066300355241243,0.969,0.015165750888103203,0.99225,0.0037914377220257603,0.9696955443643505,0.014627597677422251,0.9806250000000001,0.009478594305064448
UjaNet,MelSpectrogram,0.9904,0.005899152481501054,0.976,0.01474788120375269,0.994,0.0036869703009381636,0.9767611634980355,0.014295023025969404,0.985,0.009217425752345399
UjaNet,STFT,0.9884000000000001,0.005176871642217926,0.9709999999999999,0.012942179105544752,0.9927499999999998,0.003235544776386163,0.9721825846449246,0.012203650212544336,0.9818749999999999,0.008088861940965475
