distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
9-8-7,SVM,DeepONMF_W,0.882,0.0108627804912002,0.705,0.0271569512280005,0.92625,0.0067892378070001,0.7086501547289049,0.0318913727803672,0.815625,0.0169730945175002
15-10-5,SVM,DeepONMF_W,0.8864000000000001,0.0118659175793531,0.716,0.0296647939483826,0.929,0.0074161984870956,0.7211477914250988,0.0347273870692733,0.8225,0.0185404962177391
10-6-4,SVM,DeepONMF_W,0.8948,0.0071554175279993,0.737,0.0178885438199982,0.93425,0.0044721359549995,0.746889822840441,0.0220347930290794,0.835625,0.0111803398874989
8-5-3,SVM,DeepONMF_W,0.8948,0.0118827606220104,0.737,0.0297069015550258,0.93425,0.0074267253887564,0.7475231932915423,0.0320085121269674,0.835625,0.0185668134718911
9-8-7,SVM,DeepONMF_H3,0.954,0.0098994949366117,0.885,0.0247487373415291,0.97125,0.0061871843353822,0.8892995236970721,0.0240309622606102,0.928125,0.0154679608384557
15-10-5,SVM,DeepONMF_H3,0.9544,0.0101390334845093,0.8859999999999999,0.0253475837112731,0.9715,0.0063368959278182,0.8881896176531983,0.0266702793012641,0.92875,0.0158422398195457
10-6-4,SVM,DeepONMF_H3,0.9568,0.0083186537372342,0.892,0.0207966343430854,0.973,0.0051991585857713,0.8951278959573938,0.0217275256838564,0.9325,0.0129978964644283
8-5-3,SVM,DeepONMF_H3,0.9608,0.0055856960175075,0.902,0.0139642400437689,0.9755,0.0034910600109422,0.904773149056212,0.0166773044888905,0.93875,0.0087276500273555
9-8-7,KNN,DeepONMF_W,0.8208,0.0113666177907062,0.552,0.0284165444767656,0.8879999999999999,0.0071041361191914,0.5723008392011482,0.0322257658533425,0.72,0.0177603402979785
15-10-5,KNN,DeepONMF_W,0.8328,0.0162849623886577,0.582,0.0407124059716445,0.8955,0.0101781014929112,0.61344809941709,0.0468261052268168,0.7387499999999999,0.0254452537322777
10-6-4,KNN,DeepONMF_W,0.85,0.0166132477258361,0.625,0.0415331193145904,0.90625,0.0103832798286476,0.6494820245317623,0.0393367054830638,0.765625,0.025958199571619
8-5-3,KNN,DeepONMF_W,0.8596,0.0093166517590816,0.649,0.0232916293977042,0.91225,0.0058229073494261,0.6773538149154336,0.0264100506315472,0.780625,0.0145572683735651
9-8-7,KNN,DeepONMF_H3,0.8996000000000001,0.0130690474021636,0.749,0.032672618505409,0.93725,0.0081681546263522,0.79429243858022,0.0270719786205746,0.843125,0.0204203865658806
15-10-5,KNN,DeepONMF_H3,0.918,0.0108627804912001,0.7949999999999999,0.0271569512280005,0.94875,0.006789237807,0.8221552169024692,0.0247210613099195,0.871875,0.0169730945175002
10-6-4,KNN,DeepONMF_H3,0.9332,0.005215361924162,0.833,0.0130384048104053,0.95825,0.0032596012026013,0.8459910257393373,0.0196103591179287,0.8956250000000001,0.0081490030065033
8-5-3,KNN,DeepONMF_H3,0.9356,0.0038470768123342,0.8390000000000001,0.0096176920308356,0.95975,0.0024044230077089,0.8555500177034991,0.0097746286634438,0.899375,0.0060110575192722
9-8-7,UjaNet,DeepONMF_W,0.9344,0.0077974354758471,0.836,0.0194935886896178,0.959,0.0048733971724044,0.8415429079897642,0.0187249698776152,0.8975,0.0121834929310112
15-10-5,UjaNet,DeepONMF_W,0.9372,0.0112782977438973,0.843,0.0281957443597433,0.96075,0.0070489360899358,0.8475473918477547,0.0287405274491327,0.901875,0.0176223402248395
10-6-4,UjaNet,DeepONMF_W,0.938,0.0083666002653407,0.845,0.0209165006633519,0.96125,0.0052291251658379,0.8502989224755803,0.0198555707944304,0.903125,0.0130728129145949
8-5-3,UjaNet,DeepONMF_W,0.9492,0.0050199601592044,0.873,0.0125499003980111,0.96825,0.0031374750995027,0.8814761225997048,0.011564421036186,0.920625,0.0078436877487569
9-8-7,UjaNet,DeepONMF_H3,0.9756,0.0105261578935526,0.939,0.0263153947338814,0.98475,0.0065788486834704,0.9403683132374544,0.0255635693468484,0.961875,0.0164471217086759
15-10-5,UjaNet,DeepONMF_H3,0.972,0.0133416640641262,0.93,0.0333541601603158,0.9825,0.008338540040079,0.931363653470468,0.0327267042399574,0.95625,0.0208463501001973
10-6-4,UjaNet,DeepONMF_H3,0.97,0.011916375287813,0.925,0.0297909382195324,0.98125,0.0074477345548831,0.9265715592127396,0.0294490561860468,0.953125,0.0186193363872077
8-5-3,UjaNet,DeepONMF_H3,0.9751999999999998,0.0123773987574126,0.938,0.0309434968935315,0.9845,0.0077358742233828,0.9401057961694652,0.0289494780105749,0.96125,0.0193396855584572
