distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,SVM,STFT,0.986,0.0054772255750517,0.985,0.0055901699437495,0.99,0.0136930639376291,0.9974763155799696,0.0034557258694108,0.9875,0.0076546554461974
No aplica,SVM,MFCC,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
No aplica,SVM,MelSpectrogram,0.988,0.0075828754440515,0.98625,0.0081490030065033,0.995,0.0111803398874989,0.99873417721519,0.0028304657943035,0.990625,0.0079672179899887
No aplica,SVM,LogMelSpectrogram,0.999,0.0022360679774997,0.99875,0.0027950849718747,1.0,0.0,1.0,0.0,0.999375,0.0013975424859373
9-8-7,SVM,DeepONMF_W,0.925,0.0149999999999999,0.92375,0.0120221150385446,0.93,0.0325960120260132,0.9814028023077828,0.008681947668038,0.926875,0.0210328983380797
15-10-5,SVM,DeepONMF_W,0.924,0.0065192024052026,0.92,0.0120221150385445,0.94,0.0223606797749978,0.9840331446336784,0.0058073298113154,0.93,0.0071942902707633
10-6-4,SVM,DeepONMF_W,0.91,0.0079056941504209,0.9025,0.0113536888278655,0.94,0.0223606797749978,0.9837072251702792,0.00592807065336,0.92125,0.0097327571889983
8-5-3,SVM,DeepONMF_W,0.906,0.0054772255750516,0.89625,0.0113536888278656,0.945,0.0209165006633518,0.9849659373824916,0.0055181418198848,0.920625,0.0056768444139327
9-8-7,SVM,DeepONMF_H3,0.969,0.0138744369255116,0.97625,0.0120221150385445,0.94,0.0285043856274784,0.9848649570040444,0.0071984121278875,0.958125,0.0185668134718911
15-10-5,SVM,DeepONMF_H3,0.969,0.0074161984870956,0.9775,0.0071260964068696,0.935,0.0223606797749978,0.9836705837297428,0.0055243199172691,0.95625,0.0118996454779123
10-6-4,SVM,DeepONMF_H3,0.971,0.0151657508881031,0.98,0.0111803398874989,0.935,0.0335410196624968,0.9836788472255394,0.0084569230059657,0.9575,0.0218303114957162
8-5-3,SVM,DeepONMF_H3,0.967,0.0178885438199983,0.97625,0.0149216704828916,0.93,0.0325960120260131,0.9823569902442956,0.0082699189185192,0.953125,0.0230700360316146
