clasificador,representacion,distribucion,Score_mean,Accuracy_mean,Sensitivity_mean,Specificity_mean,Precision_mean
SVM,MFCC,No aplica,1.0,1.0,1.0,1.0,1.0
KNN,LogMelSpectrogram,No aplica,1.0,1.0,1.0,1.0,1.0
UjaNet,MFCC,No aplica,1.0,1.0,1.0,1.0,1.0
UjaNet,MelSpectrogram,No aplica,1.0,1.0,1.0,1.0,1.0
UjaNet,LogMelSpectrogram,No aplica,1.0,1.0,1.0,1.0,1.0
SVM,LogMelSpectrogram,No aplica,0.999375,0.999,0.99875,1.0,1.0
KNN,MFCC,No aplica,0.99875,0.998,0.9975,1.0,1.0
UjaNet,STFT,No aplica,0.9975,0.999,1.0,0.995,0.9987577639751553
SVM,MelSpectrogram,No aplica,0.990625,0.988,0.98625,0.995,0.99873417721519
UjaNet,DeepONMF_H3,9-8-7,0.989375,0.992,0.99375,0.985,0.99625
UjaNet,DeepONMF_H3,15-10-5,0.988125,0.993,0.99625,0.98,0.9950155279503106
SVM,STFT,No aplica,0.9875,0.986,0.985,0.99,0.9974763155799696
KNN,STFT,No aplica,0.985,0.991,0.995,0.975,0.9937888198757764
KNN,MelSpectrogram,No aplica,0.985,0.991,0.995,0.975,0.9937888198757764
UjaNet,DeepONMF_H3,10-6-4,0.980625,0.987,0.99125,0.97,0.9925072792918704
UjaNet,DeepONMF_H3,8-5-3,0.97375,0.985,0.9925,0.955,0.9888493942563292
UjaNet,DeepONMF_W,9-8-7,0.959375,0.968,0.97375,0.945,0.9863247080942016
SVM,DeepONMF_H3,9-8-7,0.958125,0.969,0.97625,0.94,0.9848649570040444
SVM,DeepONMF_H3,10-6-4,0.9575,0.971,0.98,0.935,0.9836788472255394
SVM,DeepONMF_H3,15-10-5,0.95625,0.969,0.9775,0.935,0.9836705837297428
SVM,DeepONMF_H3,8-5-3,0.953125,0.967,0.97625,0.93,0.9823569902442956
UjaNet,DeepONMF_W,8-5-3,0.94375,0.964,0.9775,0.91,0.9774993138943272
UjaNet,DeepONMF_W,15-10-5,0.940625,0.959,0.97125,0.91,0.9774645020051438
KNN,DeepONMF_H3,10-6-4,0.936875,0.959,0.97375,0.9,0.9750387149596847
UjaNet,DeepONMF_W,10-6-4,0.930625,0.958,0.97625,0.885,0.9715124551797172
SVM,DeepONMF_W,15-10-5,0.93,0.924,0.92,0.94,0.9840331446336784
SVM,DeepONMF_W,9-8-7,0.926875,0.925,0.92375,0.93,0.9814028023077828
KNN,DeepONMF_H3,8-5-3,0.92375,0.962,0.9875,0.86,0.9657917762689768
SVM,DeepONMF_W,10-6-4,0.92125,0.91,0.9025,0.94,0.9837072251702792
SVM,DeepONMF_W,8-5-3,0.920625,0.906,0.89625,0.945,0.9849659373824916
KNN,DeepONMF_H3,15-10-5,0.90625,0.952,0.9825,0.8300000000000001,0.9587088074405512
KNN,DeepONMF_W,15-10-5,0.899375,0.902,0.90375,0.8949999999999999,0.9718529914196822
KNN,DeepONMF_H3,9-8-7,0.878125,0.937,0.97625,0.78,0.9472595566655692
KNN,DeepONMF_W,9-8-7,0.8762500000000001,0.8800000000000001,0.8825,0.8699999999999999,0.964450474509183
KNN,DeepONMF_W,10-6-4,0.87625,0.8949999999999999,0.9075,0.845,0.9593231478407293
KNN,DeepONMF_W,8-5-3,0.871875,0.897,0.91375,0.8300000000000001,0.955648347374883
