distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
12-10-8-6-4,5,KNN,DeepONMF_H5,1,157,35,5,3,0.96,0.98125,0.875,0.9691358024691358,0.928125
12-10-8-6-4,5,KNN,DeepONMF_H5,2,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
12-10-8-6-4,5,KNN,DeepONMF_H5,3,154,33,7,6,0.935,0.9625,0.825,0.9565217391304348,0.89375
12-10-8-6-4,5,KNN,DeepONMF_H5,4,153,35,5,7,0.94,0.95625,0.875,0.9683544303797469,0.915625
12-10-8-6-4,5,KNN,DeepONMF_H5,5,159,33,7,1,0.96,0.99375,0.825,0.9578313253012049,0.909375
12-10-8-6-4,5,KNN,DeepONMF_W,1,142,31,9,18,0.865,0.8875,0.775,0.9403973509933775,0.83125
12-10-8-6-4,5,KNN,DeepONMF_W,2,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
12-10-8-6-4,5,KNN,DeepONMF_W,3,146,34,6,14,0.9,0.9125,0.85,0.9605263157894737,0.88125
12-10-8-6-4,5,KNN,DeepONMF_W,4,150,34,6,10,0.92,0.9375,0.85,0.9615384615384616,0.89375
12-10-8-6-4,5,KNN,DeepONMF_W,5,152,34,6,8,0.93,0.95,0.85,0.9620253164556962,0.8999999999999999
12-10-8-6-4,5,SVM,DeepONMF_H5,1,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
12-10-8-6-4,5,SVM,DeepONMF_H5,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
12-10-8-6-4,5,SVM,DeepONMF_H5,3,154,37,3,6,0.955,0.9625,0.925,0.9808917197452229,0.9437500000000001
12-10-8-6-4,5,SVM,DeepONMF_H5,4,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
12-10-8-6-4,5,SVM,DeepONMF_H5,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
12-10-8-6-4,5,SVM,DeepONMF_W,1,145,39,1,15,0.92,0.90625,0.975,0.9931506849315068,0.940625
12-10-8-6-4,5,SVM,DeepONMF_W,2,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
12-10-8-6-4,5,SVM,DeepONMF_W,3,149,37,3,11,0.93,0.93125,0.925,0.9802631578947368,0.9281250000000001
12-10-8-6-4,5,SVM,DeepONMF_W,4,146,38,2,14,0.92,0.9125,0.95,0.9864864864864865,0.9312499999999999
12-10-8-6-4,5,SVM,DeepONMF_W,5,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
12-10-8-6-4,5,UjaNet,DeepONMF_H5,1,160,36,4,0,0.98,1.0,0.9,0.975609756097561,0.95
12-10-8-6-4,5,UjaNet,DeepONMF_H5,2,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
12-10-8-6-4,5,UjaNet,DeepONMF_H5,3,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
12-10-8-6-4,5,UjaNet,DeepONMF_H5,4,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
12-10-8-6-4,5,UjaNet,DeepONMF_H5,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
12-10-8-6-4,5,UjaNet,DeepONMF_W,1,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
12-10-8-6-4,5,UjaNet,DeepONMF_W,2,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
12-10-8-6-4,5,UjaNet,DeepONMF_W,3,153,36,4,7,0.945,0.95625,0.9,0.9745222929936306,0.9281250000000001
12-10-8-6-4,5,UjaNet,DeepONMF_W,4,155,38,2,5,0.965,0.96875,0.95,0.9872611464968153,0.959375
12-10-8-6-4,5,UjaNet,DeepONMF_W,5,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
