base,clase,archivo,ruta_relativa,frecuencia_hz,muestras,snr_objetivo_db,snr_real_db,error_snr_db,factor_antirecorte,escalado_antirecorte,muestras_saturadas,semilla_ruido,potencia_senal,potencia_ruido_objetivo
original,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,8.0,7.999996146177926,-3.853822073907054e-06,0.8058309316861979,True,0,5.190046822048512e+18,0.0539444514443373,0.0085496193865179
SNR_5db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,5.0,5.000002463963485,2.463963484800047e-06,0.7118550736676957,True,0,1.4409992062047451e+19,0.0539444514443373,0.0170587333692465
SNR_0db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,0.0,3.742034488953295e-06,3.742034488953295e-06,0.6365646149300186,True,0,5.226288454439549e+18,0.0539444514443373,0.0539444514443373
SNR_-5db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,-5.0,-4.999998981279417,1.0187205825573642e-06,0.434638826784864,True,0,1.3674670526536872e+19,0.0539444514443373,0.1705873336924659
SNR_-8db,AS,New_AS_001.wav,AS_New_3주기/New_AS_001.wav,8000,20849,-8.0,-7.9999969658951855,3.03410481450328e-06,0.373575121939277,True,0,1.5463104506368586e+19,0.0539444514443373,0.3403664783275983
original,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,8.0,8.000000992817853,9.928178528184617e-07,0.8351248129722866,True,0,7.720149838399567e+18,0.0540555317961111,0.0085672244358521
SNR_5db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,5.0,5.000005440318651,5.440318650684617e-06,0.7253180319908585,True,0,1.4764573235854182e+19,0.0540555317961111,0.0170938600607363
SNR_0db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,0.0,2.4692117717383824e-06,2.4692117717383824e-06,0.5914167093286699,True,0,6.374824387958502e+18,0.0540555317961111,0.0540555317961111
SNR_-5db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,-5.0,-5.000001852193607,-1.852193607376762e-06,0.4054630301551259,True,0,1.1672164658596902e+18,0.0540555317961111,0.1709386006073639
SNR_-8db,AS,New_AS_002.wav,AS_New_3주기/New_AS_002.wav,8000,20854,-8.0,-8.000002271433551,-2.2714335514706363e-06,0.3773463789361009,True,0,1.3509357616243065e+19,0.0540555317961111,0.3410673479653896
original,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,8.0,7.999995372566596,-4.62743340357008e-06,0.8033723766987889,True,0,1.410643411748897e+19,0.0533745765558219,0.0084593003033816
SNR_5db,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,5.0,4.999997511941361,-2.488058639116275e-06,0.7399892847402432,True,0,4.289896976248821e+18,0.0533745765558219,0.0168785231063422
SNR_0db,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,0.0,4.1075224990152665e-06,4.1075224990152665e-06,0.6259076717228459,True,0,3.167553019533306e+18,0.0533745765558219,0.0533745765558219
SNR_-5db,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,-5.0,-5.000000433688399,-4.33688398970844e-07,0.4487943605795148,True,0,1.7743503785647194e+19,0.0533745765558219,0.1687852310634227
SNR_-8db,AS,New_AS_003.wav,AS_New_3주기/New_AS_003.wav,8000,20883,-8.0,-8.000006802176912,-6.802176912401592e-06,0.3300672088898676,True,0,3.129308450462553e+18,0.0533745765558219,0.3367708108641621
original,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,8.0,7.999997211962252,-2.788037748224781e-06,0.8083703801962132,True,0,9.541637549488214e+18,0.0536072221003852,0.0084961721373651
SNR_5db,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,5.0,4.999997505219348,-2.494780652284589e-06,0.7575251182825041,True,0,1.3024645879497347e+19,0.0536072221003852,0.0169520920871732
SNR_0db,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,0.0,1.3123864041326328e-06,1.3123864041326328e-06,0.5542430658344251,True,0,1.5067150868099013e+19,0.0536072221003852,0.0536072221003852
SNR_-5db,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,-5.0,-4.999994513884259,5.486115741248909e-06,0.4817789233723514,True,0,8.037250329012303e+18,0.0536072221003852,0.1695209208717328
SNR_-8db,AS,New_AS_004.wav,AS_New_3주기/New_AS_004.wav,8000,20871,-8.0,-8.000002759610028,-2.7596100284910108e-06,0.3853384787607909,True,0,1.8357518725937609e+19,0.0536072221003852,0.3382387050141899
original,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,8.0,7.999984450035153,-1.5549964847316744e-05,0.8730139255439956,True,0,1.1276843507725758e+19,0.0511498021201034,0.0081066973175884
SNR_5db,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,5.0,5.000004027927832,4.027927832161993e-06,0.8079126828149731,True,0,2.859629197807037e+18,0.0511498021201034,0.0161749876566436
SNR_0db,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,0.0,2.300981839204037e-06,2.300981839204037e-06,0.6455953830973827,True,0,8.87226697398369e+18,0.0511498021201034,0.0511498021201034
SNR_-5db,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,-5.0,-4.999999469988576,5.300114240824882e-07,0.4745252352250803,True,0,1.4521818965730314e+19,0.0511498021201034,0.1617498765664362
SNR_-8db,AS,New_AS_005.wav,AS_New_3주기/New_AS_005.wav,8000,20990,-8.0,-8.000002049857148,-2.049857148023193e-06,0.3934100482817955,True,0,8.408330805513318e+17,0.0511498021201034,0.322733433163878
original,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,,,,1.0,False,0,,,
SNR_8db,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,8.0,7.999993184710909,-6.815289091299803e-06,0.7813630805714552,True,0,1.4067503329736432e+19,0.0519977270494786,0.0082410843624169
SNR_5db,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,5.0,4.999993569524572,-6.430475427698923e-06,0.7241934243963853,True,0,1.1851846675506074e+19,0.0519977270494786,0.0164431250628099
SNR_0db,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,0.0,4.846713672862301e-06,4.846713672862301e-06,0.6071456835792759,True,0,7.220535043461974e+18,0.0519977270494786,0.0519977270494786
SNR_-5db,AS,New_AS_006.wav,AS_New_3주기/New_AS_006.wav,8000,20814,-5.0,-5.000000835858096,-8.358580956269179e-07,0.4942669864393156,True,0,4.5792797788909455e+18,0.0519977270494786,0.1644312506280995
