distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
10-6-4,3,KNN,DeepONMF_H3,1,157,36,4,3,0.965,0.98125,0.9,0.9751552795031057,0.940625
10-6-4,3,KNN,DeepONMF_H3,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
10-6-4,3,KNN,DeepONMF_H3,3,153,37,3,7,0.95,0.95625,0.925,0.9807692307692308,0.940625
10-6-4,3,KNN,DeepONMF_H3,4,153,35,5,7,0.94,0.95625,0.875,0.9683544303797468,0.915625
10-6-4,3,KNN,DeepONMF_H3,5,158,34,6,2,0.96,0.9875,0.85,0.9634146341463414,0.91875
10-6-4,3,KNN,DeepONMF_W,1,148,31,9,12,0.895,0.925,0.775,0.9426751592356688,0.8500000000000001
10-6-4,3,KNN,DeepONMF_W,2,140,34,6,20,0.87,0.875,0.85,0.958904109589041,0.8625
10-6-4,3,KNN,DeepONMF_W,3,143,37,3,17,0.9,0.89375,0.925,0.9794520547945206,0.909375
10-6-4,3,KNN,DeepONMF_W,4,147,33,7,13,0.9,0.91875,0.825,0.9545454545454546,0.871875
10-6-4,3,KNN,DeepONMF_W,5,148,34,6,12,0.91,0.925,0.85,0.961038961038961,0.8875
10-6-4,3,SVM,DeepONMF_H3,1,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
10-6-4,3,SVM,DeepONMF_H3,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
10-6-4,3,SVM,DeepONMF_H3,3,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
10-6-4,3,SVM,DeepONMF_H3,4,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
10-6-4,3,SVM,DeepONMF_H3,5,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
10-6-4,3,SVM,DeepONMF_W,1,144,39,1,16,0.915,0.9,0.975,0.993103448275862,0.9375
10-6-4,3,SVM,DeepONMF_W,2,144,37,3,16,0.905,0.9,0.925,0.979591836734694,0.9125
10-6-4,3,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297296,0.915625
10-6-4,3,SVM,DeepONMF_W,4,142,38,2,18,0.9,0.8875,0.95,0.9861111111111112,0.91875
10-6-4,3,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
10-6-4,3,UjaNet,DeepONMF_H3,1,160,38,2,0,0.99,1.0,0.95,0.9876543209876544,0.975
10-6-4,3,UjaNet,DeepONMF_H3,2,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
10-6-4,3,UjaNet,DeepONMF_H3,3,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
10-6-4,3,UjaNet,DeepONMF_H3,4,157,38,2,3,0.975,0.98125,0.95,0.9874213836477987,0.965625
10-6-4,3,UjaNet,DeepONMF_H3,5,159,40,0,1,0.995,0.99375,1.0,1.0,0.996875
10-6-4,3,UjaNet,DeepONMF_W,1,155,39,1,5,0.97,0.96875,0.975,0.9935897435897436,0.971875
10-6-4,3,UjaNet,DeepONMF_W,2,160,35,5,0,0.975,1.0,0.875,0.9696969696969696,0.9375
10-6-4,3,UjaNet,DeepONMF_W,3,152,34,6,8,0.93,0.95,0.85,0.9620253164556962,0.8999999999999999
10-6-4,3,UjaNet,DeepONMF_W,4,155,33,7,5,0.94,0.96875,0.825,0.9567901234567902,0.896875
10-6-4,3,UjaNet,DeepONMF_W,5,159,36,4,1,0.975,0.99375,0.9,0.9754601226993864,0.946875
