distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
10-9-7-5,4,KNN,DeepONMF_H4,1,157,29,11,3,0.93,0.98125,0.725,0.9345238095238095,0.8531249999999999
10-9-7-5,4,KNN,DeepONMF_H4,2,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
10-9-7-5,4,KNN,DeepONMF_H4,3,159,27,13,1,0.93,0.99375,0.675,0.9244186046511628,0.8343750000000001
10-9-7-5,4,KNN,DeepONMF_H4,4,158,36,4,2,0.97,0.9875,0.9,0.9753086419753086,0.9437500000000001
10-9-7-5,4,KNN,DeepONMF_H4,5,158,31,9,2,0.945,0.9875,0.775,0.9461077844311377,0.8812500000000001
10-9-7-5,4,KNN,DeepONMF_W,1,144,37,3,16,0.905,0.9,0.925,0.9795918367346939,0.9125000000000001
10-9-7-5,4,KNN,DeepONMF_W,2,140,35,5,20,0.875,0.875,0.875,0.9655172413793104,0.875
10-9-7-5,4,KNN,DeepONMF_W,3,141,34,6,19,0.875,0.88125,0.85,0.9591836734693877,0.865625
10-9-7-5,4,KNN,DeepONMF_W,4,146,34,6,14,0.9,0.9125,0.85,0.9605263157894737,0.88125
10-9-7-5,4,KNN,DeepONMF_W,5,147,36,4,13,0.915,0.91875,0.9,0.9735099337748344,0.909375
10-9-7-5,4,SVM,DeepONMF_H4,1,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
10-9-7-5,4,SVM,DeepONMF_H4,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
10-9-7-5,4,SVM,DeepONMF_H4,3,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
10-9-7-5,4,SVM,DeepONMF_H4,4,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
10-9-7-5,4,SVM,DeepONMF_H4,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
10-9-7-5,4,SVM,DeepONMF_W,1,144,39,1,16,0.915,0.9,0.975,0.993103448275862,0.9375
10-9-7-5,4,SVM,DeepONMF_W,2,143,37,3,17,0.9,0.89375,0.925,0.9794520547945206,0.909375
10-9-7-5,4,SVM,DeepONMF_W,3,144,37,3,16,0.905,0.9,0.925,0.9795918367346939,0.9125000000000001
10-9-7-5,4,SVM,DeepONMF_W,4,148,38,2,12,0.93,0.925,0.95,0.9866666666666667,0.9375
10-9-7-5,4,SVM,DeepONMF_W,5,147,36,4,13,0.915,0.91875,0.9,0.9735099337748344,0.909375
10-9-7-5,4,UjaNet,DeepONMF_H4,1,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
10-9-7-5,4,UjaNet,DeepONMF_H4,2,157,40,0,3,0.985,0.98125,1.0,1.0,0.990625
10-9-7-5,4,UjaNet,DeepONMF_H4,3,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
10-9-7-5,4,UjaNet,DeepONMF_H4,4,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
10-9-7-5,4,UjaNet,DeepONMF_H4,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
10-9-7-5,4,UjaNet,DeepONMF_W,1,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
10-9-7-5,4,UjaNet,DeepONMF_W,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
10-9-7-5,4,UjaNet,DeepONMF_W,3,150,35,5,10,0.925,0.9375,0.875,0.967741935483871,0.90625
10-9-7-5,4,UjaNet,DeepONMF_W,4,159,36,4,1,0.975,0.99375,0.9,0.9754601226993865,0.946875
10-9-7-5,4,UjaNet,DeepONMF_W,5,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
