indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,SNR_5db,N,New_N_001.wav,0.00243130000308156
1,SNR_5db,N,New_N_002.wav,0.0021779999369755387
2,SNR_5db,AS,New_AS_001.wav,0.0020496000070124865
3,SNR_5db,AS,New_AS_002.wav,0.001979399938136339
4,SNR_5db,MR,New_MR_001.wav,0.0019896000158041716
5,SNR_5db,MR,New_MR_002.wav,0.002021100022830069
6,SNR_5db,MS,New_MS_001.wav,0.0019948999397456646
7,SNR_5db,MS,New_MS_002.wav,0.0022504000226035714
8,SNR_5db,MVP,New_MVP_001.wav,0.002390500041656196
9,SNR_5db,MVP,New_MVP_002.wav,0.0029093000339344144
