indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_-5db,N,New_N_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.45102441231177237,2x212,0.018311699968762696,32,0.3345950887508371,0.27084962903762927,0.01593160000629723,2,0.3072813299109461,0.4354836119585534,0.0012821001000702381
1,SNR_-5db,N,New_N_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.44828852325096397,2x212,0.018707299954257905,32,0.3307675579087748,0.27934578151910877,0.016075100051239133,2,0.29942574823301166,0.4426056612571554,0.0016336999833583832
2,SNR_-5db,AS,New_AS_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.4713470789731143,2x212,0.01671080000232905,32,0.3440907811534303,0.26522490285144523,0.014615699998103082,2,0.3499211498050746,0.48553270473109444,0.0010869000107049942
3,SNR_-5db,AS,New_AS_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.4729864190655744,2x212,0.01475649990607053,32,0.3331373581404049,0.26367425418610274,0.013080200063996017,2,0.3677208395822206,0.49992750991324597,0.0009361000265926123
4,SNR_-5db,MR,New_MR_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.46048563383036895,2x212,0.013587499968707561,32,0.34113168591080323,0.2695422705077833,0.011785199982114136,2,0.3146699340601486,0.4107501444658438,0.001075300038792193
5,SNR_-5db,MR,New_MR_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.4649862107611965,2x212,0.012754700030200183,32,0.34454428269340065,0.2676336809074071,0.011230599950067699,2,0.3266018492142827,0.44186564359478225,0.0008420000085607171
6,SNR_-5db,MS,New_MS_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.4506535303868053,2x212,0.011337799951434135,32,0.335595979207271,0.2655594818753731,0.009667000034824014,2,0.30613627952861333,0.43198921696550996,0.0009469999931752682
7,SNR_-5db,MS,New_MS_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.4545736375495648,2x212,0.012859100010246038,32,0.33977056560882807,0.2698073901314381,0.011362800025381148,2,0.30627892455152816,0.43484536678154506,0.0008388999849557877
8,SNR_-5db,MVP,New_MVP_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.46858044545826677,2x212,0.012640099972486496,32,0.33699754783622665,0.2555742712834618,0.011179099907167256,2,0.3645231675053222,0.3114417662156671,0.0008468999294564128
9,SNR_-5db,MVP,New_MVP_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.419101087726444,2x212,0.012676000013016164,32,0.2522684074204933,0.2672677134878571,0.01084080000873655,2,0.3745474911632799,0.33370316994025717,0.0011320000048726797
