fold,clase,etiqueta_binaria,archivo,ruta,error_vs_N,afinidad_mejorada_N,afinidad_f8_N,error_vs_AS,afinidad_mejorada_AS,afinidad_f8_AS,error_vs_MR,afinidad_mejorada_MR,afinidad_f8_MR,error_vs_MS,afinidad_mejorada_MS,afinidad_f8_MS,error_vs_MVP,afinidad_mejorada_MVP,afinidad_f8_MVP
5,N,normal,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_001.wav,0.07234427147527701,2.6263190069899434,0.7879822098343773,0.1256291202988654,2.074421202307724,0.0021751799105090334,0.09663546607964969,2.3368094614627406,0.05369382359692056,0.08961074635925624,2.412280029147854,0.11675853942138699,0.09943681464032109,2.308232865274234,0.03939024723680621
5,N,normal,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_002.wav,0.0738724131379474,2.605415820614188,0.6409481314487163,0.11644996856787193,2.1502935525713434,0.006372677123526493,0.09040735205799418,2.403429686815798,0.10694345433573967,0.08493415322300053,2.4658789906668,0.19345004943974523,0.09701503216099255,2.332889341753596,0.05228568765227232
5,N,normal,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_003.wav,0.07090600148816034,2.646400201802729,0.7529300630299008,0.12887916634592314,2.0488800085862073,0.0010866778304134649,0.0913374132518861,2.3931947916187912,0.0750976719477588,0.08552036805664237,2.459000708525282,0.14476332617354365,0.10069702047630429,2.2956390678154737,0.02612226101838334
5,N,normal,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_004.wav,0.07263549015493971,2.6223016314878693,0.6820522382199014,0.12970075021941727,2.0425254034095652,0.0012712437714820376,0.08881673261561158,2.421180216378796,0.11476888871091472,0.08510555345553751,2.4638629875351037,0.17271899916294953,0.10124776277942923,2.290184669245246,0.029188630134752442
5,N,normal,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_005.wav,0.07525572982707869,2.586863234370506,0.7241735539136323,0.14103948771064218,1.9587153731265565,0.0006649399517110035,0.09795939038277608,2.323202270041502,0.0648149737614657,0.08753377439028164,2.435730567062924,0.19633519937402782,0.11236775976760201,2.1859782174753293,0.01401133299916324
5,N,normal,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_006.wav,0.07666764853578267,2.5682754518205906,0.7602702813564244,0.1315328171479212,2.0284988984390124,0.002481060899356133,0.09906749430994084,2.3119539004343315,0.07342971766920706,0.09327613344835131,2.3721910082644655,0.1343753365158974,0.10782535515523974,2.227242442642018,0.029443603559114993
5,N,normal,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_007.wav,0.07888434919303182,2.5397724333792393,0.6478141522595865,0.12565629092807246,2.0742049491700647,0.005642124887172975,0.09557184289768553,2.3478770326663043,0.11925375090229243,0.09145607641376205,2.391896461150219,0.1810278895487212,0.10490909649222285,2.254661051493702,0.04626208240222693
5,N,normal,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_008.wav,0.07464661548376951,2.594990094487322,0.7320010798740708,0.1311801361482081,2.0311838152438733,0.0017108528989465764,0.09576729779846349,2.34583401137906,0.07611488812720899,0.08869001204082598,2.4226079998307233,0.16250815530151788,0.105210793985324,2.2517893795187693,0.027665023798255674
5,N,normal,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_009.wav,0.07157325817798277,2.6370337639142942,0.7778491148277605,0.12381583333083682,2.0889600324761832,0.0022641341236940963,0.09271412084971775,2.3782344895352123,0.07322540717801754,0.08910002129780495,2.4179957054727987,0.10967301348438238,0.09882415083671915,2.3144132624321134,0.03698833038614549
5,N,normal,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_010.wav,0.07969317210741785,2.5295713667753197,0.7428141326556855,0.15070217563727237,1.8924497365775053,0.000595833637962053,0.10212278575673678,2.2815794077336014,0.07816709906358013,0.09528661900219768,2.350865887391214,0.15525943770469508,0.1142388495077134,2.169463851277416,0.023163496938077177
5,N,normal,New_N_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_011.wav,0.08156564447529666,2.5063471292544417,0.5987574938665123,0.13552415160218517,1.9986054139388185,0.0030119230817825956,0.09744039820368575,2.328514388373669,0.12619807852673823,0.09052017612647895,2.402182512499748,0.24878563804162174,0.11468829361279845,2.165537320972571,0.023246866483345136
5,N,normal,New_N_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Bases de Datos\N_New_3주기\New_N_012.wav,0.08634463769824387,2.4494085759327207,0.6540349675332706,0.13228749636723333,2.022777722023443,0.009267047886485543,0.10518674938187479,2.252017943057764,0.11413731274514537,0.10178854201292571,2.2848577351009136,0.15637434775874126,0.11106820465936387,2.19761080998017,0.0661863240763571
