distribucion,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
8-5-3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
8-5-3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
8-5-3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
8-5-3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
8-5-3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
8-5-3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
8-5-3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
8-5-3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,4,19,1,1,0.9199999999999999,0.8,0.95,0.7,0.875,5
8-5-3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
8-5-3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
8-5-3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
8-5-3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,1,16,4,4,0.68,0.2,0.8,0.04,0.5,5
