clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008,F_009,F_010,F_011,F_012,F_013,F_014,F_015
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,afinidad_y_diferencias_errores,1.2387164433794642,2.055608651739712,2.073026504876322,2.0847256966999965,2.082381907989409,-0.8168922083602477,-0.8343100614968579,-0.8460092533205323,-0.8436654646099446,-0.017417853136610262,-0.029117044960284666,-0.026773256249696953,-0.011699191823674404,-0.009355403113086691,0.002343788710587713
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,afinidad_y_diferencias_errores,1.2954928945106803,2.1084191115988524,2.105582641657594,2.1643553854161337,2.139114770768316,-0.8129262170881721,-0.8100897471469135,-0.8688624909054534,-0.8436218762576357,0.0028364699412586347,-0.05593627381728128,-0.030695659169463596,-0.058772743758539914,-0.03353212911072223,0.025240614647817683
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,afinidad_y_diferencias_errores,1.1606267299905573,2.088340029646642,2.069926871282326,2.086689814431636,2.1104884132901813,-0.9277132996560848,-0.9093001412917687,-0.9260630844410789,-0.9498616832996241,0.018413158364316118,0.001650215215005968,-0.022148383643539216,-0.01676294314931015,-0.040561542007855333,-0.023798598858545184
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,afinidad_y_diferencias_errores,1.2153224626084143,2.117850764547229,2.0926048373068915,2.109662413991541,2.1363306765993384,-0.9025283019388146,-0.8772823746984773,-0.8943399513831269,-0.9210082139909241,0.025245927240337362,0.008188350555687673,-0.018479912052109526,-0.01705757668464969,-0.04372583929244689,-0.0266682626077972
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,afinidad_y_diferencias_errores,1.2366681609908694,2.0907763855447015,2.0683976392680807,2.1287992509203875,2.1084948712341354,-0.8541082245538321,-0.8317294782772113,-0.8921310899295181,-0.871826710243266,0.02237874627662073,-0.038022865375686,-0.017718485689433905,-0.06040161165230673,-0.040097231966054636,0.020304379686252094
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,afinidad_y_diferencias_errores,1.1912057187060194,2.0720254239692997,2.0652805067333,2.1395398083847645,2.102598599861089,-0.8808197052632802,-0.8740747880272808,-0.9483340896787451,-0.9113928811550698,0.006744917235999459,-0.06751438441546487,-0.03057317589178954,-0.07425930165146433,-0.037318093127789,0.03694120852367533
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,afinidad_y_diferencias_errores,1.1990229320216343,2.035364440468967,2.0429258348850463,2.081384905046248,2.078887555382938,-0.8363415084473327,-0.843902902863412,-0.8823619730246137,-0.8798646233613034,-0.007561394416079281,-0.04602046457728104,-0.04352311491397076,-0.03845907016120176,-0.03596172049789148,0.0024973496633102776
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,afinidad_y_diferencias_errores,1.2451235767656375,2.114405620738477,2.115944112181384,2.1877628723415636,2.1356319542340363,-0.8692820439728397,-0.8708205354157466,-0.9426392955759262,-0.8905083774683988,-0.001538491442906853,-0.07335725160308648,-0.021226333495559135,-0.07181876016017963,-0.019687842052652282,0.052130918107527346
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,afinidad_y_diferencias_errores,1.2129538116285068,2.070436431194968,2.0760488722858343,2.1417537955665544,2.1008853577964164,-0.8574826195664613,-0.8630950606573276,-0.9287999839380476,-0.8879315461679096,-0.005612441090866227,-0.07131736437158631,-0.030448926601448267,-0.06570492328072008,-0.02483648551058204,0.040868437770138044
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,afinidad_y_diferencias_errores,1.206956870894988,2.0685821727448843,2.0641586638171106,2.103114797676245,2.093982929599361,-0.8616253018498963,-0.8572017929221225,-0.8961579267812572,-0.887026058704373,0.004423508927773767,-0.03453262493136089,-0.025400756854476736,-0.038956133859134656,-0.029824265782250503,0.009131868076884153
