clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008,F_009,F_010,F_011,F_012,F_013,F_014,F_015
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,afinidad_y_diferencias_errores,1.174640282882943,2.1128585091282495,1.9965754526203852,1.955874928179427,2.0285106649743105,-0.9382182262453065,-0.8219351697374422,-0.781234645296484,-0.8538703820913676,0.1162830565078643,0.15698358094882248,0.08434784415393892,0.040700524440958175,-0.03193521235392538,-0.07263573679488355
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,afinidad_y_diferencias_errores,1.2880375109588322,2.2714064460453316,2.0422330518418486,2.114659370503,2.169964955658536,-0.9833689350864994,-0.7541955408830163,-0.8266218595441677,-0.8819274446997039,0.22917339420348304,0.1567470755423317,0.10144149038679551,-0.07242631866115135,-0.12773190381668753,-0.055305585155536185
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,afinidad_y_diferencias_errores,1.1457248674350764,2.209571770342976,1.9924658620173608,2.0136033573536802,2.1125808921746163,-1.0638469029078996,-0.8467409945822844,-0.8678784899186038,-0.9668560247395399,0.21710590832561527,0.1959684129892958,0.09699087816835972,-0.02113749533631948,-0.12011503015725555,-0.09897753482093608
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,afinidad_y_diferencias_errores,1.2089315729971037,2.2247059806330385,2.012372860598833,2.0402268989200665,2.146339349648675,-1.0157744076359347,-0.8034412876017294,-0.8312953259229627,-0.9374077766515714,0.21233312003420535,0.184479081712972,0.07836663098436336,-0.027854038321233343,-0.13396648904984199,-0.10611245072860864
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,afinidad_y_diferencias_errores,1.2235745074217845,2.1703094898504607,1.9746950487606008,2.0374860465103963,2.1070035590410288,-0.9467349824286762,-0.7511205413388162,-0.8139115390886118,-0.8834290516192442,0.19561444108985993,0.13282344334006435,0.06330593080943192,-0.06279099774979557,-0.132308510280428,-0.06951751253063243
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,afinidad_y_diferencias_errores,1.1371661385097165,2.230405328872272,2.034263845814691,2.084673657452814,2.118163648595039,-1.0932391903625553,-0.8970977073049744,-0.9475075189430975,-0.9809975100853225,0.19614148305758095,0.14573167141945786,0.1122416802772328,-0.05040981163812308,-0.08389980278034814,-0.03348999114222506
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,afinidad_y_diferencias_errores,1.1398933398480164,2.1366568665860064,1.9763181735650839,1.9718895803083103,2.0543739893436213,-0.99676352673799,-0.8364248337170674,-0.8319962404602939,-0.9144806494956048,0.16033869302092252,0.1647672862776961,0.08228287724238514,0.004428593256773583,-0.07805581577853737,-0.08248440903531096
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,afinidad_y_diferencias_errores,1.2369234138019947,2.270021807237623,2.0456899160776842,2.1416572462900243,2.162976045835032,-1.0330983934356281,-0.8087665022756896,-0.9047338324880296,-0.9260526320330371,0.22433189115993857,0.12836456094759852,0.10704576140259103,-0.09596733021234005,-0.11728612975734753,-0.021318799545007483
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,afinidad_y_diferencias_errores,1.20057749129355,2.2332432463236724,2.018307077867493,2.0755597715085403,2.1136407432885083,-1.0326657550301224,-0.8177295865739429,-0.8749822802149902,-0.9130632519949582,0.21493616845617947,0.15768347481513212,0.11960250303516418,-0.05725269364104735,-0.09533366542101529,-0.03808097177996794
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,afinidad_y_diferencias_errores,1.205882008738065,2.1822690540437835,2.01435349526317,2.0180785406671196,2.105123926225109,-0.9763870453057184,-0.8084714865251048,-0.8121965319290545,-0.8992419174870439,0.1679155587806136,0.1641905133766639,0.07714512781867455,-0.0037250454039496894,-0.09077043096193904,-0.08704538555798935
