indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,SNR_-5db,N,New_N_001.wav,0.0015928000211715698
1,SNR_-5db,N,New_N_002.wav,0.0015965999336913228
2,SNR_-5db,N,New_N_003.wav,0.0014130000490695238
3,SNR_-5db,N,New_N_004.wav,0.0014615999534726143
4,SNR_-5db,N,New_N_005.wav,0.0017514999490231276
5,SNR_-5db,N,New_N_006.wav,0.002099100034683943
6,SNR_-5db,N,New_N_007.wav,0.00209349999204278
7,SNR_-5db,N,New_N_008.wav,0.0020053000189363956
8,SNR_-5db,N,New_N_009.wav,0.0017807000549510121
9,SNR_-5db,N,New_N_010.wav,0.0017236999701708555
10,SNR_-5db,N,New_N_011.wav,0.0015179000329226255
11,SNR_-5db,N,New_N_012.wav,0.001851900015026331
12,SNR_-5db,N,New_N_013.wav,0.001687500043772161
13,SNR_-5db,N,New_N_014.wav,0.0015375999500975013
14,SNR_-5db,N,New_N_015.wav,0.0015447000041604042
15,SNR_-5db,N,New_N_016.wav,0.0015595000004395843
16,SNR_-5db,N,New_N_017.wav,0.0017487999284639955
17,SNR_-5db,N,New_N_018.wav,0.002261499990709126
18,SNR_-5db,N,New_N_019.wav,0.002618500031530857
19,SNR_-5db,N,New_N_020.wav,0.0020625999895855784
20,SNR_-5db,N,New_N_021.wav,0.0016696000238880515
21,SNR_-5db,N,New_N_022.wav,0.0015796000370755792
22,SNR_-5db,N,New_N_023.wav,0.0017907998990267515
23,SNR_-5db,N,New_N_024.wav,0.0017860999796539545
24,SNR_-5db,N,New_N_025.wav,0.0016953999875113368
25,SNR_-5db,N,New_N_026.wav,0.0018993000267073512
26,SNR_-5db,N,New_N_027.wav,0.002191699924878776
27,SNR_-5db,N,New_N_028.wav,0.002031699987128377
28,SNR_-5db,N,New_N_029.wav,0.0016975000035017729
29,SNR_-5db,N,New_N_030.wav,0.0016231000190600753
30,SNR_-5db,N,New_N_031.wav,0.0014550000196322799
31,SNR_-5db,N,New_N_032.wav,0.0014579000417143106
32,SNR_-5db,N,New_N_033.wav,0.00137339998036623
33,SNR_-5db,N,New_N_034.wav,0.001384400064125657
34,SNR_-5db,N,New_N_035.wav,0.0013386000646278262
35,SNR_-5db,N,New_N_036.wav,0.0014887999277561903
36,SNR_-5db,N,New_N_037.wav,0.0028092999709770083
37,SNR_-5db,N,New_N_038.wav,0.0019483000505715609
38,SNR_-5db,N,New_N_039.wav,0.0017996999667957425
39,SNR_-5db,N,New_N_040.wav,0.0016701000276952982
40,SNR_-5db,N,New_N_041.wav,0.001445600064471364
41,SNR_-5db,N,New_N_042.wav,0.0017291000112891197
42,SNR_-5db,N,New_N_043.wav,0.0014595999382436275
43,SNR_-5db,N,New_N_044.wav,0.0016864000353962183
44,SNR_-5db,N,New_N_045.wav,0.0015473999083042145
45,SNR_-5db,N,New_N_046.wav,0.002378600067459047
46,SNR_-5db,N,New_N_047.wav,0.002077799988910556
47,SNR_-5db,N,New_N_048.wav,0.0015851000789552927
48,SNR_-5db,N,New_N_049.wav,0.0015718000940978527
49,SNR_-5db,N,New_N_050.wav,0.0017059999518096447
50,SNR_-5db,N,New_N_051.wav,0.0020634999964386225
51,SNR_-5db,N,New_N_052.wav,0.0021051999647170305
52,SNR_-5db,N,New_N_053.wav,0.002424199949018657
53,SNR_-5db,N,New_N_054.wav,0.002749499981291592
54,SNR_-5db,N,New_N_055.wav,0.0020453999750316143
55,SNR_-5db,N,New_N_056.wav,0.0016784999752417207
56,SNR_-5db,N,New_N_057.wav,0.0014819999923929572
57,SNR_-5db,N,New_N_058.wav,0.0014389000134542584
58,SNR_-5db,N,New_N_059.wav,0.001775600016117096
59,SNR_-5db,N,New_N_060.wav,0.0017751998966559768
60,SNR_-5db,N,New_N_061.wav,0.0015147000085562468
61,SNR_-5db,N,New_N_062.wav,0.0015996999572962523
62,SNR_-5db,N,New_N_063.wav,0.0016371000092476606
63,SNR_-5db,N,New_N_064.wav,0.0023379999911412597
64,SNR_-5db,N,New_N_065.wav,0.0018138999585062265
65,SNR_-5db,N,New_N_066.wav,0.0021120000164955854
66,SNR_-5db,N,New_N_067.wav,0.0015581999905407429
67,SNR_-5db,N,New_N_068.wav,0.0014186999760568142
68,SNR_-5db,N,New_N_069.wav,0.0014043999835848808
69,SNR_-5db,N,New_N_070.wav,0.0014993000077083707
70,SNR_-5db,N,New_N_071.wav,0.001499100006185472
71,SNR_-5db,N,New_N_072.wav,0.0015626000240445137
72,SNR_-5db,N,New_N_073.wav,0.001510400092229247
73,SNR_-5db,N,New_N_074.wav,0.0021690999856218696
74,SNR_-5db,N,New_N_075.wav,0.0017736000008881092
75,SNR_-5db,N,New_N_076.wav,0.0015426999889314175
76,SNR_-5db,N,New_N_077.wav,0.0015511000528931618
77,SNR_-5db,N,New_N_078.wav,0.0014769999543204904
78,SNR_-5db,N,New_N_079.wav,0.0014696000143885612
79,SNR_-5db,N,New_N_080.wav,0.0014100999105721712
80,SNR_-5db,N,New_N_081.wav,0.00141960009932518
81,SNR_-5db,N,New_N_082.wav,0.0014325000811368227
82,SNR_-5db,N,New_N_083.wav,0.0014022999675944448
83,SNR_-5db,N,New_N_084.wav,0.0019529999699443579
84,SNR_-5db,N,New_N_085.wav,0.001965199946425855
85,SNR_-5db,N,New_N_086.wav,0.0015884999884292483
86,SNR_-5db,N,New_N_087.wav,0.001452099997550249
87,SNR_-5db,N,New_N_088.wav,0.0014767000684514642
88,SNR_-5db,N,New_N_089.wav,0.0013775000115856528
89,SNR_-5db,N,New_N_090.wav,0.0013692000648006797
90,SNR_-5db,N,New_N_091.wav,0.0014814999885857105
91,SNR_-5db,N,New_N_092.wav,0.0014586999313905835
92,SNR_-5db,N,New_N_093.wav,0.0014615000691264868
93,SNR_-5db,N,New_N_094.wav,0.0015475000254809856
94,SNR_-5db,N,New_N_095.wav,0.0019508999539539218
95,SNR_-5db,N,New_N_096.wav,0.002000599983148277
96,SNR_-5db,N,New_N_097.wav,0.0017115999944508076
97,SNR_-5db,N,New_N_098.wav,0.0014964999863877892
98,SNR_-5db,N,New_N_099.wav,0.001457100035622716
99,SNR_-5db,N,New_N_100.wav,0.0014404000248759985
100,SNR_-5db,N,New_N_101.wav,0.0014911999460309744
101,SNR_-5db,N,New_N_102.wav,0.001456800033338368
102,SNR_-5db,N,New_N_103.wav,0.001425999915227294
103,SNR_-5db,N,New_N_104.wav,0.0016518000047653913
104,SNR_-5db,N,New_N_105.wav,0.001970799989067018
105,SNR_-5db,N,New_N_106.wav,0.0020087999291718006
106,SNR_-5db,N,New_N_107.wav,0.0016955999890342355
107,SNR_-5db,N,New_N_108.wav,0.0016067000105977058
108,SNR_-5db,N,New_N_109.wav,0.0015381999546661973
109,SNR_-5db,N,New_N_110.wav,0.0014803999802097678
110,SNR_-5db,N,New_N_111.wav,0.001541699981316924
111,SNR_-5db,N,New_N_112.wav,0.001460700063034892
112,SNR_-5db,N,New_N_113.wav,0.001619800110347569
113,SNR_-5db,N,New_N_114.wav,0.0016104000387713313
114,SNR_-5db,N,New_N_115.wav,0.0021660999627783895
115,SNR_-5db,N,New_N_116.wav,0.0021353999618440866
116,SNR_-5db,N,New_N_117.wav,0.0016063000075519085
117,SNR_-5db,N,New_N_118.wav,0.001563600031659007
118,SNR_-5db,N,New_N_119.wav,0.0018727999413385987
119,SNR_-5db,N,New_N_120.wav,0.0017052999464794993
120,SNR_-5db,N,New_N_121.wav,0.0014402000233530998
121,SNR_-5db,N,New_N_122.wav,0.001379900029860437
122,SNR_-5db,N,New_N_123.wav,0.0015304000116884708
123,SNR_-5db,N,New_N_124.wav,0.0014123000437393785
124,SNR_-5db,N,New_N_125.wav,0.001649899990297854
125,SNR_-5db,N,New_N_126.wav,0.0019937000470235944
126,SNR_-5db,N,New_N_127.wav,0.0017522000707685947
127,SNR_-5db,N,New_N_128.wav,0.0023003999376669526
128,SNR_-5db,N,New_N_129.wav,0.0015187000390142202
129,SNR_-5db,N,New_N_130.wav,0.0015524000627920032
130,SNR_-5db,N,New_N_131.wav,0.0015556999715045094
131,SNR_-5db,N,New_N_132.wav,0.0015230999561026692
132,SNR_-5db,N,New_N_133.wav,0.0015437999973073602
133,SNR_-5db,N,New_N_134.wav,0.0015161000192165375
134,SNR_-5db,N,New_N_135.wav,0.0017360999481752515
135,SNR_-5db,N,New_N_136.wav,0.0019241999834775925
136,SNR_-5db,N,New_N_137.wav,0.0015901000006124377
137,SNR_-5db,N,New_N_138.wav,0.0014917999505996704
138,SNR_-5db,N,New_N_139.wav,0.0014603000599890947
139,SNR_-5db,N,New_N_140.wav,0.0015266999835148454
140,SNR_-5db,N,New_N_141.wav,0.0015030999202281237
141,SNR_-5db,N,New_N_142.wav,0.0014842000091448426
142,SNR_-5db,N,New_N_143.wav,0.0014859000220894814
143,SNR_-5db,N,New_N_144.wav,0.0014970999909564853
144,SNR_-5db,N,New_N_145.wav,0.0014523999998345971
145,SNR_-5db,N,New_N_146.wav,0.0019314999226480722
146,SNR_-5db,N,New_N_147.wav,0.0017988000763580203
147,SNR_-5db,N,New_N_148.wav,0.0017963000573217869
148,SNR_-5db,N,New_N_149.wav,0.0017750000115484
149,SNR_-5db,N,New_N_150.wav,0.001604700111784041
150,SNR_-5db,N,New_N_151.wav,0.0015121001051738858
151,SNR_-5db,N,New_N_152.wav,0.0016194999916478992
152,SNR_-5db,N,New_N_153.wav,0.0015055000549182296
153,SNR_-5db,N,New_N_154.wav,0.0015544999623671174
154,SNR_-5db,N,New_N_155.wav,0.001458600047044456
155,SNR_-5db,N,New_N_156.wav,0.0020269000669941306
156,SNR_-5db,N,New_N_157.wav,0.001880900003015995
157,SNR_-5db,N,New_N_158.wav,0.001633100095205009
158,SNR_-5db,N,New_N_159.wav,0.001487199915573001
159,SNR_-5db,N,New_N_160.wav,0.0014733000425621867
160,SNR_-5db,N,New_N_161.wav,0.0014427999267354608
161,SNR_-5db,N,New_N_162.wav,0.0016243000281974673
162,SNR_-5db,N,New_N_163.wav,0.0015207999385893345
163,SNR_-5db,N,New_N_164.wav,0.0015185000374913216
164,SNR_-5db,N,New_N_165.wav,0.0014680000022053719
165,SNR_-5db,N,New_N_166.wav,0.002103299950249493
166,SNR_-5db,N,New_N_167.wav,0.0024485000176355243
167,SNR_-5db,N,New_N_168.wav,0.0017583000008016825
168,SNR_-5db,N,New_N_169.wav,0.0016019000904634595
169,SNR_-5db,N,New_N_170.wav,0.0015718999784439802
170,SNR_-5db,N,New_N_171.wav,0.0015825999435037374
171,SNR_-5db,N,New_N_172.wav,0.0015657000476494431
172,SNR_-5db,N,New_N_173.wav,0.001451200107112527
173,SNR_-5db,N,New_N_174.wav,0.0015528000658378005
174,SNR_-5db,N,New_N_175.wav,0.0014571999199688435
175,SNR_-5db,N,New_N_176.wav,0.002163700060918927
176,SNR_-5db,N,New_N_177.wav,0.002296999911777675
177,SNR_-5db,N,New_N_178.wav,0.0020037000067532063
178,SNR_-5db,N,New_N_179.wav,0.0016751999501138926
179,SNR_-5db,N,New_N_180.wav,0.0015206000534817576
180,SNR_-5db,N,New_N_181.wav,0.0015001000137999654
181,SNR_-5db,N,New_N_182.wav,0.0014831000007689
182,SNR_-5db,N,New_N_183.wav,0.0014477000804618
183,SNR_-5db,N,New_N_184.wav,0.0014606999466195703
184,SNR_-5db,N,New_N_185.wav,0.0014813999878242612
185,SNR_-5db,N,New_N_186.wav,0.0027205999940633774
186,SNR_-5db,N,New_N_187.wav,0.0019385999767109752
187,SNR_-5db,N,New_N_188.wav,0.0016255999216809869
188,SNR_-5db,N,New_N_189.wav,0.0015532000688835979
189,SNR_-5db,N,New_N_190.wav,0.0015505999326705933
190,SNR_-5db,N,New_N_191.wav,0.0014634999679401517
191,SNR_-5db,N,New_N_192.wav,0.0016049999976530671
192,SNR_-5db,N,New_N_193.wav,0.001406800001859665
193,SNR_-5db,N,New_N_194.wav,0.001509999972768128
194,SNR_-5db,N,New_N_195.wav,0.0017056000651791692
195,SNR_-5db,N,New_N_196.wav,0.002437800052575767
196,SNR_-5db,N,New_N_197.wav,0.0023289999226108193
197,SNR_-5db,N,New_N_198.wav,0.0018035999964922667
198,SNR_-5db,N,New_N_199.wav,0.0016234000213444233
199,SNR_-5db,N,New_N_200.wav,0.0015545999631285667
200,SNR_-5db,AS,New_AS_001.wav,0.0016052999999374151
201,SNR_-5db,AS,New_AS_002.wav,0.0015527999494224787
