clase,archivo,ruta,duracion_s,error_vs_N,error_vs_AS,error_vs_MR,error_vs_MS,error_vs_MVP,afinidad_N,afinidad_AS,afinidad_MR,afinidad_MS,afinidad_MVP
N,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_001.wav,2.104625,0.08725345765471468,0.10280542364176734,0.10013903591429138,0.11216750270510677,0.09659306216546544,0.22063543812786085,0.19482388766348605,0.19902433667960792,0.18076527704887568,0.20475106048016953
N,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_002.wav,2.1195,0.08539257024471801,0.0939564199723251,0.09499897830971238,0.10421100390837679,0.09452701987662768,0.21507326316106526,0.20083183802500953,0.19916377265933857,0.1850139559243426,0.19991717023024405
N,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_003.wav,2.116625,0.08877254015947617,0.10105862924259308,0.0961315844555949,0.11008577139745217,0.09817545634591124,0.2164507428899169,0.19618817856858156,0.2040756282112797,0.18251952546211206,0.20076592486810974
N,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_004.wav,2.087,0.09236364646926763,0.10051007610478419,0.09681414780225699,0.10655826731942593,0.09976104620541068,0.21109870962892843,0.1977798226515202,0.2037149741978259,0.18843796892863685,0.19896852459308875
N,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_005.wav,2.120375,0.09333322121579792,0.11032177137556907,0.101948623880912,0.11375369207766901,0.11502091801754266,0.22240415134671632,0.1941416072465346,0.20759166621410496,0.18888388504794817,0.18697869014469587
N,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_006.wav,2.090625,0.09267387396442502,0.103625363563827,0.10438016992006886,0.1180439977107888,0.10266841629560755,0.21900124169358776,0.20063061536261345,0.19942276768729728,0.17877292224053887,0.2021724530159627
N,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_007.wav,2.101875,0.09353377459171149,0.10275269255573906,0.10237227091766118,0.1110271984146623,0.10015517636923733,0.21374610273121739,0.19854931967450634,0.1991544997612405,0.18583171093447926,0.20271836689855655
N,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_008.wav,2.10925,0.09258659539100425,0.10364403934134203,0.10106489714290494,0.11195540641008536,0.10323360795052162,0.21623627706906456,0.1979297428342495,0.20205607767833508,0.18519719883294264,0.1985807035854082
N,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_009.wav,2.1005,0.0891335659353083,0.09698648563302206,0.09682153950332041,0.10927134789372121,0.09468053079633502,0.21334433693047458,0.20035366063894522,0.20061821563700064,0.18159977188921286,0.2040840149043668
N,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_010.wav,2.093,0.10092683885751219,0.11743079559860051,0.10297487721653278,0.11619052514010887,0.11945831951526209,0.2170455487365284,0.19019989148822433,0.21351838185705319,0.1920964795097808,0.18713969840841324
