metodo_init,clase,capa,rango,entrada,W,H,error_relativo,ortogonalidad_media,segundos
nndsvdar,N,1,9,126x42612,126x9,9x42612,0.05818510323955418,0.7311871836417421,3.3347710000816733
nndsvdar,N,2,8,9x42612,9x8,8x42612,0.15088404811680856,0.4113566281245581,1.5686188000254333
nndsvdar,N,3,7,8x42612,8x7,7x42612,0.26490697835622695,0.2847670148801375,1.4793724999763072
nndsvdar,AS,1,9,126x49184,126x9,9x49184,0.13275729973221065,0.34932684416861015,3.6947796000167727
nndsvdar,AS,2,8,9x49184,9x8,8x49184,0.1750520038082701,0.22628643171484938,1.922909100074321
nndsvdar,AS,3,7,8x49184,8x7,7x49184,0.2540856282246237,0.17623892184475687,1.7471767000388354
nndsvdar,MR,1,9,126x39856,126x9,9x39856,0.1205066498340864,0.35045325543916195,3.049337600125
nndsvdar,MR,2,8,9x39856,9x8,8x39856,0.185144605151329,0.215024239532755,1.4571532998234034
nndsvdar,MR,3,7,8x39856,8x7,7x39856,0.23043980915127368,0.15167372396379084,1.3738482999615371
nndsvdar,MS,1,9,126x42188,126x9,9x42188,0.07969430479126363,0.5498865048781488,3.5992260999046266
nndsvdar,MS,2,8,9x42188,9x8,8x42188,0.16198741229010472,0.3105793215583361,1.568332599941641
nndsvdar,MS,3,7,8x42188,8x7,7x42188,0.23262809014518526,0.22624899435552817,1.440209399908781
nndsvdar,MVP,1,9,126x39220,126x9,9x39220,0.11044949770231403,0.4595649574564158,3.053134100046009
nndsvdar,MVP,2,8,9x39220,9x8,8x39220,0.16786782107075307,0.28232615423443896,1.4664420001208782
nndsvdar,MVP,3,7,8x39220,8x7,7x39220,0.24598473272485247,0.20014686370027665,1.3235742000397295
