metodo_init,clase,capa,rango,entrada,W,H,error_relativo,ortogonalidad_media,segundos
nndsvda,N,1,9,126x42612,126x9,9x42612,0.042861079605086186,0.7194554596249882,3.34847109997645
nndsvda,N,2,8,9x42612,9x8,8x42612,0.156394364780535,0.3873154565866526,1.639518199954182
nndsvda,N,3,7,8x42612,8x7,7x42612,0.24075106926118353,0.2525726725513314,1.4355276999995112
nndsvda,AS,1,9,126x49184,126x9,9x49184,0.12768966300849244,0.34646237996275325,3.717346200020984
nndsvda,AS,2,8,9x49184,9x8,8x49184,0.18563596377415723,0.2108168150827948,1.9525244999676943
nndsvda,AS,3,7,8x49184,8x7,7x49184,0.24250909416178876,0.16382317589123124,1.7038736001122743
nndsvda,MR,1,9,126x39856,126x9,9x39856,0.1187537941817153,0.3513923331173958,3.1440509997773916
nndsvda,MR,2,8,9x39856,9x8,8x39856,0.20058938565103318,0.2134613802028664,1.5035503001417965
nndsvda,MR,3,7,8x39856,8x7,7x39856,0.23165968106970364,0.1502405806322088,1.4312740000896156
nndsvda,MS,1,9,126x42188,126x9,9x42188,0.0725445919532618,0.534213001229834,3.8051128999795765
nndsvda,MS,2,8,9x42188,9x8,8x42188,0.13234722959193532,0.2903161137992721,1.6631910998839885
nndsvda,MS,3,7,8x42188,8x7,7x42188,0.2375174699365645,0.20551735710623154,1.454486500006169
nndsvda,MVP,1,9,126x39220,126x9,9x39220,0.10588006084256944,0.49529710231320245,3.426986200036481
nndsvda,MVP,2,8,9x39220,9x8,8x39220,0.12342911195304461,0.2682866242657002,1.664191200165078
nndsvda,MVP,3,7,8x39220,8x7,7x39220,0.2361797420898912,0.189085661039686,1.4847062998451293
