clase,archivo,ruta,duracion_s,error_vs_N,error_vs_AS,error_vs_MR,error_vs_MS,error_vs_MVP,afinidad_N,afinidad_AS,afinidad_MR,afinidad_MS,afinidad_MVP
N,New_N_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_001.wav,2.104625,0.07054993615008649,0.11389816517388461,0.09653685324291857,0.09539450034632536,0.08444655578983384,0.2361954276165184,0.16697994464923574,0.19185966795630593,0.193621075874388,0.21134388390355197
N,New_N_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_002.wav,2.1195,0.06790294732370275,0.1080749829375009,0.09339011119808673,0.09139463893566367,0.08067079309729656,0.23406777464462633,0.16973432555137594,0.19089306414259208,0.1939648924160524,0.21133994324535335
N,New_N_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_003.wav,2.116625,0.06775953751518933,0.11236745667390893,0.09236575538562125,0.09556081941551765,0.07848402891538814,0.23587406187693027,0.16508073763230058,0.19372667686431952,0.1888376726738466,0.216480850952603
N,New_N_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_004.wav,2.087,0.07108228605390239,0.11162176619006695,0.09346195928739554,0.09504838927215861,0.08145513207421665,0.23228835037743992,0.16794955196521866,0.19421039925171718,0.19176116467788482,0.21379053372773946
N,New_N_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_005.wav,2.120375,0.07563745744526294,0.12054600834941019,0.10097827449917389,0.09474605196730612,0.08413960856819433,0.23217072911335246,0.1620985680796882,0.18956774725631428,0.19925875295138853,0.21690420259925644
N,New_N_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_006.wav,2.090625,0.07623672305450474,0.11953977670673543,0.10116282266383347,0.10032136574120222,0.08518094963195816,0.23352910020485612,0.16515464316406275,0.1913105260303022,0.19260270694098164,0.21740302365979725
N,New_N_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_007.wav,2.101875,0.07603207740507831,0.11727780562826459,0.09862556909881066,0.0983770600336023,0.08468071330219366,0.23131811613312878,0.16630576693271099,0.19306867521094082,0.19345289153733367,0.2158545501858857
N,New_N_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_008.wav,2.10925,0.07672239572542816,0.11767379129151627,0.09702399380673571,0.09749260366761534,0.08276575143965412,0.22880960145017853,0.16489007808594228,0.1945088062444917,0.19378098140341868,0.21801053281596877
N,New_N_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_009.wav,2.1005,0.07074452327446265,0.1100657664580784,0.09542253318153163,0.09413131706894722,0.07982298990116589,0.23200469051548112,0.16938727201869158,0.19043930025201694,0.19241668192121153,0.21575205529259894
N,New_N_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\N_New_3주기\New_N_010.wav,2.093,0.07589525941539993,0.12235657570113413,0.1033848744561168,0.1000415095962596,0.08498581180899244,0.2354962592151292,0.16239059258340335,0.1890058767643983,0.1941294156131524,0.2189778558239168
