clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,sbv_media_base,1.5553982837065472,0.0488743804703444,1.6003408416151983,2.446143856418766,1.0978060194531225,0.3665010178630085,1.9352236975911472
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,sbv_media_base,1.6793553992470325,0.0407366117010089,1.4392078773637629,2.3685949815892497,0.9264874435403788,0.3824740241590894,2.092833527960654
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,sbv_media_base,1.785229116611546,0.0559664193792384,1.3381894556852598,2.209868230155604,1.185080689412923,0.3910312867863069,1.918917509935972
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,sbv_media_base,1.6570128727738047,0.0643778609588897,1.38801658741945,2.2953556222108165,1.0996965366834504,0.3174868351307851,2.047684812416512
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,sbv_media_base,1.6339882370167296,0.0540728416295023,1.234946781697471,2.410949160216409,1.1112077014198956,0.2885134812281875,2.0325561457714287
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,sbv_media_base,1.5804433479127682,0.048726293188151,1.349560948218692,2.393833111544392,1.0270454847342168,0.4206206137437605,2.007541046751395
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,sbv_media_base,1.724003808721004,0.0480595950456621,1.2743002272628572,2.298402343526973,1.0691508153620843,0.4112749931520806,1.986117618507428
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,sbv_media_base,1.6610142992449912,0.0404107312930485,1.353270981948398,2.592084111845225,1.0093596922677517,0.3854521591058407,1.8863528068517992
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,sbv_media_base,1.6599964338203792,0.0515553473352083,1.2334585431067746,2.269994845614581,1.056999794980776,0.421135698993451,2.1148603669779726
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,sbv_media_base,1.6741694997639005,0.0476956486194878,1.379940554008976,2.4077270922026885,1.0835368689938158,0.4059871270581188,2.0047649675432235
AS,New_AS_011.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_011.wav,sbv_media_base,1.761739948673794,0.0266967854101467,1.241146021020136,2.33339987835465,1.0264952806182164,0.4080809938773596,2.077675019469838
AS,New_AS_012.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_012.wav,sbv_media_base,1.5956858249236732,0.0411994375824454,1.415143833261037,2.474282657049723,1.0023781136959669,0.3497272044656465,1.9089880626988007
AS,New_AS_013.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_013.wav,sbv_media_base,1.7017874673588111,0.0512349664807971,1.2687751636159943,2.440650963602939,1.0219739811506523,0.3651054348088154,1.920661257952787
AS,New_AS_014.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_014.wav,sbv_media_base,1.797710504637228,0.0404410154345363,1.1753167555279698,2.447434665583565,1.016157670050741,0.3128139369652781,1.9108422110751415
AS,New_AS_015.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_015.wav,sbv_media_base,1.7523887482587863,0.0596062901007195,1.2953051486305578,2.1456148938854853,1.1496048790272628,0.3832069982913319,1.9586853430475413
AS,New_AS_016.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_016.wav,sbv_media_base,1.6477126303872272,0.0633984466848161,1.3648829342341018,2.454165895169336,1.0673376785018611,0.319433751225075,1.9785164077044837
AS,New_AS_017.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_017.wav,sbv_media_base,1.66190316273121,0.0270565004847632,1.2881442521133577,2.366775379164056,1.047708054529218,0.3371907104951179,2.1420756226221105
