clase,archivo,ruta,variante_deep_onmf,F_001,F_002,F_003,F_004,F_005,F_006,F_007,F_008,F_009,F_010,F_011,F_012,F_013,F_014,F_015,F_016,F_017,F_018,F_019,F_020,F_021,F_022,F_023,F_024,F_025,F_026,F_027,F_028
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,resumen_h_media_std_q90_max,0.9574958637791294,0.08351413903752862,0.9509987649646964,0.8180272404782433,0.8977120364142475,0.38660649108260053,1.2277452900882098,1.5921571482939127,0.32923680231524916,1.6590956332500115,1.3615855727909998,1.64509187646018,1.0065329650295227,1.9268571513099277,1.8566565792511898,0.07208066411723917,1.7358190418757597,1.7936456480372678,1.5784659222575443,0.718548015245034,2.2576469763110363,3.301777463948521,1.5330426835565165,3.6427191193653647,2.934638606526486,3.730622342839895,2.8049306179878895,3.7458410196356797
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,resumen_h_media_std_q90_max,0.9937686223011634,0.08534861929880168,0.9075131937519423,0.8050885878298615,0.8473626755554204,0.3643020561357905,1.2573380620631764,1.6282779737517554,0.3197016969285288,1.5904028409173494,1.374910549076723,1.5485181060177289,0.9724602668174718,1.9701371881776013,1.9494117695143576,0.07956933399836373,1.7839750618276027,1.802782570403209,1.6777759431828199,0.49110689431732646,2.3322420649062416,3.4489084387783873,1.473580264634927,3.3001099430207876,3.028665960617714,3.2901964052097656,2.68230516892393,3.7780535309126435
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,resumen_h_media_std_q90_max,1.0026793551371649,0.07215618607054274,0.8792471661786113,0.7861865390317216,0.9298754905968311,0.36994857473182047,1.216477501710529,1.6818773164041576,0.283637792181433,1.5566789633385665,1.3511027681834833,1.7176987484274655,0.9196731360449781,1.9238840705353613,1.9804387746734622,0.07283831673185069,1.747296812010137,1.6969490462385204,1.6347017948171134,0.7095499703194642,2.2252509709730623,3.4698529997579572,1.4754943107445682,3.49835407296647,2.9579126980186814,3.5299179113871952,2.57693331277526,3.7501108894669875
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,resumen_h_media_std_q90_max,0.9933880635328601,0.08588604051728674,0.8781565330270189,0.8012475844511969,0.8980098536863903,0.3484102323824316,1.2451185890750756,1.6437479437339115,0.33101113958093814,1.5576097804065403,1.3520457173167086,1.659535481156938,0.8781782410017502,1.9529583855710921,1.999621148862267,0.07142647376637408,1.6832837962137053,1.7303601227614753,1.7252111379970123,0.6157301643494871,2.298908042209999,3.3206423088649673,1.6469888188039197,3.627969393637318,2.8614198315975834,3.568369941405267,2.502891918485877,3.7549369178788474
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,resumen_h_media_std_q90_max,0.9528450587778683,0.08791895620619274,0.8455718682838393,0.8206589841381356,0.8890115688349661,0.33108501572529264,1.2588473072594868,1.6010308410949374,0.3698741948009176,1.4961828531102241,1.360084462926805,1.6294607629710094,0.8787809567811327,1.9493157971627497,1.7760561880007033,0.06547984963611389,1.5825753084823184,1.7382025503057925,1.6698255747658068,0.5751283388645583,2.283473824573887,3.2586937105809373,1.8144734487401641,3.504146119741014,2.8251473357514505,3.6039309693634722,2.536814613870116,3.631270733862481
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,resumen_h_media_std_q90_max,0.9607772735974801,0.06717281400353907,0.874750614928391,0.7944477431700508,0.9043796976295647,0.38468858637153414,1.236004643085413,1.5970289265367967,0.29981658620335294,1.5791130923039545,1.3519618273914347,1.647723480645869,0.9525140911625674,1.9402263300912308,1.9894989182783271,0.06995297132553821,1.61456352390125,1.708859555792593,1.6757629829292982,0.7483702217142658,2.306435982453527,3.278306078128843,1.622763267938994,3.461254703712226,2.753747137717859,3.4928369053855133,2.530591815377428,3.801706290036397
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,resumen_h_media_std_q90_max,0.9885076989926062,0.07251786355539766,0.8760991740179036,0.7962543372319484,0.9008968521352729,0.36844248883662367,1.2252608633025008,1.6404740562637465,0.3117364647211867,1.603635606023163,1.348916849795334,1.6748509765899666,0.9435354152816562,1.9387914406491142,1.9306819427306088,0.06043738213752089,1.7146926848994701,1.7165665008994442,1.647051041915647,0.7124019478019578,2.2363018871860176,3.3766667782105277,1.6043521257311755,3.6510469638775964,2.8790213381060217,3.677194821717114,2.662978790304418,3.8341888881852713
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,resumen_h_media_std_q90_max,0.9867890814803032,0.07738822106386525,0.8871370981895292,0.8284572638485506,0.8798082001410656,0.3812442596090005,1.2384499535132067,1.6196229004492524,0.31632338709838376,1.5623722081638074,1.3785089996352575,1.6223335877106175,0.9585189086736299,1.9210056920607057,1.9119228701687654,0.0781202311947162,1.6530501156250805,1.8394500560661573,1.5765778022174644,0.7949549301133875,2.36944120387144,3.345763751037058,1.6447528412430326,3.516131595307462,2.7747280818387012,3.3643889766144945,2.6440483781975845,3.729198391229873
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,resumen_h_media_std_q90_max,0.9675415448402301,0.07736480802445582,0.8533652884415394,0.8017659834460197,0.8726705566179414,0.3820350822632644,1.275204872650982,1.609319783265061,0.3263820573176262,1.5599253490902154,1.3683753042800828,1.6094708764129058,1.007098490392105,1.9792572647579951,1.9524666261451076,0.07589695692390125,1.5663007197374101,1.778279878510683,1.6110266130695245,0.6631751028976787,2.465899360620663,3.3071510353236904,1.8459648031225235,3.429712513831423,2.869973860675786,3.3556192751173226,2.8247289416656374,3.786392208675939
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,resumen_h_media_std_q90_max,0.996110633997012,0.07691179790877807,0.8829399573378348,0.8127740005213657,0.8922064610141116,0.38570985705241145,1.2336095230854949,1.6643620631322458,0.34328557454087777,1.53527576283887,1.36864466166248,1.641728296596537,1.0094485848000414,1.91325655543283,1.9681363211155192,0.06383007999516331,1.7644174236866474,1.7493469758006492,1.729402010731706,0.6424617698739801,2.304761764300184,3.4623876020671505,1.8021581290955777,3.456323475612828,3.043821472252722,3.7024303647789374,2.830413583197566,3.583465971695522
