distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,KNN,STFT,0.982,0.0076157731058639,0.9549999999999998,0.0190394327646598,0.98875,0.0047598581911649,0.9557240612329724,0.0189425563584214,0.971875,0.0118996454779123
No aplica,KNN,MFCC,0.99,0.0031622776601684,0.975,0.0079056941504209,0.99375,0.0019764235376051,0.9761790864961596,0.0068635889374374,0.984375,0.004941058844013
No aplica,KNN,MelSpectrogram,0.9828,0.0070142711667001,0.957,0.0175356779167502,0.98925,0.0043839194791875,0.958110957943749,0.0169905106681633,0.973125,0.0109597986979688
No aplica,KNN,LogMelSpectrogram,0.9872,0.0030331501776206,0.968,0.0075828754440514,0.992,0.0018957188610128,0.9701708385682746,0.0072927387657216,0.98,0.0047392971525322
9-8-7,KNN,DeepONMF_W,0.8208,0.0113666177907062,0.552,0.0284165444767656,0.8879999999999999,0.0071041361191914,0.5723008392011482,0.0322257658533425,0.72,0.0177603402979785
15-10-5,KNN,DeepONMF_W,0.92,0.0,0.8,0.0,0.95,0.0,0.7,0.0,0.875,0.0
10-6-4,KNN,DeepONMF_W,0.92,0.0,0.8,0.0,0.95,0.0,0.7,0.0,0.875,0.0
8-5-3,KNN,DeepONMF_W,0.92,0.0,0.8,0.0,0.95,0.0,0.7,0.0,0.875,0.0
9-8-7,KNN,DeepONMF_H3,0.8996000000000001,0.0130690474021636,0.749,0.032672618505409,0.93725,0.0081681546263522,0.79429243858022,0.0270719786205746,0.843125,0.0204203865658806
15-10-5,KNN,DeepONMF_H3,0.88,0.0565685424949237,0.7,0.1414213562373095,0.925,0.0353553390593273,0.6499999999999999,0.0707106781186547,0.8125,0.0883883476483184
10-6-4,KNN,DeepONMF_H3,0.92,0.1131370849898475,0.8,0.282842712474619,0.95,0.0707106781186547,0.7,0.4242640687119284,0.875,0.1767766952966369
8-5-3,KNN,DeepONMF_H3,0.92,0.0,0.8,0.0,0.95,0.0,0.7,0.0,0.875,0.0
