distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,SVM,STFT,0.9884,0.0076681158050723,0.971,0.0191702895126808,0.99275,0.0047925723781702,0.9718738658438036,0.0186867988160518,0.981875,0.0119814309454254
No aplica,SVM,MFCC,0.996,0.0024494897427832,0.99,0.0061237243569578,0.9975,0.0015309310892394,0.9903764603707884,0.0057992145834369,0.99375,0.0038273277230987
No aplica,SVM,MelSpectrogram,0.9892,0.0057619441163552,0.973,0.014404860290888,0.99325,0.003601215072722,0.9738206826873872,0.0144562340005813,0.983125,0.0090030376818049
No aplica,SVM,LogMelSpectrogram,0.99,0.0028284271247462,0.975,0.0070710678118655,0.99375,0.0017677669529663,0.9754662641594608,0.0069633493233487,0.984375,0.0044194173824159
9-8-7,SVM,DeepONMF_W,0.882,0.0108627804912002,0.705,0.0271569512280005,0.92625,0.0067892378070001,0.7086501547289049,0.0318913727803672,0.815625,0.0169730945175002
15-10-5,SVM,DeepONMF_W,0.92,0.0,0.8,0.0,0.95,0.0,0.7,0.0,0.875,0.0
10-6-4,SVM,DeepONMF_W,0.92,0.0,0.8,0.0,0.95,0.0,0.7,0.0,0.875,0.0
8-5-3,SVM,DeepONMF_W,0.92,0.0,0.8,0.0,0.95,0.0,0.7,0.0,0.875,0.0
9-8-7,SVM,DeepONMF_H3,0.954,0.0098994949366117,0.885,0.0247487373415291,0.97125,0.0061871843353822,0.8892995236970721,0.0240309622606102,0.928125,0.0154679608384557
15-10-5,SVM,DeepONMF_H3,0.88,0.0565685424949237,0.7,0.1414213562373095,0.925,0.0353553390593273,0.6499999999999999,0.0707106781186547,0.8125,0.0883883476483184
10-6-4,SVM,DeepONMF_H3,0.92,0.1131370849898475,0.8,0.282842712474619,0.95,0.0707106781186547,0.7,0.4242640687119284,0.875,0.1767766952966369
8-5-3,SVM,DeepONMF_H3,0.92,0.0,0.8,0.0,0.95,0.0,0.7,0.0,0.875,0.0
