distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
No aplica,KNN,STFT,0.991,0.0065192024052026,0.995,0.0052291251658379,0.975,0.025,0.9937888198757764,0.0062111801242236,0.985,0.012770510463564
No aplica,KNN,MFCC,0.998,0.0027386127875258,0.9975,0.0034232659844073,1.0,0.0,1.0,0.0,0.99875,0.0017116329922036
No aplica,KNN,MelSpectrogram,0.991,0.0065192024052026,0.995,0.0052291251658379,0.975,0.025,0.9937888198757764,0.0062111801242236,0.985,0.012770510463564
No aplica,KNN,LogMelSpectrogram,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9-8-7,KNN,DeepONMF_W,0.8800000000000001,0.0209165006633518,0.8825,0.0194655143779967,0.8699999999999999,0.0370809924354783,0.964450474509183,0.0102338779686121,0.8762500000000001,0.0256364303774921
15-10-5,KNN,DeepONMF_W,0.9,0.1414213562373094,1.0,0.0,0.5,0.7071067811865476,0.9,0.1414213562373094,0.75,0.3535533905932738
10-6-4,KNN,DeepONMF_W,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
8-5-3,KNN,DeepONMF_W,0.9,0.1414213562373094,1.0,0.0,0.5,0.7071067811865476,0.9,0.1414213562373094,0.75,0.3535533905932738
9-8-7,KNN,DeepONMF_H3,0.937,0.0251495526799185,0.97625,0.0102697979532218,0.78,0.1164581469885211,0.9472595566655692,0.0270438599152269,0.878125,0.0587549864905099
15-10-5,KNN,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
10-6-4,KNN,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
8-5-3,KNN,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
