distribucion,clasificador,representacion,Accuracy_mean,Accuracy_std,Sensitivity_mean,Sensitivity_std,Specificity_mean,Specificity_std,Precision_mean,Precision_std,Score_mean,Score_std
9-8-7,SVM,DeepONMF_W,0.925,0.0149999999999999,0.92375,0.0120221150385446,0.93,0.0325960120260132,0.9814028023077828,0.008681947668038,0.926875,0.0210328983380797
15-10-5,SVM,DeepONMF_W,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
10-6-4,SVM,DeepONMF_W,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
8-5-3,SVM,DeepONMF_W,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0,1.0,0.0
9-8-7,SVM,DeepONMF_H3,0.969,0.0138744369255116,0.97625,0.0120221150385445,0.94,0.0285043856274784,0.9848649570040444,0.0071984121278875,0.958125,0.0185668134718911
15-10-5,SVM,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
10-6-4,SVM,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
8-5-3,SVM,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
9-8-7,KNN,DeepONMF_W,0.8800000000000001,0.0209165006633518,0.8825,0.0194655143779967,0.8699999999999999,0.0370809924354783,0.964450474509183,0.0102338779686121,0.8762500000000001,0.0256364303774921
15-10-5,KNN,DeepONMF_W,0.9,0.1414213562373094,1.0,0.0,0.5,0.7071067811865476,0.9,0.1414213562373094,0.75,0.3535533905932738
10-6-4,KNN,DeepONMF_W,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
8-5-3,KNN,DeepONMF_W,0.9,0.1414213562373094,1.0,0.0,0.5,0.7071067811865476,0.9,0.1414213562373094,0.75,0.3535533905932738
9-8-7,KNN,DeepONMF_H3,0.937,0.0251495526799185,0.97625,0.0102697979532218,0.78,0.1164581469885211,0.9472595566655692,0.0270438599152269,0.878125,0.0587549864905099
15-10-5,KNN,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
10-6-4,KNN,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
8-5-3,KNN,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
9-8-7,UjaNet,DeepONMF_W,0.968,0.0075828754440515,0.97375,0.0167705098312484,0.945,0.0480884601541783,0.9863247080942016,0.0117825504563252,0.959375,0.0176776695296636
15-10-5,UjaNet,DeepONMF_W,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
10-6-4,UjaNet,DeepONMF_W,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
8-5-3,UjaNet,DeepONMF_W,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
9-8-7,UjaNet,DeepONMF_H3,0.992,0.0083666002653407,0.99375,0.0062499999999999,0.985,0.0223606797749979,0.99625,0.0055901699437494,0.989375,0.0131843894435805
15-10-5,UjaNet,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
10-6-4,UjaNet,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
8-5-3,UjaNet,DeepONMF_H3,0.8,0.0,1.0,0.0,0.0,0.0,0.8,0.0,0.5,0.0
