indice_interno,base,clase,archivo,segundos_extraccion_clasica
0,SNR_5db,N,New_N_001.wav,0.00253070006147027
1,SNR_5db,N,New_N_002.wav,0.0017648999346420169
2,SNR_5db,N,New_N_003.wav,0.0016525000100955367
3,SNR_5db,N,New_N_004.wav,0.0017074999632313848
4,SNR_5db,N,New_N_005.wav,0.0016967999981716275
5,SNR_5db,N,New_N_006.wav,0.0012372999917715788
6,SNR_5db,N,New_N_007.wav,0.0012253000168129802
7,SNR_5db,N,New_N_008.wav,0.001177300000563264
8,SNR_5db,N,New_N_009.wav,0.0011403999524191022
9,SNR_5db,N,New_N_010.wav,0.0011317000025883317
10,SNR_5db,N,New_N_011.wav,0.0011723999632522464
11,SNR_5db,N,New_N_012.wav,0.001188600086607039
12,SNR_5db,N,New_N_013.wav,0.0011062000412493944
13,SNR_5db,N,New_N_014.wav,0.0014785999665036798
14,SNR_5db,N,New_N_015.wav,0.0016154000768437982
15,SNR_5db,N,New_N_016.wav,0.0013257000828161836
16,SNR_5db,N,New_N_017.wav,0.0012256999034434557
17,SNR_5db,N,New_N_018.wav,0.001715900027193129
18,SNR_5db,N,New_N_019.wav,0.0011743999784812331
19,SNR_5db,N,New_N_020.wav,0.001421599998138845
20,SNR_5db,N,New_N_021.wav,0.0013895999873057008
21,SNR_5db,N,New_N_022.wav,0.0014551000203937292
22,SNR_5db,N,New_N_023.wav,0.0014303999487310648
23,SNR_5db,N,New_N_024.wav,0.0016790999798104167
24,SNR_5db,N,New_N_025.wav,0.0011714000720530748
25,SNR_5db,N,New_N_026.wav,0.001583100063726306
26,SNR_5db,N,New_N_027.wav,0.0013541999505832791
27,SNR_5db,N,New_N_028.wav,0.0011351000284776092
28,SNR_5db,N,New_N_029.wav,0.0011650000233203173
29,SNR_5db,N,New_N_030.wav,0.0013597001088783145
30,SNR_5db,N,New_N_031.wav,0.0013444999931380153
31,SNR_5db,N,New_N_032.wav,0.0016735000535845757
32,SNR_5db,N,New_N_033.wav,0.0014279999304562807
33,SNR_5db,N,New_N_034.wav,0.0013761000009253621
34,SNR_5db,N,New_N_035.wav,0.0011489000171422958
35,SNR_5db,N,New_N_036.wav,0.001457100035622716
36,SNR_5db,N,New_N_037.wav,0.0016877999296411872
37,SNR_5db,N,New_N_038.wav,0.0015798000385984778
38,SNR_5db,N,New_N_039.wav,0.0014760999474674463
39,SNR_5db,N,New_N_040.wav,0.0012731000315397978
40,SNR_5db,N,New_N_041.wav,0.0016759999562054873
41,SNR_5db,N,New_N_042.wav,0.00119420001283288
42,SNR_5db,N,New_N_043.wav,0.0011339000193402171
43,SNR_5db,N,New_N_044.wav,0.00117790000513196
44,SNR_5db,N,New_N_045.wav,0.0011918999953195453
45,SNR_5db,N,New_N_046.wav,0.0011632000096142292
46,SNR_5db,N,New_N_047.wav,0.0013235000660642982
47,SNR_5db,N,New_N_048.wav,0.0011895999778062105
48,SNR_5db,N,New_N_049.wav,0.001159299979917705
49,SNR_5db,N,New_N_050.wav,0.001196000026538968
50,SNR_5db,N,New_N_051.wav,0.0020525000290945172
51,SNR_5db,N,New_N_052.wav,0.001617399975657463
52,SNR_5db,N,New_N_053.wav,0.001297399983741343
53,SNR_5db,N,New_N_054.wav,0.0011877999641001225
54,SNR_5db,N,New_N_055.wav,0.0011989000486209989
55,SNR_5db,N,New_N_056.wav,0.0012018999550491571
56,SNR_5db,N,New_N_057.wav,0.0012408000184223056
57,SNR_5db,N,New_N_058.wav,0.0011635000118985772
58,SNR_5db,N,New_N_059.wav,0.0011715999571606517
59,SNR_5db,N,New_N_060.wav,0.0011369000421836972
60,SNR_5db,N,New_N_061.wav,0.001168699935078621
61,SNR_5db,N,New_N_062.wav,0.0011628000065684319
62,SNR_5db,N,New_N_063.wav,0.0013040000339969993
63,SNR_5db,N,New_N_064.wav,0.002027299953624606
64,SNR_5db,N,New_N_065.wav,0.0016740999417379498
65,SNR_5db,N,New_N_066.wav,0.001329899998381734
66,SNR_5db,N,New_N_067.wav,0.0012601000489667058
67,SNR_5db,N,New_N_068.wav,0.0014876999193802476
68,SNR_5db,N,New_N_069.wav,0.0014489999739453197
69,SNR_5db,N,New_N_070.wav,0.001666500000283122
70,SNR_5db,N,New_N_071.wav,0.0013898999895900488
71,SNR_5db,N,New_N_072.wav,0.0013630000175908208
72,SNR_5db,N,New_N_073.wav,0.0014415000332519412
73,SNR_5db,N,New_N_074.wav,0.0015537000726908445
