indice_interno,clase,archivo,distribucion,error_final,forma_w_final,forma_h3,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos,capa_3_rango,capa_3_error,capa_3_ortogonalidad_h,capa_3_segundos
0,N,New_N_001.wav,8-5-3,0.2169360733629954,126x3,3x212,8,0.068679541195323,0.3863470081962324,0.0096235999990312,5,0.2515061913885708,0.2925552193669666,0.0045931000022392,3,0.4375803131738843,0.2848994418251929,0.0038469999999506
1,N,New_N_002.wav,8-5-3,0.2247963035317921,126x3,3x212,8,0.074013851542217,0.4108736923352186,0.0108273000005283,5,0.285707292762577,0.2876077090485837,0.0057419000004301,3,0.4478889502730497,0.2295216632497045,0.0056913000007625
2,N,New_N_003.wav,8-5-3,0.3396880788289039,126x3,3x212,8,0.0750823835313165,0.3363582245614244,0.0131298000014794,5,0.2016833798035882,0.1930367723354925,0.0037621999981638,3,0.3842007093364603,0.2105028689485905,0.0046885000010661
3,N,New_N_004.wav,8-5-3,0.3344906001136477,126x3,3x212,8,0.0777783603773071,0.314151269102415,0.0094504999979108,5,0.1684640422119724,0.1774472025613895,0.0049972000015259,3,0.4406475049396129,0.1303005427784387,0.004051600000821
4,N,New_N_005.wav,8-5-3,0.3232824200505712,126x3,3x212,8,0.0735635796089188,0.315513658449778,0.0101273000000219,5,0.3243522348291665,0.1965403851358602,0.0037526000014622,3,0.4567106064417975,0.1370989248562079,0.0034240999993926
5,N,New_N_006.wav,8-5-3,0.3962784726549439,126x3,3x212,8,0.0723518022379295,0.344309505643451,0.010248099999444,5,0.3046420450214845,0.1066793129448039,0.0038813999999547,3,0.5580490314810421,0.102660446665259,0.0034190000005764
6,N,New_N_007.wav,8-5-3,0.2247444853927397,126x3,3x212,8,0.0720360274827515,0.3839277982351273,0.0110368000023299,5,0.2361501359124847,0.2318805925269735,0.0041890000029525,3,0.4534067841693375,0.2073620770248784,0.0055984999999054
7,N,New_N_008.wav,8-5-3,0.2728364058792877,126x3,3x212,8,0.0768990196623516,0.3783866118089685,0.0092598000010184,5,0.2781915937440247,0.2194995297249601,0.0057488000020384,3,0.3909546717778835,0.1632940432497003,0.0034903999985544
8,N,New_N_009.wav,8-5-3,0.3208355829270394,126x3,3x212,8,0.0585736861641305,0.3367368340151629,0.0099890999990748,5,0.2990714960732279,0.2063020437460576,0.0039045000012265,3,0.5116281828926744,0.2876046505632151,0.0034181000009994
9,N,New_N_010.wav,8-5-3,0.3039793846347777,126x3,3x212,8,0.066513340596091,0.365414107072143,0.0129884999987552,5,0.2708194271050712,0.2498665120161282,0.004332799999247,3,0.4527203340660035,0.2277217314297308,0.0034598000020196
10,N,New_N_011.wav,8-5-3,0.2739221249054452,126x3,3x212,8,0.0731431772733126,0.3940055177957838,0.0091528999982983,5,0.2282652766442567,0.2952601254851344,0.0040439000003971,3,0.4336436797536477,0.225867590654875,0.0046934999991208
11,N,New_N_012.wav,8-5-3,0.3183739134486928,126x3,3x212,8,0.0852472529578972,0.3072481637340776,0.0089814999992086,5,0.2731383159698492,0.1353161344999038,0.0057687999978952,3,0.3920295483317917,0.1358560233991964,0.0036151000022073
12,N,New_N_013.wav,8-5-3,0.29315214199531,126x3,3x212,8,0.0738575902900744,0.3522701628666524,0.010253600001306,5,0.2097776524816665,0.2465176472022008,0.004432399997313,3,0.4092940337867631,0.2306895802797949,0.0034709999999904
13,N,New_N_014.wav,8-5-3,0.2446709971011072,126x3,3x212,8,0.0693947492641676,0.4129031071186955,0.0102188999990175,5,0.1874760643536431,0.2846288258305432,0.004221500003041,3,0.4135439015671834,0.2868121425085515,0.003462100001343
14,N,New_N_015.wav,8-5-3,0.2920982341281203,126x3,3x212,8,0.0782311886240475,0.3745471692076339,0.0099137000033806,5,0.2218239894350668,0.202086223507858,0.0037814000024809,3,0.4386923869991427,0.2498344758391523,0.0039571000015712
15,N,New_N_016.wav,8-5-3,0.4188686773681727,126x3,3x212,8,0.0806893976340649,0.3019905300198632,0.0090718999999808,5,0.2521756292603534,0.1231899950144967,0.0038564999995287,3,0.4609783884149613,0.0841899735815404,0.0044306000017968
16,N,New_N_017.wav,8-5-3,0.2647313685073622,126x3,3x212,8,0.0643044709323003,0.3510989607228327,0.0095565000010537,5,0.2096213581291528,0.2626493397127637,0.0055705000013404,3,0.3194992400956338,0.2105304084406879,0.0035086999996565
17,N,New_N_018.wav,8-5-3,0.2703954419688249,126x3,3x212,8,0.0735585062149252,0.359103265072775,0.0104447000012442,5,0.2561060084247406,0.2834226097656113,0.0037608999991789,3,0.3214952476066764,0.3465873448094136,0.0034182999988843
18,N,New_N_019.wav,8-5-3,0.2997133611039359,126x3,3x212,8,0.07611953535718,0.3103269409324193,0.0100927999992563,5,0.2140853840254288,0.2031073307638974,0.004050499999721,3,0.3662227794180439,0.1343065810663609,0.0035047999990638
19,N,New_N_020.wav,8-5-3,0.2736838319665429,126x3,3x212,8,0.0937260142998132,0.3607961628278168,0.0108850999968126,5,0.1732864075241963,0.2605405979455388,0.0039042999997036,3,0.3430115531700091,0.1530411620272311,0.0047839999970165
20,N,New_N_021.wav,8-5-3,0.3014937134966987,126x3,3x212,8,0.0764127066321567,0.3445414883911729,0.0091867000010097,5,0.2098917892388354,0.202574895065351,0.0043912999972235,3,0.4564136023111581,0.1907269158466384,0.0037895999994361
21,N,New_N_022.wav,8-5-3,0.3459232424958436,126x3,3x212,8,0.0788887020154176,0.4008303328631301,0.0091743000011774,5,0.1540882544041402,0.1615501669576277,0.0044917000013811,3,0.3945807896216732,0.1412450012952074,0.0034670999993977
