distribucion,numero_capas,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
9-7-5-3,4,KNN,DeepONMF_H4,1,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
9-7-5-3,4,KNN,DeepONMF_H4,2,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
9-7-5-3,4,KNN,DeepONMF_H4,3,155,33,7,5,0.94,0.96875,0.825,0.9567901234567902,0.896875
9-7-5-3,4,KNN,DeepONMF_H4,4,157,36,4,3,0.965,0.98125,0.9,0.9751552795031055,0.940625
9-7-5-3,4,KNN,DeepONMF_H4,5,159,33,7,1,0.96,0.99375,0.825,0.9578313253012049,0.909375
9-7-5-3,4,KNN,DeepONMF_W,1,148,28,12,12,0.88,0.925,0.7,0.925,0.8125
9-7-5-3,4,KNN,DeepONMF_W,2,149,36,4,11,0.925,0.93125,0.9,0.9738562091503268,0.915625
9-7-5-3,4,KNN,DeepONMF_W,3,147,31,9,13,0.89,0.91875,0.775,0.9423076923076923,0.846875
9-7-5-3,4,KNN,DeepONMF_W,4,144,31,9,16,0.875,0.9,0.775,0.9411764705882353,0.8375
9-7-5-3,4,KNN,DeepONMF_W,5,151,34,6,9,0.925,0.94375,0.85,0.9617834394904459,0.896875
9-7-5-3,4,SVM,DeepONMF_H4,1,156,37,3,4,0.965,0.975,0.925,0.9811320754716981,0.95
9-7-5-3,4,SVM,DeepONMF_H4,2,158,40,0,2,0.99,0.9875,1.0,1.0,0.99375
9-7-5-3,4,SVM,DeepONMF_H4,3,155,36,4,5,0.955,0.96875,0.9,0.9748427672955975,0.934375
9-7-5-3,4,SVM,DeepONMF_H4,4,154,36,4,6,0.95,0.9625,0.9,0.9746835443037974,0.93125
9-7-5-3,4,SVM,DeepONMF_H4,5,159,38,2,1,0.985,0.99375,0.95,0.9875776397515528,0.971875
9-7-5-3,4,SVM,DeepONMF_W,1,146,39,1,14,0.925,0.9125,0.975,0.9931972789115646,0.94375
9-7-5-3,4,SVM,DeepONMF_W,2,142,39,1,18,0.905,0.8875,0.975,0.993006993006993,0.9312499999999999
9-7-5-3,4,SVM,DeepONMF_W,3,146,37,3,14,0.915,0.9125,0.925,0.9798657718120806,0.91875
9-7-5-3,4,SVM,DeepONMF_W,4,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
9-7-5-3,4,SVM,DeepONMF_W,5,147,37,3,13,0.92,0.91875,0.925,0.98,0.921875
9-7-5-3,4,UjaNet,DeepONMF_H4,1,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
9-7-5-3,4,UjaNet,DeepONMF_H4,2,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
9-7-5-3,4,UjaNet,DeepONMF_H4,3,157,37,3,3,0.97,0.98125,0.925,0.98125,0.953125
9-7-5-3,4,UjaNet,DeepONMF_H4,4,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
9-7-5-3,4,UjaNet,DeepONMF_H4,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
9-7-5-3,4,UjaNet,DeepONMF_W,1,156,39,1,4,0.975,0.975,0.975,0.9936305732484076,0.975
9-7-5-3,4,UjaNet,DeepONMF_W,2,159,36,4,1,0.975,0.99375,0.9,0.9754601226993865,0.946875
9-7-5-3,4,UjaNet,DeepONMF_W,3,153,36,4,7,0.945,0.95625,0.9,0.9745222929936306,0.9281250000000001
9-7-5-3,4,UjaNet,DeepONMF_W,4,155,39,1,5,0.97,0.96875,0.975,0.9935897435897436,0.971875
9-7-5-3,4,UjaNet,DeepONMF_W,5,158,34,6,2,0.96,0.9875,0.85,0.9634146341463414,0.91875
