indice_interno,base,clase,archivo,distribucion,representacion,numero_capas,inicializacion_onmf,error_final,forma_h_final,segundos_extraccion_deep,capa_1_rango,capa_1_error,capa_1_ortogonalidad_h,capa_1_segundos,capa_2_rango,capa_2_error,capa_2_ortogonalidad_h,capa_2_segundos
0,SNR_5db,N,New_N_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.2804061369518237,2x212,0.014465800020843744,32,0.19990874255503321,0.2642835899661749,0.012385800015181303,2,0.1448847827886708,0.12941883092779238,0.000968499924056232
1,SNR_5db,N,New_N_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.281599631222732,2x212,0.014043700066395104,32,0.2001995499104431,0.2636652130118629,0.012001800001598895,2,0.14648712029815955,0.1306098865246778,0.0011645000195130706
2,SNR_5db,AS,New_AS_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.4246692389798903,2x212,0.013810600037686527,32,0.2464747764748178,0.26107295960360255,0.012134000076912344,2,0.3133175712759634,0.3623101767493332,0.0009498000144958496
3,SNR_5db,AS,New_AS_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.4018021514156619,2x212,0.013285200111567974,32,0.2371553959173498,0.2589870473158186,0.011511299991980195,2,0.2895848249531476,0.33040420533041226,0.001061399932950735
4,SNR_5db,MR,New_MR_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.3559772352477823,2x212,0.01380099996458739,32,0.2336711637436058,0.2663150593921327,0.011575000011362135,2,0.2346241783855427,0.23212835044006958,0.0014010999584570527
5,SNR_5db,MR,New_MR_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.3807788635526174,2x212,0.01195499999448657,32,0.2507883752531947,0.26144537082720354,0.01005249994341284,2,0.25305019489959557,0.2242968078326633,0.000797600019723177
6,SNR_5db,MS,New_MS_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.31955252530329864,2x212,0.012259299983270466,32,0.21647872391168452,0.26362039543297094,0.010648700059391558,2,0.19085728767077617,0.17141912715988822,0.0008767000399529934
7,SNR_5db,MS,New_MS_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.3160558170476173,2x212,0.011934699956327677,32,0.21463205523555198,0.26181207074148144,0.010462500038556755,2,0.18940567580561854,0.17694307401351314,0.000826000003144145
8,SNR_5db,MVP,New_MVP_001.wav,32-2,DeepONMF_H2,2,nndsvd,0.45818157273815446,2x212,0.01243949995841831,32,0.21917423438696637,0.2347519822991788,0.010661699925549328,2,0.3745741511784549,0.08829672774134123,0.0009882999584078789
9,SNR_5db,MVP,New_MVP_002.wav,32-2,DeepONMF_H2,2,nndsvd,0.4692348251005752,2x212,0.012232099892571568,32,0.19870006327627762,0.23958622468989835,0.01040969998575747,2,0.3797537287206662,0.053875435209616816,0.0010827999794855714
