clase,archivo,ruta,duracion_s,variante_deep_onmf,error_vs_N,error_vs_AS,error_vs_MR,error_vs_MS,error_vs_MVP,F_001,F_002,F_003,F_004,F_005
AS,New_AS_001.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_001.wav,2.606125,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDar,0.32592895362546165,0.1288439361096525,0.13283990788846986,0.13424777269683738,0.1377130327302827,1.5779375340602896e-06,0.3255429737182526,0.2540121517882517,0.23275046345773384,0.18769283309822798
AS,New_AS_002.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_002.wav,2.60675,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDar,0.2923020743693895,0.1250882015552206,0.122594849121388,0.11933385441702131,0.12719699765542303,2.9951383808682115e-06,0.22119723619469667,0.26144035343615807,0.3253232746154669,0.19203614061529747
AS,New_AS_003.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_003.wav,2.610375,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDar,0.33548129531218307,0.1289774128637777,0.12784596099562295,0.12815664499775356,0.13358333837690237,6.304940845716421e-07,0.25801988082678234,0.27695016635393305,0.2716179379450691,0.19341138438013103
AS,New_AS_004.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_004.wav,2.608875,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDar,0.3169756632262995,0.1264027543602468,0.12550163416231935,0.1250316424030708,0.12791313279527827,1.247337394393755e-06,0.24637023138091568,0.26099271826204046,0.2689604567263576,0.22367534629329186
AS,New_AS_005.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_005.wav,2.62375,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDar,0.3101800151675145,0.13420682285372068,0.13068323748685504,0.12602637022882596,0.13326790075086317,2.8205372086011852e-06,0.20028379325153026,0.2504873000682987,0.3366421391738109,0.21258394696915145
AS,New_AS_006.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_006.wav,2.60175,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDar,0.3369110479279215,0.11981073370344163,0.12494410036032996,0.12111702020727279,0.12671480105532687,1.5544038911812878e-07,0.30703745534174015,0.21793670685622687,0.28139135062761905,0.19363433173402486
AS,New_AS_007.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_007.wav,2.608625,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDar,0.33855723128102333,0.12888043712994962,0.13165205326366028,0.1316093700205453,0.13678190839483775,6.748796385520025e-07,0.30317159739056015,0.2552532897931816,0.2559304745890697,0.18564396334754993
AS,New_AS_008.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_008.wav,2.600125,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDar,0.30708799964866446,0.12274470400510229,0.12015840908335002,0.11629841474906924,0.1257663754863136,6.81379606558477e-07,0.21905396365120083,0.26170701156075576,0.3412956250835767,0.17794271832486014
AS,New_AS_009.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_009.wav,2.61225,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDar,0.3182344568991724,0.12744610678821378,0.1255026864696187,0.12254205429669766,0.13355142199412237,9.313660407090316e-07,0.23901187379971117,0.27134387322180853,0.329200825083762,0.16044249652867762
AS,New_AS_010.wav,C:\Users\armga\OneDrive\Escritorio\TFG\Programacion objetivo\Bases de Datos\AS_New_3주기\New_AS_010.wav,2.612375,resultado8_deep_onmf_sin_descartar_menores_2s__perfil_softmin_errores_f8 + NNDSVDar,0.316790118885742,0.12772633130576416,0.12608089048614324,0.12442236922108671,0.12842662405941277,1.2209734165092444e-06,0.2323280019890244,0.25825495138160126,0.28731679472612365,0.22209903092983407
