metodo_init,clase,capa,rango,entrada,W,H,error_relativo,ortogonalidad_media,segundos
nndsvda,N,1,9,126x42612,126x9,9x42612,0.042861079605086186,0.7194554596249882,3.148066199850291
nndsvda,N,2,8,9x42612,9x8,8x42612,0.156394364780535,0.3873154565866526,1.7000230001285672
nndsvda,N,3,7,8x42612,8x7,7x42612,0.24075106926118353,0.2525726725513314,1.5501975999213755
nndsvda,AS,1,9,126x49184,126x9,9x49184,0.12768966300849244,0.34646237996275325,3.560265799984336
nndsvda,AS,2,8,9x49184,9x8,8x49184,0.18563596377415723,0.2108168150827948,1.9163516000844538
nndsvda,AS,3,7,8x49184,8x7,7x49184,0.24250909416178876,0.16382317589123124,1.9451315000187606
nndsvda,MR,1,9,126x43248,126x9,9x43248,0.11850584583544284,0.35181557450302786,3.2164501000661403
nndsvda,MR,2,8,9x43248,9x8,8x43248,0.20273794612499438,0.21475004436752965,1.7336429001297802
nndsvda,MR,3,7,8x43248,8x7,7x43248,0.23176257385283863,0.14908059382971534,1.5711302999407053
nndsvda,MS,1,9,126x45156,126x9,9x45156,0.07449751320590305,0.5387300573514935,3.311200500000268
nndsvda,MS,2,8,9x45156,9x8,8x45156,0.13404413273609625,0.29113806830076416,1.8082926000934094
nndsvda,MS,3,7,8x45156,8x7,7x45156,0.2393112680099648,0.2043717648898913,1.6361234998330474
nndsvda,MVP,1,9,126x43248,126x9,9x43248,0.10020157137269335,0.4773364439520247,3.151015599956736
nndsvda,MVP,2,8,9x43248,9x8,8x43248,0.1509880877621433,0.27269941060372577,1.646970600122586
nndsvda,MVP,3,7,8x43248,8x7,7x43248,0.2401688866696613,0.19672695460733763,1.5676919999532402
