distribucion,clasificador,representacion,fold,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score
8-5-3,KNN,DeepONMF_H3,1,158,33,7,2,0.955,0.9875,0.825,0.9575757575757575,0.90625
8-5-3,KNN,DeepONMF_H3,2,160,36,4,0,0.98,1.0,0.9,0.975609756097561,0.95
8-5-3,KNN,DeepONMF_H3,3,157,33,7,3,0.95,0.98125,0.825,0.9573170731707317,0.903125
8-5-3,KNN,DeepONMF_H3,4,156,35,5,4,0.955,0.975,0.875,0.968944099378882,0.925
8-5-3,KNN,DeepONMF_H3,5,159,35,5,1,0.97,0.99375,0.875,0.9695121951219512,0.934375
8-5-3,KNN,DeepONMF_W,1,148,33,7,12,0.905,0.925,0.825,0.9548387096774194,0.875
8-5-3,KNN,DeepONMF_W,2,142,35,5,18,0.885,0.8875,0.875,0.9659863945578231,0.88125
8-5-3,KNN,DeepONMF_W,3,147,32,8,13,0.895,0.91875,0.8,0.9483870967741935,0.859375
8-5-3,KNN,DeepONMF_W,4,143,33,7,17,0.88,0.89375,0.825,0.9533333333333334,0.859375
8-5-3,KNN,DeepONMF_W,5,151,33,7,9,0.92,0.94375,0.825,0.9556962025316456,0.8843749999999999
8-5-3,SVM,DeepONMF_H3,1,156,36,4,4,0.96,0.975,0.9,0.975,0.9375
8-5-3,SVM,DeepONMF_H3,2,158,38,2,2,0.98,0.9875,0.95,0.9875,0.96875
8-5-3,SVM,DeepONMF_H3,3,155,37,3,5,0.96,0.96875,0.925,0.9810126582278481,0.946875
8-5-3,SVM,DeepONMF_H3,4,153,36,4,7,0.945,0.95625,0.9,0.9745222929936306,0.9281250000000001
8-5-3,SVM,DeepONMF_H3,5,159,39,1,1,0.99,0.99375,0.975,0.99375,0.984375
8-5-3,SVM,DeepONMF_W,1,141,39,1,19,0.9,0.88125,0.975,0.9929577464788732,0.928125
8-5-3,SVM,DeepONMF_W,2,144,38,2,16,0.91,0.9,0.95,0.9863013698630136,0.925
8-5-3,SVM,DeepONMF_W,3,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
8-5-3,SVM,DeepONMF_W,4,142,38,2,18,0.9,0.8875,0.95,0.9861111111111112,0.91875
8-5-3,SVM,DeepONMF_W,5,145,37,3,15,0.91,0.90625,0.925,0.9797297297297297,0.915625
8-5-3,UjaNet,DeepONMF_H3,1,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
8-5-3,UjaNet,DeepONMF_H3,2,159,37,3,1,0.98,0.99375,0.925,0.9814814814814815,0.9593750000000001
8-5-3,UjaNet,DeepONMF_H3,3,158,39,1,2,0.985,0.9875,0.975,0.9937106918238994,0.98125
8-5-3,UjaNet,DeepONMF_H3,4,157,39,1,3,0.98,0.98125,0.975,0.9936708860759493,0.9781249999999999
8-5-3,UjaNet,DeepONMF_H3,5,160,39,1,0,0.995,1.0,0.975,0.9937888198757764,0.9875
8-5-3,UjaNet,DeepONMF_W,1,155,38,2,5,0.965,0.96875,0.95,0.9872611464968153,0.959375
8-5-3,UjaNet,DeepONMF_W,2,160,37,3,0,0.985,1.0,0.925,0.9815950920245399,0.9625
8-5-3,UjaNet,DeepONMF_W,3,151,35,5,9,0.93,0.94375,0.875,0.967948717948718,0.909375
8-5-3,UjaNet,DeepONMF_W,4,158,35,5,2,0.965,0.9875,0.875,0.9693251533742331,0.93125
8-5-3,UjaNet,DeepONMF_W,5,158,37,3,2,0.975,0.9875,0.925,0.9813664596273292,0.95625
