distribucion,clasificador,representacion,fold,clase,TP,TN,FP,FN,Accuracy,Sensitivity,Specificity,Precision,Score,soporte
8-5-3,KNN,DeepONMF_H3,1,PROMEDIO_MACRO,167,767,33,33,0.9339999999999999,0.835,0.95875,0.8566386554621849,0.896875,200
8-5-3,KNN,DeepONMF_H3,2,PROMEDIO_MACRO,168,768,32,32,0.9359999999999999,0.8400000000000001,0.96,0.8558958849410285,0.9,200
8-5-3,KNN,DeepONMF_H3,3,PROMEDIO_MACRO,170,770,30,30,0.9400000000000001,0.85,0.9625,0.8613327343516023,0.90625,200
8-5-3,KNN,DeepONMF_H3,4,PROMEDIO_MACRO,165,765,35,35,0.9299999999999999,0.825,0.95625,0.8392649572649573,0.890625,200
8-5-3,KNN,DeepONMF_H3,5,PROMEDIO_MACRO,169,769,31,31,0.938,0.845,0.96125,0.864617856497723,0.903125,200
8-5-3,KNN,DeepONMF_W,1,PROMEDIO_MACRO,129,729,71,71,0.858,0.6449999999999999,0.9112500000000001,0.6506464646464647,0.778125,200
8-5-3,KNN,DeepONMF_W,2,PROMEDIO_MACRO,123,723,77,77,0.8460000000000001,0.615,0.9037499999999999,0.654726980069307,0.7593749999999999,200
8-5-3,KNN,DeepONMF_W,3,PROMEDIO_MACRO,136,736,64,64,0.8720000000000001,0.68,0.9200000000000002,0.7145085860431128,0.8,200
8-5-3,KNN,DeepONMF_W,4,PROMEDIO_MACRO,131,731,69,69,0.8619999999999999,0.655,0.91375,0.6760252740091449,0.784375,200
8-5-3,KNN,DeepONMF_W,5,PROMEDIO_MACRO,130,730,70,70,0.8600000000000001,0.65,0.9125,0.6908617698091382,0.78125,200
8-5-3,SVM,DeepONMF_H3,1,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9176398045884294,0.946875,200
8-5-3,SVM,DeepONMF_H3,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712500000000001,0.8857080157080157,0.928125,200
8-5-3,SVM,DeepONMF_H3,3,PROMEDIO_MACRO,178,778,22,22,0.9560000000000001,0.89,0.9724999999999999,0.8894905869324473,0.93125,200
8-5-3,SVM,DeepONMF_H3,4,PROMEDIO_MACRO,181,781,19,19,0.9620000000000001,0.905,0.97625,0.9077927376580988,0.940625,200
8-5-3,SVM,DeepONMF_H3,5,PROMEDIO_MACRO,183,783,17,17,0.966,0.915,0.97875,0.9232346003940688,0.946875,200
8-5-3,SVM,DeepONMF_W,1,PROMEDIO_MACRO,154,754,46,46,0.908,0.77,0.9425000000000001,0.7866916553468626,0.85625,200
8-5-3,SVM,DeepONMF_W,2,PROMEDIO_MACRO,139,739,61,61,0.8779999999999999,0.6950000000000001,0.9237500000000001,0.7105457637600494,0.809375,200
8-5-3,SVM,DeepONMF_W,3,PROMEDIO_MACRO,151,751,49,49,0.9019999999999999,0.7549999999999999,0.9387500000000001,0.7661284513805521,0.846875,200
8-5-3,SVM,DeepONMF_W,4,PROMEDIO_MACRO,144,744,56,56,0.8879999999999999,0.72,0.93,0.7193165921339297,0.825,200
8-5-3,SVM,DeepONMF_W,5,PROMEDIO_MACRO,149,749,51,51,0.898,0.7450000000000001,0.93625,0.7549335038363172,0.840625,200
8-5-3,UjaNet,DeepONMF_H3,1,PROMEDIO_MACRO,192,792,8,8,0.984,0.96,0.99,0.9613944969758922,0.975,200
8-5-3,UjaNet,DeepONMF_H3,2,PROMEDIO_MACRO,180,780,20,20,0.96,0.9,0.975,0.9065978852738434,0.9375,200
8-5-3,UjaNet,DeepONMF_H3,3,PROMEDIO_MACRO,183,783,17,17,0.9659999999999999,0.915,0.97875,0.9169818345768432,0.946875,200
8-5-3,UjaNet,DeepONMF_H3,4,PROMEDIO_MACRO,188,788,12,12,0.976,0.9400000000000001,0.985,0.9402130325814537,0.9625,200
8-5-3,UjaNet,DeepONMF_H3,5,PROMEDIO_MACRO,195,795,5,5,0.9899999999999999,0.975,0.99375,0.9753417314392925,0.984375,200
8-5-3,UjaNet,DeepONMF_W,1,PROMEDIO_MACRO,172,772,28,28,0.944,0.86,0.9650000000000001,0.8668977698962707,0.9125,200
8-5-3,UjaNet,DeepONMF_W,2,PROMEDIO_MACRO,177,777,23,23,0.954,0.885,0.9712500000000001,0.8952978463616763,0.928125,200
8-5-3,UjaNet,DeepONMF_W,3,PROMEDIO_MACRO,172,772,28,28,0.9440000000000002,0.86,0.9649999999999999,0.873220487983777,0.9125,200
8-5-3,UjaNet,DeepONMF_W,4,PROMEDIO_MACRO,175,775,25,25,0.95,0.875,0.96875,0.882620040064505,0.921875,200
8-5-3,UjaNet,DeepONMF_W,5,PROMEDIO_MACRO,177,777,23,23,0.9540000000000001,0.885,0.9712499999999998,0.8893444686922948,0.928125,200
